	class	0.07_0	0.1_0	0.7_0	1_0	0.5_0	0.2_0	0.05_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	0.02_0	Pfam_desc	cor
PF00245	+	0.560	0.634	0.679	0.621	0.676	0.690	0.428	0.000	0.000	0.000	0.000	0.000	0.071	Alkaline phosphatase	0.747
PF04893	+	0.000	0.000	0.000	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Yip1 domain	0.746
PF01258	+	0.323	0.338	0.161	0.330	0.189	0.256	0.240	0.000	0.000	0.000	0.000	0.000	0.001	Prokaryotic dksA/traR C4-type zinc finger	0.717
PF04134	+	0.000	0.000	0.000	0.000	0.025	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function, DUF393	0.705
PF01699	+	0.000	0.029	0.127	0.141	0.119	0.101	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sodium/calcium exchanger protein	0.658
PF02834	+	0.257	0.243	0.000	0.206	0.000	0.151	0.220	0.000	0.000	0.000	0.000	0.000	0.000	LigT like Phosphoesterase	0.657
PF13686	+	0.000	0.000	0.069	0.124	0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DsrE/DsrF/DrsH-like family	0.647
PF13712	+	0.000	0.000	0.143	0.000	0.110	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyltransferase like family	0.647
PF00873	+	0.000	0.000	0.047	0.090	0.042	0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AcrB/AcrD/AcrF family	0.644
PF13638	+	0.000	0.000	0.129	0.000	0.079	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PIN domain	0.632
PF05448	+	0.000	0.000	0.139	0.000	0.090	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Acetyl xylan esterase (AXE1)	0.607
PF01903	+	0.119	0.055	0.000	0.000	0.000	0.000	0.095	0.000	0.000	0.000	0.000	0.000	0.000	CbiX	0.599
PF00704	+	0.044	0.106	0.091	0.150	0.100	0.128	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 18	0.599
PF02635	+	0.000	0.010	0.046	0.000	0.047	0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DsrE/DsrF-like family	0.599
PF00801	+	0.000	0.000	0.090	0.204	0.078	0.085	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PKD domain	0.587
PF01242	+	0.000	0.000	0.152	0.137	0.147	0.070	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6-pyruvoyl tetrahydropterin synthase	0.572
PF03102	+	0.000	0.000	0.000	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NeuB family	0.572
PF01175	+	0.031	0.113	0.000	0.000	0.000	0.094	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Urocanase	0.539
PF01987	+	0.000	0.064	0.107	0.000	0.125	0.141	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Mitochondrial biogenesis AIM24	0.539
PF01578	+	0.000	0.000	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cytochrome C assembly protein	0.509
PF13464	+	0.000	0.000	0.121	0.005	0.108	0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4115)	0.479
PF03806	+	0.000	0.000	0.248	0.199	0.227	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AbgT putative transporter family	0.475
PF09992	+	0.000	0.082	0.305	0.000	0.278	0.195	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Predicted periplasmic protein (DUF2233)	0.459
PF09685	+	0.000	0.000	0.020	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tic20-like protein	0.355
PF09614	+	0.000	0.000	0.000	0.236	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CRISPR-associated protein (Cas_Csy2)	0.353
PF02300	+	0.000	0.000	0.000	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Fumarate reductase subunit C	0.353
PF09822	+	0.000	0.000	0.000	0.128	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ABC-type uncharacterized transport system	0.353
PF00265	+	0.000	0.000	0.161	0.296	0.153	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Thymidine kinase	0.347
PF03259	+	0.000	0.000	0.000	0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Roadblock/LC7 domain	0.346
PF02274	+	0.000	0.000	0.088	0.000	0.065	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Amidinotransferase	0.313
PF14103	+	0.000	0.000	0.074	0.000	0.096	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4276)	0.281
PF04170	+	0.000	0.000	0.074	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NlpE N-terminal domain	0.251
PF03308	+	0.000	0.000	0.000	0.122	0.000	0.077	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ArgK protein	0.214
PF02366	+	0.000	0.000	0.000	0.000	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Dolichyl-phosphate-mannose-protein mannosyltransferase	0.212
PF04018	+	0.000	0.000	0.010	0.149	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF368)	0.188
