	class	0.1_0	0.2_0	0.07_0	0.5_0	0.7_0	1_0	0.05_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	0.02_0	Pfam_desc	cor
PF03714	+	0.098	0.033	0.101	0.000	0.000	0.000	0.161	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial pullanase-associated domain	0.586
PF10997	+	0.393	0.831	0.117	1.154	1.133	1.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2837)	0.511
PF09323	+	0.369	0.401	0.381	0.380	0.409	0.429	0.261	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1980)	0.493
PF00041	+	0.549	0.494	0.528	0.461	0.421	0.442	0.457	0.000	0.000	0.000	0.000	0.000	0.106	Fibronectin type III domain	0.465
PF14689	+	0.000	0.000	0.002	0.000	0.000	0.000	0.043	0.000	0.000	0.000	0.000	0.000	0.000	Sensor_kinase_SpoOB-type, alpha-helical domain	0.399
PF02225	+	0.234	0.176	0.255	0.156	0.158	0.055	0.245	0.000	0.000	0.000	0.000	0.000	0.058	PA domain	0.385
PF12464	+	0.043	0.020	0.051	0.000	0.000	0.079	0.038	0.000	0.000	0.000	0.000	0.000	0.000	Maltose acetyltransferase	0.383
PF07694	+	0.201	0.237	0.135	0.213	0.195	0.157	0.039	0.000	0.000	0.000	0.000	0.000	0.000	5TMR of 5TMR-LYT	0.366
PF01712	+	0.000	0.000	0.000	0.000	0.003	0.155	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Deoxynucleoside kinase	0.349
PF06580	+	0.014	0.067	0.016	0.048	0.000	0.197	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Histidine kinase	0.338
PF04854	+	0.057	0.064	0.040	0.091	0.084	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function, DUF624	0.334
PF02838	+	0.171	0.146	0.161	0.000	0.000	0.041	0.062	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolase family 20, domain 2	0.332
PF02449	+	0.054	0.103	0.066	0.160	0.171	0.000	0.064	0.000	0.000	0.000	0.000	0.000	0.000	Beta-galactosidase	0.331
PF08532	+	0.034	0.019	0.014	0.006	0.000	0.122	0.017	0.000	0.000	0.000	0.000	0.000	0.000	Beta-galactosidase trimerisation domain	0.320
