	class	0.1_0	0.07_0	0.2_0	0.05_0	0.5_0	0.7_0	1_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	0.02_0	Pfam_desc	cor
PF13598	+	0.017	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4139)	0.451
PF12914	+	0.247	0.185	0.475	0.110	0.610	0.655	0.674	0.000	0.000	0.000	0.000	0.000	0.000	SH3 domain of SH3b2 type	0.425
PF01930	+	0.080	0.062	0.152	0.044	0.152	0.131	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function DUF83	0.397
PF08753	+	0.112	0.087	0.150	0.021	0.203	0.196	0.159	0.000	0.000	0.000	0.000	0.000	0.000	NikR C terminal nickel binding domain	0.397
PF15580	+	0.000	0.000	0.401	0.000	0.645	0.661	0.610	0.000	0.000	0.000	0.000	0.000	0.000	Immunity protein 33	0.375
PF01155	+	0.001	0.053	0.000	0.103	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Hydrogenase expression/synthesis hypA family	0.372
PF11761	+	0.150	0.168	0.060	0.163	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cobalamin biosynthesis central region	0.370
PF01314	+	0.436	0.238	0.542	0.046	0.473	0.489	0.634	0.000	0.000	0.000	0.000	0.000	0.000	Aldehyde ferredoxin oxidoreductase, domains 2 & 3	0.359
PF02256	+	0.065	0.000	0.262	0.000	0.311	0.299	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Iron hydrogenase small subunit	0.359
PF09674	+	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2400)	0.316
PF03956	+	0.264	0.180	0.363	0.162	0.457	0.458	0.410	0.000	0.000	0.000	0.000	0.000	0.000	Membrane protein of unknown function (DUF340)	0.295
PF11750	+	0.000	0.000	0.000	0.000	0.135	0.213	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3307)	0.290
PF10418	+	0.008	0.000	0.070	0.000	0.048	0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Iron-sulfur cluster binding domain of dihydroorotate dehydrogenase B	0.269
PF03577	+	0.288	0.202	0.373	0.056	0.467	0.514	0.554	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase family C69	0.267
PF03083	+	0.009	0.000	0.000	0.000	0.000	0.000	0.027	0.000	0.000	0.000	0.000	0.000	0.000	Sugar efflux transporter for intercellular exchange	0.265
PF13148	+	0.167	0.148	0.121	0.025	0.105	0.091	0.168	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3987)	0.259
PF03102	+	0.001	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NeuB family	0.241
PF09709	+	0.000	0.001	0.000	0.000	0.034	0.048	0.113	0.000	0.000	0.000	0.000	0.000	0.000	CRISPR-associated protein (Cas_Csd1)	0.237
PF03030	+	0.053	0.105	0.000	0.081	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Inorganic H+ pyrophosphatase	0.230
PF14088	+	0.000	0.000	0.194	0.000	0.241	0.255	0.295	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4268)	0.230
PF08349	+	0.000	0.000	0.000	0.000	0.097	0.102	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1722)	0.228
PF14014	+	0.457	0.329	0.462	0.159	0.439	0.423	0.396	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF4230)	0.214
PF01867	+	0.000	0.000	0.000	0.000	0.017	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CRISPR associated protein Cas1	0.214
PF13087	+	0.000	0.000	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AAA domain	0.180
PF01643	+	0.000	0.000	0.000	0.000	0.003	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Acyl-ACP thioesterase	0.174
PF06226	+	0.000	0.000	0.017	0.000	0.037	0.071	0.093	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1007)	0.173
PF13310	+	0.062	0.090	0.000	0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Virulence protein RhuM family	0.173
PF13086	+	0.000	0.000	0.000	0.000	0.079	0.101	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AAA domain	0.173
