namespace,id,name,counts
cellular_component,GO:0000015,phosphopyruvate hydratase complex, 3
cellular_component,GO:0000109,nucleotide-excision repair complex, 2
cellular_component,GO:0000110,nucleotide-excision repair factor 1 complex, 2
cellular_component,GO:0000112,nucleotide-excision repair factor 3 complex, 2
cellular_component,GO:0000118,histone deacetylase complex, 13
cellular_component,GO:0000123,histone acetyltransferase complex, 12
cellular_component,GO:0000124,SAGA complex, 13
cellular_component,GO:0000126,transcription factor TFIIIB complex, 4
cellular_component,GO:0000127,transcription factor TFIIIC complex, 4
cellular_component,GO:0000137,Golgi cis cisterna, 36
cellular_component,GO:0000138,Golgi trans cisterna, 72
cellular_component,GO:0000139,Golgi membrane, 417
cellular_component,GO:0000145,exocyst, 33
cellular_component,GO:0000148,"1,3-beta-D-glucan synthase complex", 12
cellular_component,GO:0000151,ubiquitin ligase complex, 35
cellular_component,GO:0000159,protein phosphatase type 2A complex, 23
cellular_component,GO:0000164,protein phosphatase type 1 complex, 6
cellular_component,GO:0000172,ribonuclease MRP complex, 3
cellular_component,GO:0000176,nuclear exosome (RNase complex), 15
cellular_component,GO:0000177,cytoplasmic exosome (RNase complex), 11
cellular_component,GO:0000178,exosome (RNase complex), 6
cellular_component,GO:0000214,tRNA-intron endonuclease complex, 2
cellular_component,GO:0000220,"vacuolar proton-transporting V-type ATPase, V0 domain", 4
cellular_component,GO:0000221,"vacuolar proton-transporting V-type ATPase, V1 domain", 2
cellular_component,GO:0000228,nuclear chromosome, 8
cellular_component,GO:0000243,commitment complex, 8
cellular_component,GO:0000275,"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)", 9
cellular_component,GO:0000276,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)", 10
cellular_component,GO:0000306,extrinsic component of vacuolar membrane, 2
cellular_component,GO:0000307,cyclin-dependent protein kinase holoenzyme complex, 51
cellular_component,GO:0000311,plastid large ribosomal subunit, 5
cellular_component,GO:0000312,plastid small ribosomal subunit, 2
cellular_component,GO:0000323,lytic vacuole, 6
cellular_component,GO:0000325,plant-type vacuole, 45
cellular_component,GO:0000326,protein storage vacuole, 14
cellular_component,GO:0000347,THO complex, 14
cellular_component,GO:0000407,phagophore assembly site, 8
cellular_component,GO:0000408,EKC/KEOPS complex, 5
cellular_component,GO:0000418,RNA polymerase IV complex, 15
cellular_component,GO:0000419,RNA polymerase V complex, 22
cellular_component,GO:0000421,autophagosome membrane, 13
cellular_component,GO:0000427,plastid-encoded plastid RNA polymerase complex, 7
cellular_component,GO:0000439,transcription factor TFIIH core complex, 6
cellular_component,GO:0000445,THO complex part of transcription export complex, 7
cellular_component,GO:0000502,proteasome complex, 55
cellular_component,GO:0000775,"chromosome, centromeric region", 27
cellular_component,GO:0000776,kinetochore, 12
cellular_component,GO:0000777,condensed chromosome kinetochore, 9
cellular_component,GO:0000778,condensed nuclear chromosome kinetochore, 5
cellular_component,GO:0000779,"condensed chromosome, centromeric region", 2
cellular_component,GO:0000780,"condensed nuclear chromosome, centromeric region", 3
cellular_component,GO:0000781,"chromosome, telomeric region", 7
cellular_component,GO:0000783,nuclear telomere cap complex, 3
cellular_component,GO:0000784,"nuclear chromosome, telomeric region", 22
cellular_component,GO:0000785,chromatin, 46
cellular_component,GO:0000786,nucleosome, 59
cellular_component,GO:0000790,nuclear chromatin, 46
cellular_component,GO:0000791,euchromatin, 3
cellular_component,GO:0000792,heterochromatin, 3
cellular_component,GO:0000793,condensed chromosome, 6
cellular_component,GO:0000794,condensed nuclear chromosome, 8
cellular_component,GO:0000795,synaptonemal complex, 4
cellular_component,GO:0000796,condensin complex, 4
cellular_component,GO:0000798,nuclear cohesin complex, 5
cellular_component,GO:0000799,nuclear condensin complex, 4
cellular_component,GO:0000808,origin recognition complex, 6
cellular_component,GO:0000811,GINS complex, 2
cellular_component,GO:0000812,Swr1 complex, 7
cellular_component,GO:0000813,ESCRT I complex, 8
cellular_component,GO:0000814,ESCRT II complex, 3
cellular_component,GO:0000815,ESCRT III complex, 11
cellular_component,GO:0000818,nuclear MIS12/MIND complex, 2
cellular_component,GO:0000836,Hrd1p ubiquitin ligase complex, 2
cellular_component,GO:0000839,Hrd1p ubiquitin ligase ERAD-L complex, 4
cellular_component,GO:0000922,spindle pole, 19
cellular_component,GO:0000923,equatorial microtubule organizing center, 3
cellular_component,GO:0000930,gamma-tubulin complex, 6
cellular_component,GO:0000932,P-body, 62
cellular_component,GO:0000938,GARP complex, 6
cellular_component,GO:0000940,condensed chromosome outer kinetochore, 3
cellular_component,GO:0000974,Prp19 complex, 13
cellular_component,GO:0001401,SAM complex, 8
cellular_component,GO:0001405,"PAM complex, Tim23 associated import motor", 6
cellular_component,GO:0001673,male germ cell nucleus, 3
