ID,FC.avg,p.value,is.DEP,log2FC,FDR,C61,C62,C63,C64,C91,C92,C93,C94
AT1G01060,0.436186006417317,0.000161476297549257,True,-1.19698460825619,0.000625211990804908,2211,2141,2488,2268,4261,5184,5790,5646
AT1G01070,1.84683098591549,0.00503446562697141,True,0.885051843072586,0.0176497351183152,263,204,292,290,169,158,155,86
AT1G01150,0.111111111111111,0.00131073191803921,True,-3.16992500144231,0.00489090579131555,0,0,1,0,2,2,2,3
Q9LNJ7,0.574974146845915,0.000609040638790193,True,-0.798431006753334,0.00231366563546176,267,229,286,330,449,550,453,482
AT1G01340,0.487682481751825,0.0138635266006222,True,-1.03598594524004,0.0446841155588445,289,284,182,314,426,771,488,507
AT1G01360,0.619653767820774,0.0106805326995763,True,-0.690465761600965,0.0352811811948401,326,290,239,362,457,619,420,468
AT1G01380,0.385714285714286,0.00694743504948492,True,-1.3743955147815,0.0238271290956409,3,8,7,9,17,13,24,16
AT1G01640,0.510958046336882,0.00102064528492796,True,-0.968723255439737,0.00383646173913348,238,197,176,205,402,470,322,403
AT1G01650,0.438074634937804,0.00090353831604717,True,-1.19075141163221,0.00340823844373094,463,394,357,406,840,1149,769,940
AT1G02300,0.457564575645756,0.000912320178580117,True,-1.127952730967,0.00343984967079476,27,21,37,39,66,79,58,68
AT1G02400,2.13586097946288,0.00981297766887912,True,1.09481774685384,0.0326736871614321,394,390,219,349,102,213,188,130
AT1G02460,2.50769230769231,0.00852041547482774,True,1.32636034120262,0.0287668974180674,86,59,67,114,27,41,36,26
AT1G02520,0.539034915653197,0.0152044157582583,True,-0.891549369204102,0.048594560887075,398,385,238,353,499,859,640,551
Q94KD8,0.404789657730211,0.00269619703557078,True,-1.30475566486489,0.00978882089993918,842,818,970,1190,2205,3065,1750,2417
AT1G02700,6.44444444444444,0.0033491827348735,True,2.68805599368526,0.0120320539857645,9,13,21,15,1,3,1,4
Q9SRX4,3.61915125136017,0.00185577419528626,True,1.85565140199823,0.00684566488790891,980,901,510,935,286,289,197,147
Q9SRZ0,0.436363636363636,0.00442990146829736,True,-1.1963972128035,0.0156632904134989,9,6,4,5,17,12,15,11
Q42523,0.451984635083227,0.00154317101114043,True,-1.1456543648708,0.00572767036980755,583,501,649,738,1017,1600,1353,1497
