,FC.avg,log2FC,p.value,FDR,is.DEP,C61,C62,C63,C64,I561,I562,I563,I564
O81913, 0.3669414,-1.4463784, 0.0443915, 0.9132923,TRUE,3.8084715832321E-07,6.36689553887547E-07,3.17893763083315E-07,1.53617352616152E-06,2.88806787537121E-06,9.40428730172941E-07,2.07418550742073E-06,1.9231015165867E-06
Q9FWX8, 3.2668717, 1.7079098, 0.0299166, 0.8538736,TRUE,7.6169431664642E-07,9.5503433083132E-07,2.11929175388877E-06,1.34415183539133E-06,4.51260605526751E-07,2.82128619051882E-07,6.59968115997505E-07,1.9231015165867E-07
B3H5Q1, 0.4516242,-1.1468053, 0.0038986, 0.6185532,TRUE,1.64716395974788E-05,1.67661582523721E-05,2.45837843451097E-05,3.61960887101807E-05,6.04689211405846E-05,4.73035651276989E-05,4.26150840615532E-05,5.77892005734304E-05
Q9SRY5, 2.0651876, 1.0462728, 0.0342834, 0.8764854,TRUE,4.61777179466892E-05,4.42499239951845E-05,2.23585280035265E-05,3.03394271416899E-05,1.56136169512256E-05,1.24136592382828E-05,1.31993623199501E-05,2.80772821421659E-05
AT1G04223, 2.6597419, 1.4112863, 0.0038499, 0.6144345,TRUE,4.76058947904012E-07,5.30574628239622E-07,7.41752113861069E-07,4.80054226925474E-07,2.70756363316051E-07,1.88085746034588E-07,2.82843478284645E-07,9.61550758293351E-08
Q9ZWB4, ∞, ∞, 0.0244032, 0.8416932,TRUE,0,2.12229851295849E-07,2.11929175388877E-07,1.92021690770189E-07,0,0,0,0
O64492, 2.1747216, 1.1208307, 0.0175515, 0.7983112,TRUE,1.99944758119685E-06,1.27337910777509E-06,1.80139799080545E-06,1.24814099000623E-06,4.51260605526751E-07,1.12851447620753E-06,9.42811594282149E-07,3.84620303317341E-07
AT1G04273, 0.4465917,-1.1629715, 0.033278, 0.8756825,TRUE,9.52117895808025E-08,1.06114925647924E-07,1.05964587694438E-07,1.92021690770189E-07,3.61008484421401E-07,3.76171492069176E-07,1.8856231885643E-07,1.9231015165867E-07
Q9LR44, 0.2941538,-1.7653574, 0.0188854, 0.8150045,TRUE,1.14254147496963E-06,5.30574628239622E-06,6.78173361244406E-06,2.78431451616775E-06,1.70576508889112E-05,5.83065812707223E-06,1.37650492765194E-05,1.7788689028427E-05
A0A1P8AUV9, 3.9948354, 1.9981361, 0.0028186, 0.5673469,TRUE,3.8084715832321E-07,2.12229851295849E-07,4.23858350777754E-07,4.80054226925474E-07,9.02521211053502E-08,9.40428730172941E-08,9.42811594282149E-08,9.61550758293351E-08
