#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Endocytosis,n/a,map04144,7,258,0.00122060274271532,0.0139814495983755,"O04486, O04157, Q9C820, Q9SSQ9, Q9SF91, Q8L850, Q9T051",,O04486; O04157; Q9C820; Q9SSQ9; Q9SF91; Q8L850; Q9T051
"Valine, leucine and isoleucine degradation",n/a,map00280,2,90,0.106181222782202,0.190446036591565,"Q0WM29, Q940M2",,Q0WM29; Q940M2
Metabolic pathways,n/a,map01100,54,3837,2.10840982526198E-08,5.31319275966018E-06,"Q8GYA3, Q39041, Q3ECY6, Q9C5W0, Q9SSQ9, Q9C6F5, Q94AH8, Q9M9H6, Q9LDV4, Q8L518, Q0WPW4, Q42563, Q8S4F6, Q9LZM3, P50287, Q9FT97, O82730, Q39032, Q9M881, Q8L850, Q9LUR3, Q9M2A0, P54888, P53780, Q8VY84, Q0WM29, Q9SLD2, P93831, Q93YZ7, Q9SJM7, Q8S8S2, Q9SU39, Q8W471, Q0WVX5, Q9SMZ4, O81893, Q8VYW6, Q940M2, P42801, O80738, Q42472, O49213, Q9C9T8, Q9LZA6, F4KFG5, Q9LM02, Q93WF1, Q9ZRA2, Q96286, Q9SDL7, A0A384L5L1, Q9T051, Q944R1, A0A1P8B760",,Q8GYA3; Q39041; Q3ECY6; Q9C5W0; Q9SSQ9; Q9C6F5; Q94AH8; Q9M9H6; Q9LDV4; Q8L518; Q0WPW4; Q42563; Q8S4F6; Q9LZM3; P50287; Q9FT97; O82730; Q39032; Q9M881; Q8L850; Q9LUR3; Q9M2A0; P54888; P53780; Q8VY84; Q0WM29; Q9SLD2; P93831; Q93YZ7; Q9SJM7; Q8S8S2; Q9SU39; Q8W471; Q0WVX5; Q9SMZ4; O81893; Q8VYW6; Q940M2; P42801; O80738; Q42472; O49213; Q9C9T8; Q9LZA6; F4KFG5; Q9LM02; Q93WF1; Q9ZRA2; Q96286; Q9SDL7; A0A384L5L1; Q9T051; Q944R1; A0A1P8B760
N-Glycan biosynthesis,n/a,map00510,1,78,0.378987573586764,0.437093219880387,Q9SI62,,Q9SI62
Lysine degradation,n/a,map00310,3,57,0.00573815520653228,0.0352686612694179,"Q3ECY6, P93831, Q9SMZ4",,Q3ECY6; P93831; Q9SMZ4
Arginine and proline metabolism,n/a,map00330,3,98,0.0233383602176973,0.0773850891428911,"P54888, Q96286, A0A1P8B760",,P54888; Q96286; A0A1P8B760
Tryptophan metabolism,n/a,map00380,1,109,0.484919396816865,0.526722793094181,A0A1P8B760,,A0A1P8B760
Biosynthesis of secondary metabolites,n/a,map01110,23,2085,0.00642766637503881,0.0368129983297677,"Q8GYA3, Q39041, Q9SSQ9, Q94AH8, Q0WPW4, P50287, P54888, P53780, Q93YZ7, Q9SU39, Q0WVX5, Q8VY26, Q9SMZ4, Q940M2, P42801, O80738, Q42472, Q9LZA6, F4KFG5, Q9LM02, Q8LFD1, Q9SDL7, Q9T051",,Q8GYA3; Q39041; Q9SSQ9; Q94AH8; Q0WPW4; P50287; P54888; P53780; Q93YZ7; Q9SU39; Q0WVX5; Q8VY26; Q9SMZ4; Q940M2; P42801; O80738; Q42472; Q9LZA6; F4KFG5; Q9LM02; Q8LFD1; Q9SDL7; Q9T051
Microbial metabolism in diverse environments,n/a,map01120,5,663,0.608333417339117,0.633471161857262,"Q9LDV4, Q9LUR3, Q42472, Q9ZRA2, A0A1P8B760",,Q9LDV4; Q9LUR3; Q42472; Q9ZRA2; A0A1P8B760
Fatty acid degradation,n/a,map00071,1,79,0.382722498300508,0.437397140914866,Q8W471,,Q8W471
Glycerolipid metabolism,n/a,map00561,7,104,5.44531259166031E-06,0.0001715273466373,"Q9C5W0, Q8S4F6, Q9FT97, O82730, Q9SLD2, Q9LZA6, Q8LFD1",,Q9C5W0; Q8S4F6; Q9FT97; O82730; Q9SLD2; Q9LZA6; Q8LFD1
beta-Alanine metabolism,n/a,map00410,2,75,0.0786160008939542,0.152982488226073,"Q0WM29, Q42472",,Q0WM29; Q42472
Selenocompound metabolism,n/a,map00450,1,30,0.170478835886073,0.251968719315486,P53780,,P53780
Purine metabolism,n/a,map00230,1,167,1,1.01204819277108,Q42563,,Q42563
Plant hormone signal transduction,n/a,map04075,15,496,7.13923335887689E-07,5.99695602145659E-05,"Q84MC7, P93825, Q9LQT8, Q9ZWS9, Q8S307, Q9C5U2, Q9FHD7, Q9LSQ4, Q9M7Q2, Q9C5U0, Q38831, Q9ZSY8, O65694, O24408, O23661",,Q84MC7; P93825; Q9LQT8; Q9ZWS9; Q8S307; Q9C5U2; Q9FHD7; Q9LSQ4; Q9M7Q2; Q9C5U0; Q38831; Q9ZSY8; O65694; O24408; O23661
Regulation of actin cytoskeleton,n/a,map04810,2,119,0.164992851066066,0.247489276599098,"Q9LQQ9, Q8L850",,Q9LQQ9; Q8L850
Pathogenic Escherichia coli infection,n/a,map05130,4,152,0.0149961200369811,0.0581388038356806,"F4I460, Q9LQQ9, Q9M2K0, F4IUG9",,F4I460; Q9LQQ9; Q9M2K0; F4IUG9
Shigellosis,n/a,map05131,6,241,0.00405202545453735,0.0283641781817614,"Q9LQQ9, Q9FR53, Q39032, Q9M0E5, Q9CAB6, Q1EC66",,Q9LQQ9; Q9FR53; Q39032; Q9M0E5; Q9CAB6; Q1EC66
Salmonella infection,n/a,map05132,4,230,0.0537338378168379,0.124228689264616,"Q9LQQ9, O04157, Q9C820, Q9XIF4",,Q9LQQ9; O04157; Q9C820; Q9XIF4
Fc gamma R-mediated phagocytosis,n/a,map04666,4,106,0.00452007777574586,0.0299752526181041,"Q9LQQ9, Q9SSQ9, Q8L850, Q9T051",,Q9LQQ9; Q9SSQ9; Q8L850; Q9T051
"Glycine, serine and threonine metabolism",n/a,map00260,1,123,0.526645916763815,0.559977936812158,Q940M2,,Q940M2
Tyrosine metabolism,n/a,map00350,2,59,0.0523080076138149,0.122619701569129,"Q9LUR3, Q9ZRA2",,Q9LUR3; Q9ZRA2
Phenylalanine metabolism,n/a,map00360,1,49,0.260281679083395,0.32960293029656,A0A1P8B760,,A0A1P8B760
Autophagy - yeast,n/a,map04138,8,145,4.71783020123401E-06,0.000182906647801688,"O04157, Q9FR53, Q9C820, F8S296, F4IRW0, Q9M0E5, Q9SUG7, Q39025",,O04157; Q9FR53; Q9C820; F8S296; F4IRW0; Q9M0E5; Q9SUG7; Q39025
Starch and sucrose metabolism,n/a,map00500,6,276,0.00759871578152853,0.0416277473248954,"Q39041, Q94AH8, Q9SU39, Q0WVX5, O80738, F4KFG5",,Q39041; Q94AH8; Q9SU39; Q0WVX5; O80738; F4KFG5
Cyanoamino acid metabolism,n/a,map00460,2,104,0.13383776094087,0.214140417505393,"P50287, Q8VYW6",,P50287; Q8VYW6
MAPK signaling pathway - plant,n/a,map04016,2,238,0.658325037717673,0.682707446522031,"Q84MC7, P93825",,Q84MC7; P93825
Plant-pathogen interaction,n/a,map04626,8,339,0.00133405904935984,0.0140076200182783,"O64973, Q9FG77, Q9LIK5, B9DFG5, Q9SL29, O23320, Q9XGM3, Q9LD37",,O64973; Q9FG77; Q9LIK5; B9DFG5; Q9SL29; O23320; Q9XGM3; Q9LD37
Cell cycle,n/a,map04110,3,206,0.132266025248943,0.213660502325216,"Q8H1U4, Q9FKS4, Q9LE42",,Q8H1U4; Q9FKS4; Q9LE42
Cell cycle - yeast,n/a,map04111,2,167,0.270054804871769,0.338576173272069,"Q8H1U4, Q9LQQ9",,Q8H1U4; Q9LQQ9
Meiosis - yeast,n/a,map04113,2,126,0.179933253260699,0.256901868678165,"Q8H1U4, Q9FR53",,Q8H1U4; Q9FR53
Oocyte meiosis,n/a,map04114,3,189,0.110014354972955,0.192525121202671,"Q8H1U4, Q9LQQ9, Q8LAS7",,Q8H1U4; Q9LQQ9; Q8LAS7
Ubiquitin mediated proteolysis,n/a,map04120,4,252,0.0698132608111344,0.140743533795247,"Q8H1U4, Q9LYZ7, Q8VZK0, Q1EC66",,Q8H1U4; Q9LYZ7; Q8VZK0; Q1EC66
Viral carcinogenesis,n/a,map05203,3,227,0.161672741409676,0.243961262486457,"Q9LQQ9, Q944K3, Q9LE42",,Q9LQQ9; Q944K3; Q9LE42
Human T-cell leukemia virus 1 infection,n/a,map05166,6,168,0.000695403589612128,0.00973565025456979,"Q8H1U4, Q9LQQ9, Q9FKS4, Q8LAS7, Q9LE42, F4IPJ1",,Q8H1U4; Q9LQQ9; Q9FKS4; Q8LAS7; Q9LE42; F4IPJ1
RNA degradation,n/a,map03018,4,187,0.0288712937394299,0.0898218027448929,"Q3EDJ0, F4JAA5, F4IM84, Q9SHL7",,Q3EDJ0; F4JAA5; F4IM84; Q9SHL7
Type I diabetes mellitus,n/a,map04940,1,19,0.113593389911969,0.196065303135727,Q42472,,Q42472
Tuberculosis,n/a,map05152,9,129,1.87558926483445E-07,2.36324247369141E-05,"Q9LQQ9, Q9LNP6, O04157, Q9C820, Q8LFU0, Q8LAS7, Q9LE42, Q9LVJ7, Q93ZH2",,Q9LQQ9; Q9LNP6; O04157; Q9C820; Q8LFU0; Q8LAS7; Q9LE42; Q9LVJ7; Q93ZH2
Longevity regulating pathway - worm,n/a,map04212,2,180,0.298858773469203,0.369178484873721,"Q9FR53, F4IRW0",,Q9FR53; F4IRW0
