#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Endocytosis,n/a,map04144,25,258,1.81460616893462E-05,0.000106759329605653,"Q9LNK1, O04486, Q9SUI2, Q42510, O04157, Q9C820, Q9SSQ9, Q9LQ55, P22954, Q8LPK4, Q9LTX9, Q9SF91, Q8L850, Q9LHA8, Q9LW76, Q9M1K2, O80856, Q9SIP0, O82171, Q9SLG9, P93733, Q9M117, Q9T051, O65421, Q9STW6",,Q9LNK1; O04486; Q9SUI2; Q42510; O04157; Q9C820; Q9SSQ9; Q9LQ55; P22954; Q8LPK4; Q9LTX9; Q9SF91; Q8L850; Q9LHA8; Q9LW76; Q9M1K2; O80856; Q9SIP0; O82171; Q9SLG9; P93733; Q9M117; Q9T051; O65421; Q9STW6
"Valine, leucine and isoleucine degradation",n/a,map00280,8,90,0.0194225392024475,0.0370603045322376,"Q42523, Q9SHJ8, Q570C8, Q9M7Z1, Q0WM29, Q94AL9, Q9SZE1, Q940M2",,Q42523; Q9SHJ8; Q570C8; Q9M7Z1; Q0WM29; Q94AL9; Q9SZE1; Q940M2
Metabolic pathways,n/a,map01100,398,3837,6.80304449949164E-74,2.40147470832055E-71,"Q9MAM3, Q9LNJ9, Q9LMM0, P23686, Q9SRX4, Q42523, O64489, Q5XEP9, P93819, Q8RY24, Q9SYK6, Q9LNE3, Q9SHJ5, Q9SHJ8, Q9MB58, Q05431, Q9SGE0, Q9SGD6, A0A178WNN3, Q9FR37, O80518, Q8GYA3, Q93ZW0, P49294, Q9FUS8, Q9SUI2, Q1JPL7, O65378, Q39041, Q9LMX8, Q8H1D8, Q39103, Q9LMR3, Q5E924, Q9SA34, Q9SHH6, Q9LN20, Q84P25, Q42547, Q96528, Q7XZU3, Q9LRA7, Q8L743, Q84M89, Q9FYL6, Q8VYU7, Q9S9P8, Q93ZA3, A0A178WJZ2, Q9FVQ6, Q67XC9, Q84WV0, Q3ECY6, Q84VY3, Q9C5W0, Q9M9B4, Q9C6C8, Q9SX54, A0A178WKH3, Q9C512, Q9SSQ9, Q9ZP06, Q42534, Q9SLK0, Q8VYB2, Q42588, P50318, Q9FXB2, Q9C6F5, Q9XIF8, O80738, O22693, Q41931, O04928, Q8LDN8, Q9SH69, P0CAN7, Q42059, Q9C7W4, Q9S777, Q8H191, Q42472, Q9SR52, Q9CAG3, Q8L9C4, Q94AH8, Q94A41, Q9C9H5, Q9M9H6, Q9LDV4, O49213, Q94AM5, Q9C9T8, Q9C9D0, Q8L518, Q9S7H8, Q9FRL8, Q8LAH7, Q8GYB8, Q0WPW4, P11832, F4I8M8, Q9C9S4, Q9M9F1, Q8GYM1, Q9ZRW8, Q9SYM5, P47996, Q9SAJ4, Q84VZ1, Q9CA90, Q42563, Q9C971, Q9ZT84, Q944I4, Q9M8M7, Q9SAH9, Q8S4F6, Q9LZM3, Q6NLB0, Q9LZ06, Q9LZF2, Q93WJ8, Q9LZA6, F4JW83, Q8VZW3, F4K2A1, P50287, Q9FT97, Q96330, Q9C5A9, Q94AQ6, F4KFG5, Q8VZB2, Q9LFP0, Q9LYG3, Q42577, Q9FY99, Q96251, Q9LM02, P13114, Q94AS5, Q9S7T9, Q9LF04, Q9FMD9, Q43314, Q3E9D5, F4K2L4, Q8VYZ3, Q39034, Q94A82, Q8RX87, O82730, Q9FLV5, Q9FNF2, F4JWS8, Q94C74, P46086, Q8LKS5, Q944B6, Q9LVY1, Q9FIW4, Q9FF18, Q9FFR3, Q96242, Q9S7D8, Q9FJR1, Q9FKB3, Q570C8, Q93WF1, Q9LTB2, Q9FGS4, Q9FK35, Q9LUE6, Q94BN2, Q9LV03, Q9FN41, Q9ZRA2, Q9FK25, Q9FM79, Q39032, Q944C2, Q9FUT0, Q8VZC3, Q84P23, O49623, Q37001, F4JZ24, Q84JF0, Q1PET6, Q96286, Q9M884, Q9M881, Q9M879, Q9SS67, Q9SRV5, Q9S7A0, P25858, Q9M9W7, Q94JM2, Q9M7Z1, Q9ZPI5, Q9SFV7, Q9M9K1, Q9SR36, Q1PER6, Q8L850, F4J3T8, Q9LHI0, Q94IA6, Q9LIB9, Q24JJ8, Q9LKA3, Q9LW15, Q9LUR3, Q8VZF1, Q9ASY9, Q94C12, Q9LT75, P48523, Q94CE5, Q8LAX0, Q94ID1, Q9LK38, Q9LK36, Q9LIQ4, Q9LI77, Q9LS01, Q9SDL7, Q9LK29, Q9LK23, A0A384L5L1, Q8LBZ7, Q9LK94, Q9LHA7, Q9LIA0, Q940V4, P92983, Q9M2A0, Q9LZG7, P32962, P32961, O22241, Q9SD76, P49078, Q8LG70, O64989, Q9S818, Q9ASU1, Q96328, Q9FT52, Q9LXJ2, Q9LFA6, F4JCU3, P41088, Q9M2U2, P54888, Q9M1K2, P53780, Q94A08, Q9M1B9, Q8VY84, Q9LZJ1, Q93WC9, Q8VYZ2, Q9SKC9, Q9ZVQ3, Q9SJD4, Q9FT88, Q9SIB9, Q9ZUG4, Q9ZQI7, Q0WM29, Q39161, Q9SI64, Q9SLD2, O65896, O82200, O82191, Q9SIE3, Q6NLQ7, P93831, Q9SJA7, O81020, Q9ZUY3, Q9ZW15, F4IKM1, Q9ZW24, Q9ZW29, Q9ZW30, P92994, O49340, P42761, P46643, Q93YZ7, Q96250, O49313, O49312, A0A178VRB0, O64749, Q9SLH7, Q9ZQP2, Q9SJM7, Q9SJQ9, Q9SJL8, Q304B9, O80912, Q94AL9, Q9ZV04, O22203, Q9SLG9, O80822, P93733, Q9ZW85, O24598, O24658, O22841, A0A178VQI1, O80575, Q945S8, P20115, O64882, O64886, O22141, Q8S8S2, Q6NQ66, O22893, O22256, Q96266, O23066, Q9M111, O81301, P46422, Q94AP0, Q9M0X9, Q9M0V6, Q9S9U6, Q42592, Q9LDN9, Q9SZ92, Q9T0E0, Q9T051, A0A1P8B956, Q9SU39, Q9SU38, Q9SVQ9, Q9SVQ1, Q944R1, Q93WN0, Q8W471, O23349, Q93ZE5, O23461, O23514, Q0WVX5, O49506, F4JTY4, O81862, F4JIK2, Q8L7L1, Q9SVS1, Q9SB81, P92980, O65457, Q9SUW0, Q1EC69, Q94A02, Q9C5M8, Q39110, A4GNA8, Q9STR4, Q8H1S0, Q1PE48, Q9SZE1, Q9SU91, P19456, Q9M088, O81772, Q9SUU5, Q9SMZ4, Q9SZB9, O81893, O49482, O65677, O23141, A0A1P8B760, F4JLI5, Q9T003, Q8LFC0, Q8W2B8, Q42600, Q9T074, Q93YQ7, P42734, Q8VYW6, Q940M2, P42801, P29976",,Q9MAM3; Q9LNJ9; Q9LMM0; P23686; Q9SRX4; Q42523; O64489; Q5XEP9; P93819; Q8RY24; Q9SYK6; Q9LNE3; Q9SHJ5; Q9SHJ8; Q9MB58; Q05431; Q9SGE0; Q9SGD6; A0A178WNN3; Q9FR37; O80518; Q8GYA3; Q93ZW0; P49294; Q9FUS8; Q9SUI2; Q1JPL7; O65378; Q39041; Q9LMX8; Q8H1D8; Q39103; Q9LMR3; Q5E924; Q9SA34; Q9SHH6; Q9LN20; Q84P25; Q42547; Q96528; Q7XZU3; Q9LRA7; Q8L743; Q84M89; Q9FYL6; Q8VYU7; Q9S9P8; Q93ZA3; A0A178WJZ2; Q9FVQ6; Q67XC9; Q84WV0; Q3ECY6; Q84VY3; Q9C5W0; Q9M9B4; Q9C6C8; Q9SX54; A0A178WKH3; Q9C512; Q9SSQ9; Q9ZP06; Q42534; Q9SLK0; Q8VYB2; Q42588; P50318; Q9FXB2; Q9C6F5; Q9XIF8; O80738; O22693; Q41931; O04928; Q8LDN8; Q9SH69; P0CAN7; Q42059; Q9C7W4; Q9S777; Q8H191; Q42472; Q9SR52; Q9CAG3; Q8L9C4; Q94AH8; Q94A41; Q9C9H5; Q9M9H6; Q9LDV4; O49213; Q94AM5; Q9C9T8; Q9C9D0; Q8L518; Q9S7H8; Q9FRL8; Q8LAH7; Q8GYB8; Q0WPW4; P11832; F4I8M8; Q9C9S4; Q9M9F1; Q8GYM1; Q9ZRW8; Q9SYM5; P47996; Q9SAJ4; Q84VZ1; Q9CA90; Q42563; Q9C971; Q9ZT84; Q944I4; Q9M8M7; Q9SAH9; Q8S4F6; Q9LZM3; Q6NLB0; Q9LZ06; Q9LZF2; Q93WJ8; Q9LZA6; F4JW83; Q8VZW3; F4K2A1; P50287; Q9FT97; Q96330; Q9C5A9; Q94AQ6; F4KFG5; Q8VZB2; Q9LFP0; Q9LYG3; Q42577; Q9FY99; Q96251; Q9LM02; P13114; Q94AS5; Q9S7T9; Q9LF04; Q9FMD9; Q43314; Q3E9D5; F4K2L4; Q8VYZ3; Q39034; Q94A82; Q8RX87; O82730; Q9FLV5; Q9FNF2; F4JWS8; Q94C74; P46086; Q8LKS5; Q944B6; Q9LVY1; Q9FIW4; Q9FF18; Q9FFR3; Q96242; Q9S7D8; Q9FJR1; Q9FKB3; Q570C8; Q93WF1; Q9LTB2; Q9FGS4; Q9FK35; Q9LUE6; Q94BN2; Q9LV03; Q9FN41; Q9ZRA2; Q9FK25; Q9FM79; Q39032; Q944C2; Q9FUT0; Q8VZC3; Q84P23; O49623; Q37001; F4JZ24; Q84JF0; Q1PET6; Q96286; Q9M884; Q9M881; Q9M879; Q9SS67; Q9SRV5; Q9S7A0; P25858; Q9M9W7; Q94JM2; Q9M7Z1; Q9ZPI5; Q9SFV7; Q9M9K1; Q9SR36; Q1PER6; Q8L850; F4J3T8; Q9LHI0; Q94IA6; Q9LIB9; Q24JJ8; Q9LKA3; Q9LW15; Q9LUR3; Q8VZF1; Q9ASY9; Q94C12; Q9LT75; P48523; Q94CE5; Q8LAX0; Q94ID1; Q9LK38; Q9LK36; Q9LIQ4; Q9LI77; Q9LS01; Q9SDL7; Q9LK29; Q9LK23; A0A384L5L1; Q8LBZ7; Q9LK94; Q9LHA7; Q9LIA0; Q940V4; P92983; Q9M2A0; Q9LZG7; P32962; P32961; O22241; Q9SD76; P49078; Q8LG70; O64989; Q9S818; Q9ASU1; Q96328; Q9FT52; Q9LXJ2; Q9LFA6; F4JCU3; P41088; Q9M2U2; P54888; Q9M1K2; P53780; Q94A08; Q9M1B9; Q8VY84; Q9LZJ1; Q93WC9; Q8VYZ2; Q9SKC9; Q9ZVQ3; Q9SJD4; Q9FT88; Q9SIB9; Q9ZUG4; Q9ZQI7; Q0WM29; Q39161; Q9SI64; Q9SLD2; O65896; O82200; O82191; Q9SIE3; Q6NLQ7; P93831; Q9SJA7; O81020; Q9ZUY3; Q9ZW15; F4IKM1; Q9ZW24; Q9ZW29; Q9ZW30; P92994; O49340; P42761; P46643; Q93YZ7; Q96250; O49313; O49312; A0A178VRB0; O64749; Q9SLH7; Q9ZQP2; Q9SJM7; Q9SJQ9; Q9SJL8; Q304B9; O80912; Q94AL9; Q9ZV04; O22203; Q9SLG9; O80822; P93733; Q9ZW85; O24598; O24658; O22841; A0A178VQI1; O80575; Q945S8; P20115; O64882; O64886; O22141; Q8S8S2; Q6NQ66; O22893; O22256; Q96266; O23066; Q9M111; O81301; P46422; Q94AP0; Q9M0X9; Q9M0V6; Q9S9U6; Q42592; Q9LDN9; Q9SZ92; Q9T0E0; Q9T051; A0A1P8B956; Q9SU39; Q9SU38; Q9SVQ9; Q9SVQ1; Q944R1; Q93WN0; Q8W471; O23349; Q93ZE5; O23461; O23514; Q0WVX5; O49506; F4JTY4; O81862; F4JIK2; Q8L7L1; Q9SVS1; Q9SB81; P92980; O65457; Q9SUW0; Q1EC69; Q94A02; Q9C5M8; Q39110; A4GNA8; Q9STR4; Q8H1S0; Q1PE48; Q9SZE1; Q9SU91; P19456; Q9M088; O81772; Q9SUU5; Q9SMZ4; Q9SZB9; O81893; O49482; O65677; O23141; A0A1P8B760; F4JLI5; Q9T003; Q8LFC0; Q8W2B8; Q42600; Q9T074; Q93YQ7; P42734; Q8VYW6; Q940M2; P42801; P29976
N-Glycan biosynthesis,n/a,map00510,5,78,0.210946329098621,0.274775107645068,"Q84M89, Q9C512, Q9FT88, Q9SI62, O23514",,Q84M89; Q9C512; Q9FT88; Q9SI62; O23514
Various types of N-glycan biosynthesis,n/a,map00513,3,62,0.488886190779049,0.552245841104013,"Q9C512, Q9FT88, O23514",,Q9C512; Q9FT88; O23514
Lysine degradation,n/a,map00310,5,57,0.0609875564309098,0.0965408404489289,"Q3ECY6, P93831, Q9SJA7, Q945S8, Q9SMZ4",,Q3ECY6; P93831; Q9SJA7; Q945S8; Q9SMZ4
Arginine and proline metabolism,n/a,map00330,15,98,7.75140446161286E-06,5.26201110567181E-05,"Q9FR37, Q9LN20, Q8H191, Q9S7T9, Q3E9D5, Q94BN2, Q8VZC3, F4JZ24, Q96286, P92983, P54888, Q9SI64, P46643, O23141, A0A1P8B760",,Q9FR37; Q9LN20; Q8H191; Q9S7T9; Q3E9D5; Q94BN2; Q8VZC3; F4JZ24; Q96286; P92983; P54888; Q9SI64; P46643; O23141; A0A1P8B760
Tryptophan metabolism,n/a,map00380,14,109,8.6821319251921E-05,0.000431660925294762,"O64489, Q9FR37, Q9XI76, Q42547, Q96528, Q9C9D0, P32962, P32961, O49340, O49312, Q9SVQ1, Q94A02, A0A1P8B760, Q9T003",,O64489; Q9FR37; Q9XI76; Q42547; Q96528; Q9C9D0; P32962; P32961; O49340; O49312; Q9SVQ1; Q94A02; A0A1P8B760; Q9T003
Glycolysis / Gluconeogenesis,n/a,map00010,9,205,0.453043050511507,0.517554035050363,"Q5E924, P50318, F4I8M8, Q9SAJ4, P25858, Q9M9K1, Q8VZF1, Q9SJQ9, Q9T074",,Q5E924; P50318; F4I8M8; Q9SAJ4; P25858; Q9M9K1; Q8VZF1; Q9SJQ9; Q9T074
Ascorbate and aldarate metabolism,n/a,map00053,9,90,0.00698004038485891,0.0168763990127068,"Q05431, Q9FRL8, Q93WJ8, Q1PER6, Q9LK94, O82200, Q6NQ66, Q42592, Q8H1S0",,Q05431; Q9FRL8; Q93WJ8; Q1PER6; Q9LK94; O82200; Q6NQ66; Q42592; Q8H1S0
