#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,12,3837,0.00436546620354353,0.0960402564779576,"Q9C6C8, Q9M1B9, O81301, Q94ID3, F4K2L4, Q39034, Q9M0S8, O65457, Q67Y55, O81755, Q9S7T9, Q9M880",,Q9C6C8; Q9M1B9; O81301; Q94ID3; F4K2L4; Q39034; Q9M0S8; O65457; Q67Y55; O81755; Q9S7T9; Q9M880
Arginine and proline metabolism,n/a,map00330,1,98,0.119851681458531,0.181843930488805,Q9S7T9,,Q9S7T9
Biosynthesis of secondary metabolites,n/a,map01110,6,2085,0.0545083475822735,0.171311949544288,"Q9LE06, Q9M1B9, Q94ID3, Q39034, Q67Y55, O81755",,Q9LE06; Q9M1B9; Q94ID3; Q39034; Q67Y55; O81755
Plant hormone signal transduction,n/a,map04075,3,496,0.0271580934718097,0.199159352126605,"Q9LX16, Q9FJ49, Q9FPR6",,Q9LX16; Q9FJ49; Q9FPR6
Tyrosine metabolism,n/a,map00350,1,59,0.0744436272792436,0.167975364117268,Q67Y55,,Q67Y55
Phenylalanine metabolism,n/a,map00360,1,49,0.0624303380565908,0.171683429655625,Q67Y55,,Q67Y55
Isoquinoline alkaloid biosynthesis,n/a,map00950,1,32,0.0416511409611482,0.192910547609528,Q67Y55,,Q67Y55
"Tropane, piperidine and pyridine alkaloid biosynthesis",n/a,map00960,1,54,0.0684562247253653,0.172118507880918,Q67Y55,,Q67Y55
Phenylpropanoid biosynthesis,n/a,map00940,2,280,0.0516935040925119,0.174962629236194,"Q39034, O81755",,Q39034; O81755
Starch and sucrose metabolism,n/a,map00500,1,276,0.300552887821793,0.30754248986416,Q9M1B9,,Q9M1B9
MAPK signaling pathway - plant,n/a,map04016,2,238,0.0387392569955898,0.243503901115136,"Q9LX16, Q9FJ49",,Q9LX16; Q9FJ49
Longevity regulating pathway - worm,n/a,map04212,1,180,0.208231396613315,0.234927729512458,Q9C6C8,,Q9C6C8
mRNA surveillance pathway,n/a,map03015,1,196,0.224418699734019,0.246860569707421,Q9FLE2,,Q9FLE2
Fatty acid metabolism,n/a,map01212,1,111,0.134490238179565,0.184924077496902,Q9M880,,Q9M880
Biosynthesis of unsaturated fatty acids,n/a,map01040,1,38,0.0490367100345552,0.179801270126702,Q9M880,,Q9M880
Circadian rhythm - plant,n/a,map04712,1,71,0.0886578365545714,0.169606296017441,Q8W1E3,,Q8W1E3
Glucosinolate biosynthesis,n/a,map00966,1,47,0.0600091528454861,0.176026848346759,Q9LE06,,Q9LE06
2-Oxocarboxylic acid metabolism,n/a,map01210,1,126,0.15108049636074,0.18465393999646,Q9LE06,,Q9LE06
Drug metabolism - other enzymes,n/a,map00983,1,141,0.167354736145351,0.19901644298366,Q9C6C8,,Q9C6C8
Amino sugar and nucleotide sugar metabolism,n/a,map00520,1,249,0.275726435045131,0.288856265285376,Q9M1B9,,Q9M1B9
Zeatin biosynthesis,n/a,map00908,1,59,0.0744436272792436,0.167975364117268,Q94ID3,,Q94ID3
"Phenylalanine, tyrosine and tryptophan biosynthesis",n/a,map00400,1,85,0.104967143070408,0.184742171803918,Q67Y55,,Q67Y55
Cysteine and methionine metabolism,n/a,map00270,3,201,0.00241907029615235,0.106439093030704,"Q9M0S8, Q67Y55, Q9S7T9",,Q9M0S8; Q67Y55; Q9S7T9
Pathways in cancer,n/a,map05200,1,283,0.306850144862649,0.306850144862649,Q9C6C8,,Q9C6C8
Gastric cancer,n/a,map05226,1,54,0.0684562247253653,0.172118507880918,Q9FWX8,,Q9FWX8
MicroRNAs in cancer,n/a,map05206,2,95,0.00708555128856266,0.103921418898919,"Q9FWX8, Q9M0S8",,Q9FWX8; Q9M0S8
ABC transporters,n/a,map02010,1,35,0.0453510222098371,0.181404088839348,Q9FWX8,,Q9FWX8
Bile secretion,n/a,map04976,1,32,0.0416511409611482,0.192910547609528,Q9FWX8,,Q9FWX8
Hepatocellular carcinoma,n/a,map05225,1,119,0.143378070779607,0.180246717551506,Q9C6C8,,Q9C6C8
Fluid shear stress and atherosclerosis,n/a,map05418,1,197,0.225419416987003,0.241913520668978,Q9C6C8,,Q9C6C8
Fructose and mannose metabolism,n/a,map00051,1,110,0.133372836110675,0.189303380286119,Q9M1B9,,Q9M1B9
Fatty acid biosynthesis,n/a,map00061,1,65,0.0815780551200705,0.170925448823005,Q9M880,,Q9M880
Quorum sensing,n/a,map02024,1,115,0.138945548955602,0.182495646389447,O65457,,O65457
Pentose and glucuronate interconversions,n/a,map00040,2,152,0.0170925399165843,0.150414351265942,"O81301, O65457",,O81301; O65457
Aminoacyl-tRNA biosynthesis,n/a,map00970,1,88,0.108424083138004,0.183486909925853,F4K2L4,,F4K2L4
Two-component system,n/a,map02020,1,99,0.120986405469263,0.177446728021586,O81301,,O81301
Glutathione metabolism,n/a,map00480,1,172,0.200012304353757,0.231593194514877,Q9C6C8,,Q9C6C8
Novobiocin biosynthesis,n/a,map00401,1,12,0.0166185137843411,0.182803651627753,Q67Y55,,Q67Y55
Ubiquinone and other terpenoid-quinone biosynthesis,n/a,map00130,1,67,0.0839440335036405,0.167888067007281,Q67Y55,,Q67Y55
Platinum drug resistance,n/a,map01524,1,115,0.138945548955602,0.182495646389447,Q9C6C8,,Q9C6C8
Metabolism of xenobiotics by cytochrome P450,n/a,map00980,1,89,0.109573445698646,0.178564133731127,Q9C6C8,,Q9C6C8
