#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,7,3837,0.0374876460206746,0.0609174247835963,"B3H5Q1, Q8LAH7, Q39112, Q9ZW27, O81346, Q9SHH7, Q9SMU8",,B3H5Q1; Q8LAH7; Q39112; Q9ZW27; O81346; Q9SHH7; Q9SMU8
Tryptophan metabolism,n/a,map00380,1,109,0.0855861791632882,0.101147302647522,O81346,,O81346
Biosynthesis of secondary metabolites,n/a,map01110,7,2085,0.00164650668949785,0.0428091739269442,"B3H5Q1, Q8LAH7, Q39112, O81346, Q9FI37, Q9C8J4, Q9SMU8",,B3H5Q1; Q8LAH7; Q39112; O81346; Q9FI37; Q9C8J4; Q9SMU8
Plant hormone signal transduction,n/a,map04075,1,496,0.332953308931767,0.332953308931767,Q9SHC2,,Q9SHC2
Phenylpropanoid biosynthesis,n/a,map00940,2,280,0.022353576166704,0.0484327483611919,"B3H5Q1, Q9SMU8",,B3H5Q1; Q9SMU8
Starch and sucrose metabolism,n/a,map00500,2,276,0.0217682165005336,0.0514521480921704,"B3H5Q1, Q9C8J4",,B3H5Q1; Q9C8J4
Cyanoamino acid metabolism,n/a,map00460,1,104,0.0818581557188656,0.101348192794786,B3H5Q1,,B3H5Q1
Longevity regulating pathway - worm,n/a,map04212,2,180,0.00979215103684167,0.0282884363286537,"Q9ZW27, Q9SHH7",,Q9ZW27; Q9SHH7
alpha-Linolenic acid metabolism,n/a,map00592,1,71,0.0568730502131419,0.0778262792390363,Q8LAH7,,Q8LAH7
Glucosinolate biosynthesis,n/a,map00966,1,47,0.0382804572492,0.0585465816752471,O81346,,O81346
2-Oxocarboxylic acid metabolism,n/a,map01210,1,126,0.0981497275917389,0.106328871557717,O81346,,O81346
Drug metabolism - other enzymes,n/a,map00983,2,141,0.00616110399867084,0.0228841005664917,"Q9ZW27, Q9SHH7",,Q9ZW27; Q9SHH7
Pathways in cancer,n/a,map05200,2,283,0.0227968536505126,0.0455937073010251,"Q9ZW27, Q9SHH7",,Q9ZW27; Q9SHH7
Hepatocellular carcinoma,n/a,map05225,2,119,0.00445691348675074,0.0193132917759199,"Q9ZW27, Q9SHH7",,Q9ZW27; Q9SHH7
Fluid shear stress and atherosclerosis,n/a,map05418,2,197,0.011608365611898,0.0301817505909349,"Q9ZW27, Q9SHH7",,Q9ZW27; Q9SHH7
Nucleotide excision repair,n/a,map03420,1,120,0.0937351675808716,0.105961493787072,F4IFN6,,F4IFN6
Spliceosome,n/a,map03040,1,318,0.228710929004456,0.237859366164634,Q9FYE0,,Q9FYE0
Glutathione metabolism,n/a,map00480,2,172,0.00898563147698293,0.0292033023001945,"Q9ZW27, Q9SHH7",,Q9ZW27; Q9SHH7
DNA replication,n/a,map03030,1,78,0.0622285504671474,0.0808971156072917,F4IFN6,,F4IFN6
Platinum drug resistance,n/a,map01524,2,115,0.00417471991324431,0.0217085435488704,"Q9ZW27, Q9SHH7",,Q9ZW27; Q9SHH7
Metabolism of xenobiotics by cytochrome P450,n/a,map00980,2,89,0.00255403167765472,0.0221349412063409,"Q9ZW27, Q9SHH7",,Q9ZW27; Q9SHH7
Drug metabolism - cytochrome P450,n/a,map00982,2,92,0.00272185590485985,0.017692063381589,"Q9ZW27, Q9SHH7",,Q9ZW27; Q9SHH7
Diterpenoid biosynthesis,n/a,map00904,1,40,0.0327895950306087,0.0568352980530551,Q39112,,Q39112
Base excision repair,n/a,map03410,1,68,0.0545685781576093,0.0788212795609912,F4IFN6,,F4IFN6
Chemical carcinogenesis,n/a,map05204,2,84,0.00228563451608886,0.0297132487091552,"Q9ZW27, Q9SHH7",,Q9ZW27; Q9SHH7
Sesquiterpenoid and triterpenoid biosynthesis,n/a,map00909,1,30,0.0248916335510441,0.0462273194519391,Q9FI37,,Q9FI37
