#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,7,3837,0.00517015088233908,0.0137870690195709,"Q9SRY5, Q9C6C8, Q39034, Q9S702, Q9M880, Q9M1B9, O81301",,Q9SRY5; Q9C6C8; Q39034; Q9S702; Q9M880; Q9M1B9; O81301
Biosynthesis of secondary metabolites,n/a,map01110,6,2085,0.0010392713234501,0.0110855607834677,"Q39034, Q9FG67, Q9S702, Q9LE06, Q9M1B9, P48421",,Q39034; Q9FG67; Q9S702; Q9LE06; Q9M1B9; P48421
Microbial metabolism in diverse environments,n/a,map01120,1,663,0.306771447577029,0.306771447577029,Q9S702,,Q9S702
Monobactam biosynthesis,n/a,map00261,1,27,0.0152918902072258,0.0326226991087484,Q9S702,,Q9S702
Plant hormone signal transduction,n/a,map04075,1,496,0.239710564793644,0.247443163657955,Q9FJ49,,Q9FJ49
"Glycine, serine and threonine metabolism",n/a,map00260,1,123,0.0659929427845621,0.095989734959363,Q9S702,,Q9S702
Phenylpropanoid biosynthesis,n/a,map00940,1,280,0.143423339959259,0.158260237196424,Q39034,,Q39034
Starch and sucrose metabolism,n/a,map00500,1,276,0.141531445629261,0.161750223576298,Q9M1B9,,Q9M1B9
MAPK signaling pathway - plant,n/a,map04016,1,238,0.123351909576945,0.151817734863933,Q9FJ49,,Q9FJ49
Longevity regulating pathway - worm,n/a,map04212,2,180,0.00460705176890703,0.0134023324186386,"Q9SRY5, Q9C6C8",,Q9SRY5; Q9C6C8
Fatty acid metabolism,n/a,map01212,1,111,0.0597987633631629,0.0911219251248196,Q9M880,,Q9M880
Biosynthesis of unsaturated fatty acids,n/a,map01040,1,38,0.0212361900947957,0.0399740048843213,Q9M880,,Q9M880
Glucosinolate biosynthesis,n/a,map00966,3,47,3.06170708747062E-06,4.89873133995299E-05,"Q9FG67, Q9LE06, P48421",,Q9FG67; Q9LE06; P48421
2-Oxocarboxylic acid metabolism,n/a,map01210,4,126,9.01660655267647E-07,2.88531409685647E-05,"Q9FG67, Q9S702, Q9LE06, P48421",,Q9FG67; Q9S702; Q9LE06; P48421
Drug metabolism - other enzymes,n/a,map00983,2,141,0.00287930706713417,0.0102375362386993,"Q9SRY5, Q9C6C8",,Q9SRY5; Q9C6C8
Amino sugar and nucleotide sugar metabolism,n/a,map00520,1,249,0.128653054874019,0.152477694665505,Q9M1B9,,Q9M1B9
Biosynthesis of amino acids,n/a,map01230,1,419,0.206675738588767,0.220454121161352,Q9S702,,Q9S702
Cysteine and methionine metabolism,n/a,map00270,1,201,0.105286564389862,0.134766802419024,Q9S702,,Q9S702
Pathways in cancer,n/a,map05200,2,283,0.0109159030381313,0.0249506355157288,"Q9SRY5, Q9C6C8",,Q9SRY5; Q9C6C8
Hepatocellular carcinoma,n/a,map05225,2,119,0.00207497802019644,0.00829991208078574,"Q9SRY5, Q9C6C8",,Q9SRY5; Q9C6C8
Lysine biosynthesis,n/a,map00300,1,30,0.0169165806631471,0.0338331613262941,Q9S702,,Q9S702
Fluid shear stress and atherosclerosis,n/a,map05418,2,197,0.00547750826192493,0.0134830972601229,"Q9SRY5, Q9C6C8",,Q9SRY5; Q9C6C8
Glycerophospholipid metabolism,n/a,map00564,1,164,0.0868546103255626,0.11580614710075,Q9C6B9,,Q9C6B9
Fructose and mannose metabolism,n/a,map00051,1,110,0.0592807589409994,0.094849214305599,Q9M1B9,,Q9M1B9
Fatty acid biosynthesis,n/a,map00061,1,65,0.0356772930039851,0.0634262986737513,Q9M880,,Q9M880
Pentose and glucuronate interconversions,n/a,map00040,1,152,0.0807967333290644,0.112412846370872,O81301,,O81301
Two-component system,n/a,map02020,1,99,0.0535641223282276,0.0902132586580675,O81301,,O81301
Glutathione metabolism,n/a,map00480,2,172,0.00422178922530163,0.0135097255209652,"Q9SRY5, Q9C6C8",,Q9SRY5; Q9C6C8
Platinum drug resistance,n/a,map01524,2,115,0.00194225474095347,0.00887887881578728,"Q9SRY5, Q9C6C8",,Q9SRY5; Q9C6C8
Metabolism of xenobiotics by cytochrome P450,n/a,map00980,2,89,0.00118290273904945,0.0075705775299165,"Q9SRY5, Q9C6C8",,Q9SRY5; Q9C6C8
Drug metabolism - cytochrome P450,n/a,map00982,2,92,0.00126128685586873,0.00672686323129992,"Q9SRY5, Q9C6C8",,Q9SRY5; Q9C6C8
Chemical carcinogenesis,n/a,map05204,2,84,0.00105767623249726,0.0084614098599781,"Q9SRY5, Q9C6C8",,Q9SRY5; Q9C6C8
