#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Endocytosis,n/a,map04144,1,258,0.529031204622299,0.559699680252577,Q9LYJ3,,Q9LYJ3
Metabolic pathways,n/a,map01100,22,3837,0.00319469077644426,0.0155474951120287,"B3H5Q1, Q9SRY5, Q9SHH7, F4I1A6, Q9C6C8, Q94ID3, Q8LAH7, Q39112, Q9S7T9, F4K2L4, Q39034, Q9S702, Q9M880, Q9SMU8, Q9M1B9, Q9ZW27, O81301, Q9M0S8, O65457, Q67Y55, O81755, O81346",,B3H5Q1; Q9SRY5; Q9SHH7; F4I1A6; Q9C6C8; Q94ID3; Q8LAH7; Q39112; Q9S7T9; F4K2L4; Q39034; Q9S702; Q9M880; Q9SMU8; Q9M1B9; Q9ZW27; O81301; Q9M0S8; O65457; Q67Y55; O81755; O81346
Arginine and proline metabolism,n/a,map00330,1,98,0.249955859772918,0.361322331948971,Q9S7T9,,Q9S7T9
Tryptophan metabolism,n/a,map00380,1,109,0.273557384265979,0.369809056507712,O81346,,O81346
Biosynthesis of secondary metabolites,n/a,map01110,18,2085,5.54338971818846E-05,0.00134889149809253,"B3H5Q1, F4I1A6, Q9C8J4, Q84UV0, Q94ID3, Q8LAH7, Q39112, Q39034, Q9FG67, Q9FI37, Q9S702, Q9LE06, Q9SMU8, Q9M1B9, P48421, Q67Y55, O81755, O81346",,B3H5Q1; F4I1A6; Q9C8J4; Q84UV0; Q94ID3; Q8LAH7; Q39112; Q39034; Q9FG67; Q9FI37; Q9S702; Q9LE06; Q9SMU8; Q9M1B9; P48421; Q67Y55; O81755; O81346
Microbial metabolism in diverse environments,n/a,map01120,1,663,1,1.01388888888889,Q9S702,,Q9S702
Monobactam biosynthesis,n/a,map00261,1,27,0.0781053124537964,0.219295684966428,Q9S702,,Q9S702
Plant hormone signal transduction,n/a,map04075,4,496,0.0588714877041283,0.179067441766724,"Q9LX16, Q9FJ49, Q9FPR6, Q9SHC2",,Q9LX16; Q9FJ49; Q9FPR6; Q9SHC2
Pathogenic Escherichia coli infection,n/a,map05130,1,152,0.35892393826432,0.429531926119596,Q9LYJ3,,Q9LYJ3
Shigellosis,n/a,map05131,1,241,0.50514574158385,0.550382673665986,Q9LYJ3,,Q9LYJ3
Salmonella infection,n/a,map05132,1,230,0.489050608088906,0.540919611977123,Q9LYJ3,,Q9LYJ3
"Glycine, serine and threonine metabolism",n/a,map00260,1,123,0.302527588829945,0.374313796348915,Q9S702,,Q9S702
Tyrosine metabolism,n/a,map00350,1,59,0.159946084924676,0.311361711986703,Q67Y55,,Q67Y55
Phenylalanine metabolism,n/a,map00360,1,49,0.13518100141951,0.290241561871301,Q67Y55,,Q67Y55
Isoquinoline alkaloid biosynthesis,n/a,map00950,1,32,0.0913982897716926,0.222402505111119,Q67Y55,,Q67Y55
"Tropane, piperidine and pyridine alkaloid biosynthesis",n/a,map00960,1,54,0.147653228635741,0.307962448297402,Q67Y55,,Q67Y55
Phenylpropanoid biosynthesis,n/a,map00940,4,280,0.00978195168810741,0.0375832880648337,"B3H5Q1, Q39034, Q9SMU8, O81755",,B3H5Q1; Q39034; Q9SMU8; O81755
Starch and sucrose metabolism,n/a,map00500,4,276,0.00932255257033584,0.0378081298685843,"B3H5Q1, F4I1A6, Q9C8J4, Q9M1B9",,B3H5Q1; F4I1A6; Q9C8J4; Q9M1B9
Cyanoamino acid metabolism,n/a,map00460,1,104,0.262922653122361,0.362138748640233,B3H5Q1,,B3H5Q1
Hedgehog signaling pathway,n/a,map04340,1,48,0.132664802452909,0.293470623607951,Q9LV63,,Q9LV63
Hedgehog signaling pathway - fly,n/a,map04341,1,81,0.211968135310046,0.33638421473116,Q9LV63,,Q9LV63
