#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,14,3837,0.000312647188581797,0.00648742916307228,"Q8L7C9, Q9S702, Q96324, Q94IA6, Q9LYT7, Q9LZJ1, Q6NLQ7, O64749, Q9ZW84, O22862, Q9SU39, Q93WN0, Q9STW8, Q9C5M8",,Q8L7C9; Q9S702; Q96324; Q94IA6; Q9LYT7; Q9LZJ1; Q6NLQ7; O64749; Q9ZW84; O22862; Q9SU39; Q93WN0; Q9STW8; Q9C5M8
Biosynthesis of secondary metabolites,n/a,map01110,14,2085,3.92634801924102E-07,1.08628961865668E-05,"Q9FG67, Q9XI60, Q9FZ80, Q9FN52, Q9S702, Q94IA6, Q9LE06, Q9LYT7, Q9LZJ1, Q6NLQ7, Q9ZW84, O22862, Q9SU39, O49561",,Q9FG67; Q9XI60; Q9FZ80; Q9FN52; Q9S702; Q94IA6; Q9LE06; Q9LYT7; Q9LZJ1; Q6NLQ7; Q9ZW84; O22862; Q9SU39; O49561
Microbial metabolism in diverse environments,n/a,map01120,1,663,0.559572010340087,0.559572010340087,Q9S702,,Q9S702
Glycerolipid metabolism,n/a,map00561,1,104,0.121352929902975,0.188267162279382,Q9XI60,,Q9XI60
Monobactam biosynthesis,n/a,map00261,1,27,0.0339003421845302,0.122336017448522,Q9S702,,Q9S702
Sulfur metabolism,n/a,map00920,1,71,0.0848801024207759,0.180642269254472,Q93WN0,,Q93WN0
Plant hormone signal transduction,n/a,map04075,1,496,0.458465750613754,0.464056796352946,Q9ZWS7,,Q9ZWS7
Shigellosis,n/a,map05131,1,241,0.257950661796973,0.285465399055317,Q9SRZ0,,Q9SRZ0
"Glycine, serine and threonine metabolism",n/a,map00260,1,123,0.141693544205431,0.210010074447335,Q9S702,,Q9S702
Phenylpropanoid biosynthesis,n/a,map00940,2,280,0.047671572171271,0.13643932724881,"Q9LZJ1, O22862",,Q9LZJ1; O22862
Starch and sucrose metabolism,n/a,map00500,3,276,0.00510717599757916,0.0470995119776745,"Q9LZJ1, Q9SU39, Q9STW8",,Q9LZJ1; Q9SU39; Q9STW8
Cyanoamino acid metabolism,n/a,map00460,1,104,0.121352929902975,0.188267162279382,Q9LZJ1,,Q9LZJ1
Hedgehog signaling pathway,n/a,map04340,1,48,0.0585741609730594,0.151926730023873,Q9SRZ0,,Q9SRZ0
Hedgehog signaling pathway - fly,n/a,map04341,1,81,0.0960884863005047,0.177229874732042,Q9SRZ0,,Q9SRZ0
Cell cycle,n/a,map04110,2,206,0.0274632896868657,0.108545383048088,"Q9SRZ0, Q39071",,Q9SRZ0; Q39071
Cell cycle - yeast,n/a,map04111,1,167,0.187019985744127,0.228274394364155,Q9SRZ0,,Q9SRZ0
Oocyte meiosis,n/a,map04114,1,189,0.208783350175766,0.244070676966037,Q9SRZ0,,Q9SRZ0
Ubiquitin mediated proteolysis,n/a,map04120,1,252,0.267955915222899,0.28883559692858,Q9SRZ0,,Q9SRZ0
Viral carcinogenesis,n/a,map05203,1,227,0.245020023719014,0.274819756333488,Q39071,,Q39071
Human T-cell leukemia virus 1 infection,n/a,map05166,1,168,0.188022007148858,0.226171399903698,Q39071,,Q39071
Longevity regulating pathway - worm,n/a,map04212,2,180,0.0214508148281287,0.0890208815367341,"Q8L7C9, Q96324",,Q8L7C9; Q96324
