#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,8,3837,0.00672699004847684,0.0199271214643559,"Q9SRW9, Q9SA18, Q9FMT1, Q9FIW4, F4J5Z7, O64882, Q9LDA4, Q94AR8",,Q9SRW9; Q9SA18; Q9FMT1; Q9FIW4; F4J5Z7; O64882; Q9LDA4; Q94AR8
Glycolysis / Gluconeogenesis,n/a,map00010,1,205,0.138435067714947,0.142054285171547,F4J5Z7,,F4J5Z7
Biosynthesis of secondary metabolites,n/a,map01110,7,2085,0.00082620570135177,0.00720634972845711,"Q9SA18, Q9FMT1, Q9FIW4, F4J5Z7, O64882, Q9LDA4, Q94AR8",,Q9SA18; Q9FMT1; Q9FIW4; F4J5Z7; O64882; Q9LDA4; Q94AR8
Microbial metabolism in diverse environments,n/a,map01120,2,663,0.0838480453414723,0.094706065601519,"Q9SA18, F4J5Z7",,Q9SA18; F4J5Z7
Monobactam biosynthesis,n/a,map00261,1,27,0.0200348577718917,0.0378972610865902,Q9SA18,,Q9SA18
Plant hormone signal transduction,n/a,map04075,1,496,0.30227006288862,0.30227006288862,O65694,,O65694
Regulation of actin cytoskeleton,n/a,map04810,2,119,0.00354276078941422,0.0137336652824206,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Bacterial invasion of epithelial cells,n/a,map05100,1,48,0.0348000914346348,0.0533035546852454,O82480,,O82480
Pathogenic Escherichia coli infection,n/a,map05130,3,152,0.000204834284462823,0.00643179653213265,"Q9LQQ9, F4IRU3, O82480",,Q9LQQ9; F4IRU3; O82480
Shigellosis,n/a,map05131,2,241,0.0135547217530409,0.0304013045032489,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Salmonella infection,n/a,map05132,2,230,0.0124162311527332,0.0290947506116286,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Fc gamma R-mediated phagocytosis,n/a,map04666,2,106,0.00283677594694053,0.0117203637807806,"Q9LQQ9, O82480",,Q9LQQ9; O82480
"Glycine, serine and threonine metabolism",n/a,map00260,1,123,0.0857598652446501,0.0961735631672147,Q9SA18,,Q9SA18
Phenylpropanoid biosynthesis,n/a,map00940,3,280,0.00117673799227345,0.00803251586030141,"Q9FIW4, O64882, Q9LDA4",,Q9FIW4; O64882; Q9LDA4
Starch and sucrose metabolism,n/a,map00500,2,276,0.0174636949275179,0.0351512833797476,"Q9FIW4, O64882",,Q9FIW4; O64882
Cyanoamino acid metabolism,n/a,map00460,2,104,0.00273476074438766,0.011763217448462,"Q9FIW4, O64882",,Q9FIW4; O64882
Hedgehog signaling pathway - fly,n/a,map04341,1,81,0.0575594032188709,0.073172682634516,Q2QAV0,,Q2QAV0
Cell cycle,n/a,map04110,2,206,0.0100872707158973,0.0247453359749355,"Q9C701, O22806",,Q9C701; O22806
Cell cycle - yeast,n/a,map04111,3,167,0.000268601776396991,0.00602435412776108,"Q9LQQ9, Q9C701, O22806",,Q9LQQ9; Q9C701; O22806
Meiosis - yeast,n/a,map04113,1,126,0.0877419569884972,0.0976984911148515,O22806,,O22806
Oocyte meiosis,n/a,map04114,2,189,0.00856971470440802,0.022056478829378,"Q9LQQ9, O22806",,Q9LQQ9; O22806
Viral carcinogenesis,n/a,map05203,2,227,0.0121134004759795,0.0292585211496735,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Human T-cell leukemia virus 1 infection,n/a,map05166,2,168,0.00685122298034069,0.0199192964428424,"Q9LQQ9, Q9C701",,Q9LQQ9; Q9C701
Tuberculosis,n/a,map05152,1,129,0.0897198002175916,0.0991972439025485,Q9LQQ9,,Q9LQQ9
Sphingolipid signaling pathway,n/a,map04071,2,119,0.00354276078941422,0.0137336652824206,"Q9LQQ9, O82480",,Q9LQQ9; O82480
PI3K-Akt signaling pathway,n/a,map04151,2,155,0.0058761384997223,0.0177414181626231,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Human papillomavirus infection,n/a,map05165,1,212,0.142790181585183,0.14557180849918,Q9LQQ9,,Q9LQQ9
Adrenergic signaling in cardiomyocytes,n/a,map04261,1,81,0.0575594032188709,0.073172682634516,Q9LQQ9,,Q9LQQ9
