#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,7,3837,0.0226469279585886,0.041128903648931,"Q9SRW9, Q9SA18, Q9FMT1, F4J5Z7, O64882, Q9LDA4, Q94AR8",,Q9SRW9; Q9SA18; Q9FMT1; F4J5Z7; O64882; Q9LDA4; Q94AR8
Glycolysis / Gluconeogenesis,n/a,map00010,1,205,0.139892134357264,0.144463772734952,F4J5Z7,,F4J5Z7
Biosynthesis of secondary metabolites,n/a,map01110,6,2085,0.00440210477766758,0.0165602989255114,"Q9SA18, Q9FMT1, F4J5Z7, O64882, Q9LDA4, Q94AR8",,Q9SA18; Q9FMT1; F4J5Z7; O64882; Q9LDA4; Q94AR8
Microbial metabolism in diverse environments,n/a,map01120,2,663,0.0854755349270892,0.0971592411401446,"Q9SA18, F4J5Z7",,Q9SA18; F4J5Z7
Monobactam biosynthesis,n/a,map00261,1,27,0.0202601223132952,0.0400137415687581,Q9SA18,,Q9SA18
Plant hormone signal transduction,n/a,map04075,1,496,0.305116934861943,0.305116934861943,O65694,,O65694
Regulation of actin cytoskeleton,n/a,map04810,2,119,0.00362180067687213,0.0152598535185546,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Bacterial invasion of epithelial cells,n/a,map05100,1,48,0.0351883647445018,0.0553210112401123,O82480,,O82480
Pathogenic Escherichia coli infection,n/a,map05130,3,152,0.000211777144834355,0.00669215777676562,"Q9LQQ9, F4IRU3, O82480",,Q9LQQ9; F4IRU3; O82480
Shigellosis,n/a,map05131,2,241,0.0138480729130069,0.0321764047096336,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Salmonella infection,n/a,map05132,2,230,0.0126856860784765,0.0313177875062389,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Fc gamma R-mediated phagocytosis,n/a,map04666,2,106,0.00290026881616432,0.0130926420843989,"Q9LQQ9, O82480",,Q9LQQ9; O82480
"Glycine, serine and threonine metabolism",n/a,map00260,1,123,0.0866905576348421,0.0978364864736075,Q9SA18,,Q9SA18
Phenylpropanoid biosynthesis,n/a,map00940,2,280,0.0183218841954653,0.038090232932678,"O64882, Q9LDA4",,O64882; Q9LDA4
Starch and sucrose metabolism,n/a,map00500,1,276,0.183473635377086,0.185825861471664,O64882,,O64882
Cyanoamino acid metabolism,n/a,map00460,1,104,0.0739063675430868,0.0864978227541312,O64882,,O64882
Hedgehog signaling pathway - fly,n/a,map04341,1,81,0.0581938453585277,0.0756759470505957,Q2QAV0,,Q2QAV0
Cell cycle,n/a,map04110,2,206,0.0103075027927705,0.0266981219878319,"Q9C701, O22806",,Q9C701; O22806
Cell cycle - yeast,n/a,map04111,3,167,0.000277680657611931,0.00626764912895501,"Q9LQQ9, Q9C701, O22806",,Q9LQQ9; Q9C701; O22806
Meiosis - yeast,n/a,map04113,1,126,0.088693099522235,0.0993865937908733,O22806,,O22806
Oocyte meiosis,n/a,map04114,2,189,0.00875761075863923,0.0234525847434746,"Q9LQQ9, O22806",,Q9LQQ9; O22806
Viral carcinogenesis,n/a,map05203,2,227,0.0123764812846835,0.0310394292536507,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Human T-cell leukemia virus 1 infection,n/a,map05166,2,168,0.00700222832940365,0.0216931779616819,"Q9LQQ9, Q9C701",,Q9LQQ9; Q9C701
Tuberculosis,n/a,map05152,1,129,0.0906912998489883,0.100910037860142,Q9LQQ9,,Q9LQQ9
Sphingolipid signaling pathway,n/a,map04071,2,119,0.00362180067687213,0.0152598535185546,"Q9LQQ9, O82480",,Q9LQQ9; O82480
PI3K-Akt signaling pathway,n/a,map04151,2,155,0.00600607175010652,0.0189791867303366,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Human papillomavirus infection,n/a,map05165,1,212,0.144289144622825,0.148036914613028,Q9LQQ9,,Q9LQQ9
Adrenergic signaling in cardiomyocytes,n/a,map04261,1,81,0.0581938453585277,0.0756759470505957,Q9LQQ9,,Q9LQQ9
cAMP signaling pathway,n/a,map04024,2,97,0.00244536388149707,0.0120739841648918,"Q9LQQ9, O82480",,Q9LQQ9; O82480
MAPK signaling pathway - yeast,n/a,map04011,1,78,0.0561250493460047,0.0771109373623369,Q9LQQ9,,Q9LQQ9
Hepatitis C,n/a,map05160,1,66,0.0478048367838342,0.0680465244310433,Q9LQQ9,,Q9LQQ9
NOD-like receptor signaling pathway,n/a,map04621,2,117,0.00350588747582258,0.0153869505883324,"Q9LQQ9, Q9FJV7",,Q9LQQ9; Q9FJV7
Neurotrophin signaling pathway,n/a,map04722,2,84,0.00185385427889854,0.0104610348594989,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Epstein-Barr virus infection,n/a,map05169,1,154,0.107175371357054,0.115195297104861,O82480,,O82480
Autophagy - animal,n/a,map04140,1,145,0.101275426959205,0.109599434654482,Q9LQQ9,,Q9LQQ9
Parkinson disease,n/a,map05012,1,411,0.260403523226466,0.262062144393514,Q9FJV7,,Q9FJV7
Prion diseases,n/a,map05020,1,20,0.0152334675446719,0.0336627674413728,Q9LQQ9,,Q9LQQ9
Glucosinolate biosynthesis,n/a,map00966,2,47,0.000607046762223784,0.00799278236927982,"Q9FMT1, Q94AR8",,Q9FMT1; Q94AR8
