#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,11,3837,0.0030488677174077,0.0121954708696308,"O80518, F4I1A6, Q9ZT84, Q39034, Q9M880, Q9LHR4, Q9ZPS4, Q682B4, F4JW83, F4KFG5, Q9S702",,O80518; F4I1A6; Q9ZT84; Q39034; Q9M880; Q9LHR4; Q9ZPS4; Q682B4; F4JW83; F4KFG5; Q9S702
Biosynthesis of secondary metabolites,n/a,map01110,13,2085,4.98800700678044E-07,1.39664196189852E-05,"F4I1A6, Q8LEA2, Q9ZT84, Q39034, Q9FN52, Q9LE06, Q9LHR4, Q9ZPS4, P48421, Q682B4, F4JW83, F4KFG5, Q9S702",,F4I1A6; Q8LEA2; Q9ZT84; Q39034; Q9FN52; Q9LE06; Q9LHR4; Q9ZPS4; P48421; Q682B4; F4JW83; F4KFG5; Q9S702
Microbial metabolism in diverse environments,n/a,map01120,2,663,0.160684077710533,0.173044391380574,"Q9ZPS4, Q9S702",,Q9ZPS4; Q9S702
beta-Alanine metabolism,n/a,map00410,1,75,0.0785217941405789,0.122145013107567,Q9ZPS4,,Q9ZPS4
Monobactam biosynthesis,n/a,map00261,1,27,0.0296729675883545,0.0692369243728272,Q9S702,,Q9S702
"Glycine, serine and threonine metabolism",n/a,map00260,1,123,0.124929271900671,0.139920784528752,Q9S702,,Q9S702
Phenylpropanoid biosynthesis,n/a,map00940,4,280,0.000268255423737158,0.0018777879661601,"Q39034, Q9LVF0, Q682B4, F4JW83",,Q39034; Q9LVF0; Q682B4; F4JW83
Starch and sucrose metabolism,n/a,map00500,3,276,0.00350308632822727,0.0122608021487954,"F4I1A6, Q682B4, F4KFG5",,F4I1A6; Q682B4; F4KFG5
Cyanoamino acid metabolism,n/a,map00460,1,104,0.106843688012422,0.142458250683229,Q682B4,,Q682B4
Type I diabetes mellitus,n/a,map04940,1,19,0.0212852928404292,0.0595988199532017,Q9ZPS4,,Q9ZPS4
Fatty acid metabolism,n/a,map01212,1,111,0.113549550806334,0.138234235764233,Q9M880,,Q9M880
Biosynthesis of unsaturated fatty acids,n/a,map01040,1,38,0.0410896600737151,0.0767006988042682,Q9M880,,Q9M880
Circadian rhythm - plant,n/a,map04712,2,71,0.00286737499003018,0.0133810832868075,"O24646, Q8L500",,O24646; Q8L500
Prion diseases,n/a,map05020,1,20,0.0223376742478257,0.0568595344490109,Q9STH1,,Q9STH1
Glucosinolate biosynthesis,n/a,map00966,3,47,2.29362982635699E-05,0.000214072117126652,"Q9FN52, Q9LE06, P48421",,Q9FN52; Q9LE06; P48421
2-Oxocarboxylic acid metabolism,n/a,map01210,4,126,1.30467410029339E-05,0.000182654374041075,"Q9FN52, Q9LE06, P48421, Q9S702",,Q9FN52; Q9LE06; P48421; Q9S702
Biosynthesis of amino acids,n/a,map01230,1,419,0.364002497079629,0.364002497079629,Q9S702,,Q9S702
Cysteine and methionine metabolism,n/a,map00270,1,201,0.195444219971817,0.202682894785588,Q9S702,,Q9S702
Terpenoid backbone biosynthesis,n/a,map00900,1,105,0.107804741628788,0.137206034800276,Q9LHR4,,Q9LHR4
Lysine biosynthesis,n/a,map00300,1,30,0.032799921064577,0.0706459838313965,Q9S702,,Q9S702
GABAergic synapse,n/a,map04727,1,53,0.0564433356455042,0.0987758373796323,Q9ZPS4,,Q9ZPS4
Fatty acid biosynthesis,n/a,map00061,1,65,0.0685504177459961,0.11290657040517,Q9M880,,Q9M880
Quorum sensing,n/a,map02024,1,115,0.117359014741767,0.136918850532062,Q9ZPS4,,Q9ZPS4
Galactose metabolism,n/a,map00052,1,96,0.0991181837324491,0.146068902342557,O80518,,O80518
"Alanine, aspartate and glutamate metabolism",n/a,map00250,1,97,0.10008748647957,0.140122481071398,Q9ZPS4,,Q9ZPS4
Diterpenoid biosynthesis,n/a,map00904,2,40,0.000960118211842701,0.00537666198631913,"Q8LEA2, Q9ZT84",,Q8LEA2; Q9ZT84
Butanoate metabolism,n/a,map00650,1,34,0.0369536420110089,0.0739072840220178,Q9ZPS4,,Q9ZPS4
Taurine and hypotaurine metabolism,n/a,map00430,1,14,0.0160064996436207,0.0497979988912644,Q9ZPS4,,Q9ZPS4
