#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,11,3837,0.00254691615210148,0.0483914068899282,"Q9FZ62, F4K2L4, Q1PER6, A0A178VRB0, P56765, P56774, Q9ZPS3, P62090, Q9FNX8, Q9M0S8, Q67Y55",,Q9FZ62; F4K2L4; Q1PER6; A0A178VRB0; P56765; P56774; Q9ZPS3; P62090; Q9FNX8; Q9M0S8; Q67Y55
Ascorbate and aldarate metabolism,n/a,map00053,1,90,0.091246048337071,0.133359609108027,Q1PER6,,Q1PER6
Pyruvate metabolism,n/a,map00620,1,156,0.152208559707432,0.186578234480078,P56765,,P56765
Biosynthesis of secondary metabolites,n/a,map01110,4,2085,0.178101629528465,0.199054762414166,"P56765, Q9ZPS3, Q9FNX8, Q67Y55",,P56765; Q9ZPS3; Q9FNX8; Q67Y55
Microbial metabolism in diverse environments,n/a,map01120,2,663,0.154967561370674,0.184023979127676,"P56765, Q9ZPS3",,P56765; Q9ZPS3
beta-Alanine metabolism,n/a,map00410,1,75,0.0767954000773777,0.126879356649581,Q9ZPS3,,Q9ZPS3
Plant hormone signal transduction,n/a,map04075,8,496,7.50820609126131E-08,2.8531183146793E-06,"O64538, Q9FGT7, Q9SRW1, Q6NMM4, A0A178UUI1, Q9LX16, Q9LU15, Q9FPR6",,O64538; Q9FGT7; Q9SRW1; Q6NMM4; A0A178UUI1; Q9LX16; Q9LU15; Q9FPR6
Tyrosine metabolism,n/a,map00350,1,59,0.061130020045281,0.129052264540038,Q67Y55,,Q67Y55
Phenylalanine metabolism,n/a,map00360,1,49,0.0512055222334157,0.1496776803746,Q67Y55,,Q67Y55
Isoquinoline alkaloid biosynthesis,n/a,map00950,1,32,0.0340944316748269,0.129558840364342,Q67Y55,,Q67Y55
"Tropane, piperidine and pyridine alkaloid biosynthesis",n/a,map00960,1,54,0.0561807139574938,0.13773336325063,Q67Y55,,Q67Y55
MAPK signaling pathway - plant,n/a,map04016,1,238,0.222325101959984,0.234676496513317,Q9LX16,,Q9LX16
Plant-pathogen interaction,n/a,map04626,1,339,0.300825743534423,0.308956169035354,Q9SGI8,,Q9SGI8
Photosynthesis - antenna proteins,n/a,map00196,1,40,0.0421845160822025,0.133584300926974,A0A178VRB0,,A0A178VRB0
Type I diabetes mellitus,n/a,map04940,1,19,0.0208032029971415,0.0988152142364222,Q9ZPS3,,Q9ZPS3
Protein processing in endoplasmic reticulum,n/a,map04141,2,364,0.0571123610519239,0.1276629247043,"Q9XIE3, Q9LNW0",,Q9XIE3; Q9LNW0
alpha-Linolenic acid metabolism,n/a,map00592,1,71,0.0729035393900403,0.131920690324835,Q9FNX8,,Q9FNX8
mRNA surveillance pathway,n/a,map03015,1,196,0.187162147969627,0.203204617795595,Q9FLE2,,Q9FLE2
Propanoate metabolism,n/a,map00640,1,73,0.074851500259596,0.129288954993848,P56765,,P56765
Carbon metabolism,n/a,map01200,1,480,0.397431510100198,0.397431510100198,P56765,,P56765
Fatty acid metabolism,n/a,map01212,1,111,0.111100653085249,0.145580166111705,P56765,,P56765
Carbon fixation pathways in prokaryotes,n/a,map00720,1,54,0.0561807139574938,0.13773336325063,P56765,,P56765
"Phenylalanine, tyrosine and tryptophan biosynthesis",n/a,map00400,1,85,0.0864542770691854,0.136885938692877,Q67Y55,,Q67Y55
Cysteine and methionine metabolism,n/a,map00270,2,201,0.0195655564844319,0.106213020915488,"Q9M0S8, Q67Y55",,Q9M0S8; Q67Y55
MicroRNAs in cancer,n/a,map05206,1,95,0.0960128809596095,0.13512923986908,Q9M0S8,,Q9M0S8
GABAergic synapse,n/a,map04727,1,53,0.0551877507477449,0.149795323458165,Q9ZPS3,,Q9ZPS3
Fatty acid biosynthesis,n/a,map00061,1,65,0.0670352063695402,0.13407041273908,P56765,,P56765
Quorum sensing,n/a,map02024,1,115,0.114833390218315,0.145455627609865,Q9ZPS3,,Q9ZPS3
Aminoacyl-tRNA biosynthesis,n/a,map00970,1,88,0.0893323397163928,0.135785156368917,F4K2L4,,F4K2L4
Glutathione metabolism,n/a,map00480,1,172,0.166365449364159,0.191572335631456,Q1PER6,,Q1PER6
Novobiocin biosynthesis,n/a,map00401,1,12,0.013571389035668,0.128928195838846,Q67Y55,,Q67Y55
Ubiquinone and other terpenoid-quinone biosynthesis,n/a,map00130,1,67,0.0689954009126314,0.131091261734,Q67Y55,,Q67Y55
Vitamin B6 metabolism,n/a,map00750,1,25,0.0269600149956673,0.113831174426151,Q9FZ62,,Q9FZ62
Photosynthesis,n/a,map00195,2,147,0.0109153547186755,0.138261159769889,"P56774, P62090",,P56774; P62090
"Alanine, aspartate and glutamate metabolism",n/a,map00250,1,97,0.0979126600237203,0.132881467175049,Q9ZPS3,,Q9ZPS3
Linoleic acid metabolism,n/a,map00591,1,14,0.0156430119506367,0.108078991658945,Q9FNX8,,Q9FNX8
Butanoate metabolism,n/a,map00650,1,34,0.0361232865053765,0.124789535200392,Q9ZPS3,,Q9ZPS3
Taurine and hypotaurine metabolism,n/a,map00430,1,14,0.0156430119506367,0.108078991658945,Q9ZPS3,,Q9ZPS3
