#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
"Valine, leucine and isoleucine degradation",n/a,map00280,1,90,0.16603054379519,0.22272390021306,Q9SR86,,Q9SR86
Metabolic pathways,n/a,map01100,22,3837,1.18819671227964E-05,0.0019605245752614,"Q9FJZ3, A0A178WJZ2, Q9LSH2, O82200, P0DN99, Q9FXB2, O22693, Q42059, Q9SR86, Q9LIB9, Q8LAX0, Q9LTZ0, Q9LIA0, Q1G1A4, Q9SMU8, Q9SI16, O80912, Q9ZPH4, O81862, Q9STW8, Q9C5M8, O23237",,Q9FJZ3; A0A178WJZ2; Q9LSH2; O82200; P0DN99; Q9FXB2; O22693; Q42059; Q9SR86; Q9LIB9; Q8LAX0; Q9LTZ0; Q9LIA0; Q1G1A4; Q9SMU8; Q9SI16; O80912; Q9ZPH4; O81862; Q9STW8; Q9C5M8; O23237
Ascorbate and aldarate metabolism,n/a,map00053,1,90,0.16603054379519,0.22272390021306,O82200,,O82200
Biosynthesis of secondary metabolites,n/a,map01110,13,2085,0.000347729803051831,0.0191251391678507,"Q9LSH2, P0DN99, B6EXY6, Q9FI37, Q9SR86, Q9LIB9, Q8LAX0, Q9LIA0, Q1G1A4, Q9SMU8, Q9SI16, O80912, O23237",,Q9LSH2; P0DN99; B6EXY6; Q9FI37; Q9SR86; Q9LIB9; Q8LAX0; Q9LIA0; Q1G1A4; Q9SMU8; Q9SI16; O80912; O23237
Microbial metabolism in diverse environments,n/a,map01120,1,663,1,1,Q9LSH2,,Q9LSH2
beta-Alanine metabolism,n/a,map00410,2,75,0.0104849610437519,0.115334571481271,"Q9LSH2, P0DN99",,Q9LSH2; P0DN99
Plant hormone signal transduction,n/a,map04075,3,496,0.0786796146538793,0.173095152238534,"Q9FIF5, Q9LNW3, Q9ZW21",,Q9FIF5; Q9LNW3; Q9ZW21
Regulation of actin cytoskeleton,n/a,map04810,1,119,0.212936476397572,0.251860348427235,Q9LQQ9,,Q9LQQ9
Pathogenic Escherichia coli infection,n/a,map05130,1,152,0.263123844981446,0.289436229479591,Q9LQQ9,,Q9LQQ9
Shigellosis,n/a,map05131,2,241,0.0851306751252803,0.180084120457324,"Q9LQQ9, Q9FX60",,Q9LQQ9; Q9FX60
Salmonella infection,n/a,map05132,1,230,0.369438396719142,0.380983346616615,Q9LQQ9,,Q9LQQ9
Fc gamma R-mediated phagocytosis,n/a,map04666,1,106,0.192243721302618,0.236718015036806,Q9LQQ9,,Q9LQQ9
"Glycine, serine and threonine metabolism",n/a,map00260,2,123,0.0260945823845804,0.11960016926266,"P0DN99, Q9SR86",,P0DN99; Q9SR86
Tyrosine metabolism,n/a,map00350,1,59,0.112807827577693,0.194903576443135,P0DN99,,P0DN99
Phenylalanine metabolism,n/a,map00360,1,49,0.094927860956904,0.194572634259493,P0DN99,,P0DN99
Isoquinoline alkaloid biosynthesis,n/a,map00950,1,32,0.0637045682840487,0.166845297886794,P0DN99,,P0DN99
"Tropane, piperidine and pyridine alkaloid biosynthesis",n/a,map00960,1,54,0.103912255346178,0.195948824367078,P0DN99,,P0DN99
Autophagy - yeast,n/a,map04138,1,145,0.252751486147971,0.280834984608857,Q9LMM5,,Q9LMM5
Phenylpropanoid biosynthesis,n/a,map00940,4,280,0.00263907301345606,0.0483830052466944,"Q9SMU8, Q9SI16, O80912, O23237",,Q9SMU8; Q9SI16; O80912; O23237
Starch and sucrose metabolism,n/a,map00500,3,276,0.0187082337999288,0.106443399206492,"Q42059, Q9LIB9, Q9STW8",,Q42059; Q9LIB9; Q9STW8
MAPK signaling pathway - plant,n/a,map04016,4,238,0.00147908850573569,0.0406749339077316,"Q9FIF5, Q9LNW3, O82122, Q9ZW21",,Q9FIF5; Q9LNW3; O82122; Q9ZW21
Plant-pathogen interaction,n/a,map04626,2,339,0.148416127886511,0.214812816677845,"Q9SN89, O49717",,Q9SN89; O49717
Cell cycle - yeast,n/a,map04111,1,167,0.284870009853627,0.309233892275319,Q9LQQ9,,Q9LQQ9
Oocyte meiosis,n/a,map04114,1,189,0.315613439920459,0.333821907608178,Q9LQQ9,,Q9LQQ9
Viral carcinogenesis,n/a,map05203,1,227,0.365647142589724,0.379445147970468,Q9LQQ9,,Q9LQQ9
Human T-cell leukemia virus 1 infection,n/a,map05166,1,168,0.286296817294479,0.308751469631301,Q9LQQ9,,Q9LQQ9
Type I diabetes mellitus,n/a,map04940,1,19,0.0391061540245263,0.140272074218409,Q9LSH2,,Q9LSH2
Tuberculosis,n/a,map05152,1,129,0.228494001337177,0.26364692461982,Q9LQQ9,,Q9LQQ9
Longevity regulating pathway - worm,n/a,map04212,1,180,0.303198970661982,0.322760194575658,Q39152,,Q39152
Sphingolipid signaling pathway,n/a,map04071,2,119,0.0245714435735713,0.115836805418265,"Q9LQQ9, Q9ZPH4",,Q9LQQ9; Q9ZPH4
PI3K-Akt signaling pathway,n/a,map04151,1,155,0.267525130371035,0.292328784842522,Q9LQQ9,,Q9LQQ9
Human papillomavirus infection,n/a,map05165,1,212,0.346347644731542,0.36169216063737,Q9LQQ9,,Q9LQQ9
Adrenergic signaling in cardiomyocytes,n/a,map04261,1,81,0.150915118468381,0.21282901322464,Q9LQQ9,,Q9LQQ9
Peroxisome,n/a,map04146,1,144,0.251257898829819,0.282024172155919,Q39152,,Q39152
cAMP signaling pathway,n/a,map04024,1,97,0.177601459851009,0.227164657948965,Q9LQQ9,,Q9LQQ9
MAPK signaling pathway - yeast,n/a,map04011,2,78,0.011279323079491,0.116318019257251,"Q9LMM5, Q9LQQ9",,Q9LMM5; Q9LQQ9
Hepatitis C,n/a,map05160,1,66,0.125114070978763,0.200425453509669,Q9LQQ9,,Q9LQQ9
NOD-like receptor signaling pathway,n/a,map04621,1,117,0.209787681231754,0.250833097124923,Q9LQQ9,,Q9LQQ9
Neurotrophin signaling pathway,n/a,map04722,2,84,0.0129447228669251,0.106793963652132,"Q9LMM5, Q9LQQ9",,Q9LMM5; Q9LQQ9
Pyrimidine metabolism,n/a,map00240,1,98,0.179241344027443,0.227498628957909,A0A178WJZ2,,A0A178WJZ2
Autophagy - animal,n/a,map04140,1,145,0.252751486147971,0.280834984608857,Q9LQQ9,,Q9LQQ9
Prion diseases,n/a,map05020,1,20,0.0410209758639818,0.139555897269217,Q9LQQ9,,Q9LQQ9
Toxoplasmosis,n/a,map05145,2,81,0.0120993543227429,0.107913160175815,"Q9LQQ9, O49717",,Q9LQQ9; O49717
Amino sugar and nucleotide sugar metabolism,n/a,map00520,1,249,0.392931126831531,0.40269339085219,O81862,,O81862
Zeatin biosynthesis,n/a,map00908,1,59,0.112807827577693,0.194903576443135,Q9FUJ2,,Q9FUJ2
Alzheimer disease,n/a,map05010,1,426,0.573910527826951,0.57740998226492,Q9LQQ9,,Q9LQQ9
Cysteine and methionine metabolism,n/a,map00270,2,201,0.0624574195820043,0.166217326306947,"Q9SR86, Q8LAX0",,Q9SR86; Q8LAX0
Steroid biosynthesis,n/a,map00100,1,64,0.121615452208429,0.202692420347381,Q1G1A4,,Q1G1A4
Cellular senescence,n/a,map04218,1,140,0.24525376001684,0.277170345224511,Q9LQQ9,,Q9LQQ9
Pathways in cancer,n/a,map05200,1,283,0.432816084659546,0.440831197338427,Q9LQQ9,,Q9LQQ9
Transcriptional misregulation in cancer,n/a,map05202,1,78,0.145816258300217,0.217734684339691,Q9FX60,,Q9FX60
Acute myeloid leukemia,n/a,map05221,1,26,0.0524303673335728,0.161701132897935,Q9LQQ9,,Q9LQQ9
Hepatitis B,n/a,map05161,1,54,0.103912255346178,0.195948824367078,Q9LQQ9,,Q9LQQ9
Progesterone-mediated oocyte maturation,n/a,map04914,1,65,0.123366499734478,0.201539331249396,Q9LQQ9,,Q9LQQ9
Terpenoid backbone biosynthesis,n/a,map00900,1,105,0.190629709835423,0.236495504683044,Q9LIA0,,Q9LIA0
Choline metabolism in cancer,n/a,map05231,1,96,0.175958312618761,0.226821262360122,Q9LQQ9,,Q9LQQ9
FoxO signaling pathway,n/a,map04068,1,90,0.16603054379519,0.22272390021306,Q9LQQ9,,Q9LQQ9
Prostate cancer,n/a,map05215,1,43,0.0840280982845988,0.180060210609855,Q9LQQ9,,Q9LQQ9
Gastric cancer,n/a,map05226,1,54,0.103912255346178,0.195948824367078,Q9LQQ9,,Q9LQQ9
Cushing syndrome,n/a,map04934,1,24,0.0486423373264222,0.154345878054993,Q9LQQ9,,Q9LQQ9
MicroRNAs in cancer,n/a,map05206,2,95,0.0162558994707176,0.103162438948785,"Q9LMM5, Q9LQQ9",,Q9LMM5; Q9LQQ9
"Cutin, suberine and wax biosynthesis",n/a,map00073,2,52,0.00528404758598268,0.0726556543072618,"Q39152, Q9FFQ7",,Q39152; Q9FFQ7
Human immunodeficiency virus 1 infection,n/a,map05170,1,172,0.291975752747383,0.31283116365791,Q9LQQ9,,Q9LQQ9
Hepatocellular carcinoma,n/a,map05225,1,119,0.212936476397572,0.251860348427235,Q9LQQ9,,Q9LQQ9
cGMP-PKG signaling pathway,n/a,map04022,1,78,0.145816258300217,0.217734684339691,Q9LQQ9,,Q9LQQ9
Influenza A,n/a,map05164,1,80,0.149218875358091,0.214096647252913,Q9LQQ9,,Q9LQQ9
Mitophagy - yeast,n/a,map04139,1,89,0.164364373905535,0.224133237143912,Q9LMM5,,Q9LMM5
Apelin signaling pathway,n/a,map04371,1,69,0.130335995199284,0.203843025667127,Q9LQQ9,,Q9LQQ9
Kaposi sarcoma-associated herpesvirus infection,n/a,map05167,1,138,0.242233734020175,0.275645283540199,Q9LQQ9,,Q9LQQ9
GABAergic synapse,n/a,map04727,1,53,0.102122510364399,0.200597788215785,Q9LSH2,,Q9LSH2
Ras signaling pathway,n/a,map04014,1,71,0.133800021858351,0.20441670006137,Q9LQQ9,,Q9LQQ9
Rap1 signaling pathway,n/a,map04015,1,54,0.103912255346178,0.195948824367078,Q9LQQ9,,Q9LQQ9
Glioma,n/a,map05214,1,34,0.0674328691820284,0.168582172955071,Q9LQQ9,,Q9LQQ9
Fluid shear stress and atherosclerosis,n/a,map05418,1,197,0.32646346984785,0.343098551113983,Q9LMM5,,Q9LMM5
Pertussis,n/a,map05133,1,38,0.0748451740209264,0.171520190464623,Q9LQQ9,,Q9LQQ9
Human cytomegalovirus infection,n/a,map05163,1,93,0.171009228440129,0.223940656290645,Q9LQQ9,,Q9LQQ9
