#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
"Valine, leucine and isoleucine degradation",n/a,map00280,1,90,0.168516720572114,0.266818140905847,Q42523,,Q42523
Metabolic pathways,n/a,map01100,17,3837,0.00279044791354651,0.106037020714767,"Q42523, Q9SHJ5, Q9FR37, O65378, Q9LMX8, Q944I4, Q6NLB0, Q9FMD9, Q39034, Q9FIW4, Q9SS67, Q9S7A0, Q8LAX0, Q9LIA0, O64882, Q9SUW0, F4JLI5",,Q42523; Q9SHJ5; Q9FR37; O65378; Q9LMX8; Q944I4; Q6NLB0; Q9FMD9; Q39034; Q9FIW4; Q9SS67; Q9S7A0; Q8LAX0; Q9LIA0; O64882; Q9SUW0; F4JLI5
Arginine and proline metabolism,n/a,map00330,1,98,0.181902978377679,0.271071105033404,Q9FR37,,Q9FR37
Tryptophan metabolism,n/a,map00380,1,109,0.199959300816882,0.271373336822911,Q9FR37,,Q9FR37
Biosynthesis of secondary metabolites,n/a,map01110,12,2085,0.00132316928538561,0.100560865689307,"Q9SHJ5, O65378, Q9LMX8, Q944I4, Q39034, Q9FIW4, Q9SS67, Q8LAX0, Q9LIA0, O64882, Q9SUW0, F4JLI5",,Q9SHJ5; O65378; Q9LMX8; Q944I4; Q39034; Q9FIW4; Q9SS67; Q8LAX0; Q9LIA0; O64882; Q9SUW0; F4JLI5
Microbial metabolism in diverse environments,n/a,map01120,5,663,0.012114542921772,0.102300584672741,"Q9FR37, Q9LMX8, Q9FMD9, Q9S7A0, F4JLI5",,Q9FR37; Q9LMX8; Q9FMD9; Q9S7A0; F4JLI5
Glycerolipid metabolism,n/a,map00561,2,104,0.0197972453787173,0.111451159169075,"Q9SHJ5, Q944I4",,Q9SHJ5; Q944I4
Purine metabolism,n/a,map00230,1,167,0.288802099350179,0.332559993191115,F4JLI5,,F4JLI5
Plant hormone signal transduction,n/a,map04075,2,496,0.267385427252633,0.317520194862501,"Q9SA49, Q9LZZ4",,Q9SA49; Q9LZZ4
Regulation of actin cytoskeleton,n/a,map04810,1,119,0.216029452649704,0.280653647886795,O49606,,O49606
Salmonella infection,n/a,map05132,1,230,0.374201961002339,0.40627641480254,Q8LDI5,,Q8LDI5
Fc gamma R-mediated phagocytosis,n/a,map04666,1,106,0.195074586086263,0.269557609864654,O49606,,O49606
"Glycine, serine and threonine metabolism",n/a,map00260,1,123,0.222367127544152,0.281665028222592,Q944I4,,Q944I4
Phenylalanine metabolism,n/a,map00360,1,49,0.0964111052226563,0.203534555470052,Q9FR37,,Q9FR37
Protein digestion and absorption,n/a,map04974,1,15,0.0319168763948591,0.134760144778294,F4KBM7,,F4KBM7
Phenylpropanoid biosynthesis,n/a,map00940,4,280,0.00279770490702483,0.0708751909779624,"Q39034, Q9FIW4, Q9SS67, O64882",,Q39034; Q9FIW4; Q9SS67; O64882
Starch and sucrose metabolism,n/a,map00500,3,276,0.0195202076407545,0.123627981724778,"Q9FIW4, O64882, Q9SUW0",,Q9FIW4; O64882; Q9SUW0
