#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,26,3837,6.42294544673075E-07,7.25792835480575E-05,"Q9SHH6, Q8L743, Q9C6C8, Q42588, Q9FXB2, Q94AM5, Q9S7H8, Q8GYB8, P13114, Q43314, Q8VYZ3, Q96242, Q84JF0, Q1PET6, Q94A08, Q93WC9, O82200, O82191, Q6NLQ7, O64749, O80822, F4JTY4, O81862, O81772, Q93YQ7, P42734",,Q9SHH6; Q8L743; Q9C6C8; Q42588; Q9FXB2; Q94AM5; Q9S7H8; Q8GYB8; P13114; Q43314; Q8VYZ3; Q96242; Q84JF0; Q1PET6; Q94A08; Q93WC9; O82200; O82191; Q6NLQ7; O64749; O80822; F4JTY4; O81862; O81772; Q93YQ7; P42734
Ascorbate and aldarate metabolism,n/a,map00053,1,90,0.182667528613676,0.275219076444605,O82200,,O82200
Pyruvate metabolism,n/a,map00620,1,156,0.293970556781931,0.346027842878732,O82191,,O82191
Biosynthesis of secondary metabolites,n/a,map01110,14,2085,0.000288884384045126,0.0163219676985496,"Q9XI60, Q8L743, Q42588, Q9S7H8, Q8GYB8, P13114, Q9FG67, Q96242, Q1PET6, Q93WC9, Q6NLQ7, O80822, O81772, P42734",,Q9XI60; Q8L743; Q42588; Q9S7H8; Q8GYB8; P13114; Q9FG67; Q96242; Q1PET6; Q93WC9; Q6NLQ7; O80822; O81772; P42734
Microbial metabolism in diverse environments,n/a,map01120,6,663,0.00400903167685818,0.113255144871244,"Q8L743, Q42588, Q43314, Q84JF0, Q1PET6, O82191",,Q8L743; Q42588; Q43314; Q84JF0; Q1PET6; O82191
Glycerolipid metabolism,n/a,map00561,2,104,0.02335358628674,0.119952511381892,"Q9XI60, Q94AM5",,Q9XI60; Q94AM5
Sulfur metabolism,n/a,map00920,2,71,0.0115662137342595,0.130698215197132,"Q42588, Q84JF0",,Q42588; Q84JF0
Purine metabolism,n/a,map00230,1,167,0.310993259707778,0.353188325095266,Q84JF0,,Q84JF0
Plant hormone signal transduction,n/a,map04075,2,496,0.301903307219244,0.34811299709974,"Q9M9E9, O64812",,Q9M9E9; O64812
Pathogenic Escherichia coli infection,n/a,map05130,1,152,0.287677141237602,0.343994888464011,F4IVR7,,F4IVR7
Shigellosis,n/a,map05131,1,241,0.415352776114575,0.442781733027801,Q9SY65,,Q9SY65
Salmonella infection,n/a,map05132,1,230,0.40089949823481,0.431444221909843,Q9SY65,,Q9SY65
Autophagy - yeast,n/a,map04138,1,145,0.276528884384174,0.335997461671093,Q9SF09,,Q9SF09
Protein digestion and absorption,n/a,map04974,1,15,0.0348333123754265,0.135729803393903,Q9SF09,,Q9SF09
Phenylpropanoid biosynthesis,n/a,map00940,3,280,0.0254737801447094,0.125153789406616,"O80822, O81772, P42734",,O80822; O81772; P42734
Starch and sucrose metabolism,n/a,map00500,1,276,0.4590690777154,0.475915649374681,Q93YQ7,,Q93YQ7
Hedgehog signaling pathway - fly,n/a,map04341,1,81,0.166193014070712,0.264504374506907,Q9SY65,,Q9SY65
MAPK signaling pathway - plant,n/a,map04016,2,238,0.0994999632667011,0.229459098961984,"Q9M9E9, O64812",,Q9M9E9; O64812
Plant-pathogen interaction,n/a,map04626,1,339,0.529712359301025,0.539256726135278,Q9LNJ0,,Q9LNJ0
Cell cycle,n/a,map04110,1,206,0.368117594610232,0.399973924913041,Q9SY65,,Q9SY65
Cell cycle - yeast,n/a,map04111,1,167,0.310993259707778,0.353188325095266,Q9SY65,,Q9SY65
Oocyte meiosis,n/a,map04114,2,189,0.067448665801668,0.200571032515487,"Q9SY65, Q9SUA6",,Q9SY65; Q9SUA6
Ubiquitin mediated proteolysis,n/a,map04120,1,252,0.429458629358608,0.453540421659091,Q9SY65,,Q9SY65
