fromNode,toNode,value,interaction_type,selfLoop,label,guid
Q6R0H1,Q8RX87,1,,False,,0
F4HQJ2,Q8RX87,1,,False,,1
Q94KD8,Q8RX87,1,,False,,10
AT1G05533,Q9SGH6,1,,False,,100
Q8RX87,O82199,1,,False,,1000
Q8RX87,A0A1P8B2C0,1,,False,,1001
Q8RX87,A0A178VYM0,1,,False,,1002
Q8RX87,AT2G07575,1,,False,,1003
Q8RX87,Q6NLQ7,1,,False,,1004
Q8RX87,O64812,1,,False,,1005
Q8RX87,Q1PF08,1,,False,,1006
Q8RX87,Q1PF03,1,,False,,1007
Q8RX87,Q8RUI1,1,,False,,1008
Q8RX87,O81025,1,,False,,1009
AT1G05533,A0A178VRB0,1,,False,,101
Q8RX87,Q9ZNV5,1,,False,,1010
Q8RX87,Q9ZUW5,1,,False,,1011
Q8RX87,F4IHR4,1,,False,,1012
Q8RX87,Q9SKM8,1,,False,,1013
Q8RX87,AT2G08290,1,,False,,1014
Q8RX87,Q8L7D0,1,,False,,1015
Q8RX87,Q8LEV3,1,,False,,1016
Q8RX87,O49340,1,,False,,1017
Q8RX87,Q8S8N1,1,,False,,1018
Q8RX87,Q84WZ0,1,,False,,1019
Q9LM84,Q8RX87,1,,False,,102
Q8RX87,O48850,1,,False,,1020
Q8RX87,F4IVR7,1,,False,,1021
Q8RX87,AT2G33815,1,,False,,1022
Q8RX87,P93017,1,,False,,1023
Q8RX87,O22953,1,,False,,1024
Q8RX87,F4IGU5,1,,False,,1025
Q8RX87,O22971,1,,False,,1026
Q8RX87,O64757,1,,False,,1027
Q8RX87,Q9SJM6,1,,False,,1028
Q8RX87,Q9ZUT8,1,,False,,1029
Q7XJ58,P13114,1,,False,,103
Q8RX87,O80912,1,,False,,1030
Q8RX87,Q94AL9,1,,False,,1031
Q8RX87,O80902,1,,False,,1032
Q8RX87,O80961,1,,False,,1033
Q8RX87,O80959,1,,False,,1034
Q8RX87,Q1PEV9,1,,False,,1035
Q8RX87,Q56X75,1,,False,,1036
Q8RX87,O80644,1,,False,,1037
Q8RX87,AT2G40008,1,,False,,1038
Q8RX87,F4IGZ2,1,,False,,1039
Q9LPU7,Q8RX87,1,,False,,104
Q8RX87,Q93WU8,1,,False,,1040
Q8RX87,O22230,1,,False,,1041
Q8RX87,AT2G09305,1,,False,,1042
Q8RX87,A0A178VR47,1,,False,,1043
Q8RX87,Q700W2,1,,False,,1044
Q8RX87,AT2G09430,1,,False,,1045
Q8RX87,O22841,1,,False,,1046
Q8RX87,A0A178VZV0,1,,False,,1047
Q8RX87,F4IT19,1,,False,,1048
Q8RX87,O64857,1,,False,,1049
Q9LMN6,P92983,1,,False,,105
Q8RX87,O64882,1,,False,,1050
Q8RX87,O80506,1,,False,,1051
Q8RX87,A0A178VQQ1,1,,False,,1052
Q8RX87,O64645,1,,False,,1053
Q8RX87,Q9ZNR0,1,,False,,1054
Q8RX87,AT2G09745,1,,False,,1055
Q8RX87,P92973,1,,False,,1056
Q8RX87,A0A178VPP6,1,,False,,1057
Q8RX87,A0A1P8B2A8,1,,False,,1058
Q8RX87,O22901,1,,False,,1059
Q9LMN7,Q8RX87,1,,False,,106
Q8RX87,O82262,1,,False,,1060
Q8RX87,Q9ZU80,1,,False,,1061
Q8RX87,O04608,1,,False,,1062
Q8RX87,Q9ZSI1,1,,False,,1063
Q8RX87,Q9ZSJ2,1,,False,,1064
Q8RX87,Q9ZQZ3,1,,False,,1065
Q8RX87,Q9M0Y3,1,,False,,1066
Q8RX87,Q9ZPG2,1,,False,,1067
Q8RX87,F4JFX4,1,,False,,1068
Q8RX87,Q9S9U6,1,,False,,1069
F4HWF9,Q8RX87,1,,False,,107
Q8RX87,AT4G05680,1,,False,,1070
Q8RX87,Q9SUT0,1,,False,,1071
Q8RX87,Q9LDS6,1,,False,,1072
Q8RX87,F4JP36,1,,False,,1073
Q8RX87,Q9T0E0,1,,False,,1074
Q8RX87,Q38838,1,,False,,1075
Q8RX87,A0A1P8B956,1,,False,,1076
Q8RX87,F4JS75,1,,False,,1077
Q8RX87,Q9T0J9,1,,False,,1078
Q8RX87,F4JT04,1,,False,,1079
Q6NLQ3,Q8RX87,1,,False,,108
Q8RX87,AT4G06115,1,,False,,1080
