ID,NodeType,weight,x,y,color,label
A0A140JWM8,1,1,-7.54350662231445,-2.9316782951355,#006400,A0A140JWM8
A0A178U9K3,4,1,-4.30109024047852,-2.13573050498962,#FF4500,A0A178U9K3
A0A178UA82,1,1,-6.99571132659912,-2.83010983467102,#006400,A0A178UA82
A0A178UB74,4,1,-5.18727874755859,-2.47498321533203,#FF4500,A0A178UB74
A0A178UBW5,1,1,-7.67231607437134,-3.70820546150208,#006400,A0A178UBW5
A0A178UFU2,4,1,-4.74724388122559,-2.49550986289978,#FF4500,A0A178UFU2
A0A178UG27,4,1,-4.72948455810547,-2.36923956871033,#FF4500,A0A178UG27
A0A178UG74,2,1,-6.29988718032837,-1.65388381481171,#00008B,A0A178UG74
A0A178UGG9,5,1,-5.74965190887451,-3.18996334075928,#FFD700,A0A178UGG9
A0A178UH50,5,1,-5.99900150299072,-3.62440586090088,#FFD700,A0A178UH50
A0A178UJV5,3,1,-7.90874576568604,-1.74772441387177,#B03060,A0A178UJV5
A0A178UJY6,4,1,-4.60367250442505,-2.53092813491821,#FF4500,A0A178UJY6
A0A178UKY2,1,1,-6.60229730606079,-2.31435060501099,#006400,A0A178UKY2
A0A178URA3,1,1,-8.01802539825439,-3.25903749465942,#006400,A0A178URA3
A0A178USH6,5,1,-5.52087116241455,-3.03517580032349,#FFD700,A0A178USH6
A0A178UT14,3,1,-8.01611137390137,-1.51583909988403,#B03060,A0A178UT14
A0A178UTR4,4,1,-4.97889757156372,-2.11982798576355,#FF4500,A0A178UTR4
A0A178V036,4,1,-5.56245946884155,-2.14297199249268,#FF4500,A0A178V036
A0A178V0H4,5,1,-5.78594207763672,-2.06093263626099,#FFD700,A0A178V0H4
A0A178V1K1,5,1,-5.91575574874878,-2.67128658294678,#FFD700,A0A178V1K1
A0A178V3H8,3,1,-7.93311357498169,-2.40327334403992,#B03060,A0A178V3H8
A0A178V4D3,2,1,-5.65341424942017,-1.55159997940063,#00008B,A0A178V4D3
A0A178V5T8,4,1,-5.14809656143188,-2.11925768852234,#FF4500,A0A178V5T8
A0A178V5W7,1,1,-7.57259225845337,-2.95484972000122,#006400,A0A178V5W7
A0A178V6B8,2,1,-5.77392148971558,-1.96348941326141,#00008B,A0A178V6B8
A0A178V7Q0,4,1,-4.2042498588562,-2.48912382125854,#FF4500,A0A178V7Q0
A0A178VHT8,4,1,-4.69889783859253,-1.2928581237793,#FF4500,A0A178VHT8
A0A178VPP6,3,1,-7.16080570220947,-2.0469913482666,#B03060,A0A178VPP6
A0A178VQ81,3,1,-8.84355735778809,-1.83360946178436,#B03060,A0A178VQ81
A0A178VQI1,3,1,-8.20582008361816,-2.08306217193604,#B03060,A0A178VQI1
A0A178VQQ1,3,1,-8.00758838653564,-2.1948139667511,#B03060,A0A178VQQ1
A0A178VR47,3,1,-7.92624282836914,-1.96927511692047,#B03060,A0A178VR47
A0A178VRB0,4,1,-5.33113956451416,-1.38808000087738,#FF4500,A0A178VRB0
A0A178VRY6,4,1,-4.15270137786865,-2.05295753479004,#FF4500,A0A178VRY6
A0A178VS52,1,1,-6.79954433441162,-3.43229222297668,#006400,A0A178VS52
A0A178VX40,2,1,-5.79131984710693,-1.76741802692413,#00008B,A0A178VX40
