#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,7,3837,0.00950274728515513,0.0229649726057916,"Q9SRY5, Q9C6C8, F4K2L4, Q9M0S8, O65457, Q67Y55, O81755",,Q9SRY5; Q9C6C8; F4K2L4; Q9M0S8; O65457; Q67Y55; O81755
Biosynthesis of secondary metabolites,n/a,map01110,3,2085,0.138148612544369,0.143082491563811,"Q9FG67, Q67Y55, O81755",,Q9FG67; Q67Y55; O81755
Plant hormone signal transduction,n/a,map04075,2,496,0.0380592632518262,0.0580904544369979,"Q9LX16, Q9FPR6",,Q9LX16; Q9FPR6
Tyrosine metabolism,n/a,map00350,1,59,0.0362929987779967,0.0584720535867724,Q67Y55,,Q67Y55
Phenylalanine metabolism,n/a,map00360,1,49,0.0303357264514573,0.0549835041932664,Q67Y55,,Q67Y55
Isoquinoline alkaloid biosynthesis,n/a,map00950,1,32,0.0201248654836701,0.041687221359031,Q67Y55,,Q67Y55
"Tropane, piperidine and pyridine alkaloid biosynthesis",n/a,map00960,1,54,0.0333188904586593,0.056838107253007,Q67Y55,,Q67Y55
Phenylpropanoid biosynthesis,n/a,map00940,1,280,0.15910687951216,0.15910687951216,O81755,,O81755
MAPK signaling pathway - plant,n/a,map04016,1,238,0.137020330556624,0.14716998467193,Q9LX16,,Q9LX16
Longevity regulating pathway - worm,n/a,map04212,2,180,0.0057364721041336,0.0207947113774843,"Q9SRY5, Q9C6C8",,Q9SRY5; Q9C6C8
Glucosinolate biosynthesis,n/a,map00966,1,47,0.0291399191674299,0.056337177057031,Q9FG67,,Q9FG67
2-Oxocarboxylic acid metabolism,n/a,map01210,1,126,0.0752856670474393,0.0873313737750296,Q9FG67,,Q9FG67
Drug metabolism - other enzymes,n/a,map00983,2,141,0.00359120959947173,0.0173575130641133,"Q9SRY5, Q9C6C8",,Q9SRY5; Q9C6C8
"Phenylalanine, tyrosine and tryptophan biosynthesis",n/a,map00400,1,85,0.0516134303920625,0.0712756895890387,Q67Y55,,Q67Y55
Cysteine and methionine metabolism,n/a,map00270,2,201,0.0070815443982431,0.020536478754905,"Q9M0S8, Q67Y55",,Q9M0S8; Q67Y55
Pathways in cancer,n/a,map05200,2,283,0.013532049846439,0.0301868804266717,"Q9SRY5, Q9C6C8",,Q9SRY5; Q9C6C8
MicroRNAs in cancer,n/a,map05206,1,95,0.0574416988089183,0.0724264898025491,Q9M0S8,,Q9M0S8
Hepatocellular carcinoma,n/a,map05225,2,119,0.002590477166272,0.0150247675643776,"Q9SRY5, Q9C6C8",,Q9SRY5; Q9C6C8
Fluid shear stress and atherosclerosis,n/a,map05418,2,197,0.00681533211818348,0.0219605146030357,"Q9SRY5, Q9C6C8",,Q9SRY5; Q9C6C8
Quorum sensing,n/a,map02024,1,115,0.0689924189548457,0.0833658395704385,O65457,,O65457
Pentose and glucuronate interconversions,n/a,map00040,1,152,0.0899942507270762,0.100378202734047,O65457,,O65457
Aminoacyl-tRNA biosynthesis,n/a,map00970,1,88,0.0533656345488646,0.0703456091780487,F4K2L4,,F4K2L4
Glutathione metabolism,n/a,map00480,2,172,0.00525857498668717,0.0217855249448468,"Q9SRY5, Q9C6C8",,Q9SRY5; Q9C6C8
Novobiocin biosynthesis,n/a,map00401,1,12,0.00797620086540494,0.0210281659178858,Q67Y55,,Q67Y55
Ubiquinone and other terpenoid-quinone biosynthesis,n/a,map00130,1,67,0.041032803942207,0.0594975657162002,Q67Y55,,Q67Y55
Platinum drug resistance,n/a,map01524,2,115,0.00242520094244434,0.0175827068327215,"Q9SRY5, Q9C6C8",,Q9SRY5; Q9C6C8
Metabolism of xenobiotics by cytochrome P450,n/a,map00980,2,89,0.00147870145012137,0.0214411710267599,"Q9SRY5, Q9C6C8",,Q9SRY5; Q9C6C8
Drug metabolism - cytochrome P450,n/a,map00982,2,92,0.00157648100665599,0.0152393163976746,"Q9SRY5, Q9C6C8",,Q9SRY5; Q9C6C8
Chemical carcinogenesis,n/a,map05204,2,84,0.0013224478492712,0.0383509876288647,"Q9SRY5, Q9C6C8",,Q9SRY5; Q9C6C8
