#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,6,3837,0.0388275566656936,0.223258450827738,"Q94ID3, Q39112, Q9S7T9, Q39034, Q9ZW27, O81301",,Q94ID3; Q39112; Q9S7T9; Q39034; Q9ZW27; O81301
Arginine and proline metabolism,n/a,map00330,1,98,0.0622384511923489,0.159053819713781,Q9S7T9,,Q9S7T9
Biosynthesis of secondary metabolites,n/a,map01110,4,2085,0.047196203555426,0.21710253635496,"Q94ID3, Q39112, Q39034, P48421",,Q94ID3; Q39112; Q39034; P48421
Plant hormone signal transduction,n/a,map04075,1,496,0.276116492482592,0.276116492482592,Q9SHC2,,Q9SHC2
Phenylpropanoid biosynthesis,n/a,map00940,1,280,0.16684025423186,0.182729802253942,Q39034,,Q39034
Longevity regulating pathway - worm,n/a,map04212,1,180,0.110881078340708,0.141681377879794,Q9ZW27,,Q9ZW27
Glucosinolate biosynthesis,n/a,map00966,1,47,0.0306694784840595,0.352699002566684,P48421,,P48421
2-Oxocarboxylic acid metabolism,n/a,map01210,1,126,0.0791365220130854,0.140010769715459,P48421,,P48421
Drug metabolism - other enzymes,n/a,map00983,1,141,0.0880650235180096,0.144678252922444,Q9ZW27,,Q9ZW27
Zeatin biosynthesis,n/a,map00908,1,59,0.0381905806250823,0.292794451458965,Q94ID3,,Q94ID3
Cysteine and methionine metabolism,n/a,map00270,1,201,0.122932236487345,0.141372071960446,Q9S7T9,,Q9S7T9
Pathways in cancer,n/a,map05200,1,283,0.168464159861903,0.176121621673808,Q9ZW27,,Q9ZW27
Hepatocellular carcinoma,n/a,map05225,1,119,0.0749404043420414,0.143635774988913,Q9ZW27,,Q9ZW27
Fluid shear stress and atherosclerosis,n/a,map05418,1,197,0.120649279492755,0.146049127807019,Q9ZW27,,Q9ZW27
Glycerophospholipid metabolism,n/a,map00564,1,164,0.101589643681991,0.146035112792863,Q9C6B9,,Q9C6B9
Pentose and glucuronate interconversions,n/a,map00040,1,152,0.0945582159359762,0.144989264435163,O81301,,O81301
Two-component system,n/a,map02020,1,99,0.0628471921273644,0.144548541892938,O81301,,O81301
Glutathione metabolism,n/a,map00480,1,172,0.106247282254001,0.143746323049531,Q9ZW27,,Q9ZW27
Platinum drug resistance,n/a,map01524,1,115,0.0725341526309298,0.151662319137399,Q9ZW27,,Q9ZW27
Metabolism of xenobiotics by cytochrome P450,n/a,map00980,1,89,0.0567421847878861,0.186438607160197,Q9ZW27,,Q9ZW27
Drug metabolism - cytochrome P450,n/a,map00982,1,92,0.0585777984238758,0.168411170468643,Q9ZW27,,Q9ZW27
Diterpenoid biosynthesis,n/a,map00904,1,40,0.026255383445571,0.603873819248132,Q39112,,Q39112
Chemical carcinogenesis,n/a,map05204,1,84,0.0536749727171633,0.205754062082459,Q9ZW27,,Q9ZW27
