#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,2,3837,1,1,"Q8LAH7, Q9S702",,Q8LAH7; Q9S702
Biosynthesis of secondary metabolites,n/a,map01110,4,2085,0.0243390306899423,0.0924883166217807,"Q8LAH7, Q9FI37, Q9S702, Q9LE06",,Q8LAH7; Q9FI37; Q9S702; Q9LE06
Microbial metabolism in diverse environments,n/a,map01120,1,663,0.295307742466415,0.311713728158994,Q9S702,,Q9S702
Monobactam biosynthesis,n/a,map00261,1,27,0.0146123850945056,0.138817658397803,Q9S702,,Q9S702
"Glycine, serine and threonine metabolism",n/a,map00260,1,123,0.0631341394286965,0.0922729730111718,Q9S702,,Q9S702
Hedgehog signaling pathway,n/a,map04340,1,48,0.0254335445870785,0.0690339067363559,Q9LV63,,Q9LV63
Hedgehog signaling pathway - fly,n/a,map04341,1,81,0.0422023212850238,0.0728949185832229,Q9LV63,,Q9LV63
Cell cycle,n/a,map04110,1,206,0.103183858717096,0.122530832226551,Q9S7T7,,Q9S7T7
Cell cycle - yeast,n/a,map04111,1,167,0.0845797353157382,0.114786783642788,Q9S7T7,,Q9S7T7
alpha-Linolenic acid metabolism,n/a,map00592,1,71,0.0371510944163709,0.0784300882123386,Q8LAH7,,Q8LAH7
Glucosinolate biosynthesis,n/a,map00966,1,47,0.0249209141886869,0.0789162282641753,Q9LE06,,Q9LE06
2-Oxocarboxylic acid metabolism,n/a,map01210,2,126,0.00211739015950594,0.0402304130306129,"Q9S702, Q9LE06",,Q9S702; Q9LE06
Biosynthesis of amino acids,n/a,map01230,1,419,0.198410985449919,0.221753454326381,Q9S702,,Q9S702
Cysteine and methionine metabolism,n/a,map00270,1,201,0.100819676322905,0.127704923342346,Q9S702,,Q9S702
Lysine biosynthesis,n/a,map00300,1,30,0.0161654756618795,0.0877554393073461,Q9S702,,Q9S702
Nucleotide excision repair,n/a,map03420,1,120,0.0616540623089205,0.097618931989124,F4IFN6,,F4IFN6
DNA replication,n/a,map03030,1,78,0.0406896984684213,0.0773104270900005,F4IFN6,,F4IFN6
Base excision repair,n/a,map03410,1,68,0.0356306194022811,0.0846227210804176,F4IFN6,,F4IFN6
Sesquiterpenoid and triterpenoid biosynthesis,n/a,map00909,1,30,0.0161654756618795,0.0877554393073461,Q9FI37,,Q9FI37
