ID,NodeType,weight,x,y,color,label
A0A140JWM8,2,1,-2.89156198501587,6.86916542053223,#00008B,A0A140JWM8
A0A140JWM8_1,5,1,-2.25784873962402,6.16568803787231,#FFD700,A0A140JWM8_1
A0A178U7S5,2,1,-3.78931593894958,6.67607927322388,#00008B,A0A178U7S5
A0A178UEA7,1,1,-1.83810305595398,8.94683456420898,#006400,A0A178UEA7
A0A178UXE6,5,1,-2.14273405075073,5.80552291870117,#FFD700,A0A178UXE6
A0A178UXQ0,3,1,-0.76140296459198,7.22907304763794,#B03060,A0A178UXQ0
A0A178UZY4,4,1,-2.57298946380615,8.92923927307129,#FF4500,A0A178UZY4
A0A178V1C5_1,1,1,-1.78257966041565,8.75393867492676,#006400,A0A178V1C5_1
A0A178V3G1,3,1,-0.579604148864746,7.93771505355835,#B03060,A0A178V3G1
A0A178V5Z5,5,1,-1.32628297805786,6.29356861114502,#FFD700,A0A178V5Z5
A0A178VYM0,4,1,-3.43413472175598,7.89095497131348,#FF4500,A0A178VYM0
A0A178W1Y6,2,1,-3.11440181732178,6.72582769393921,#00008B,A0A178W1Y6
A0A178W2S0,5,1,-2.10666060447693,5.92231702804565,#FFD700,A0A178W2S0
A0A178WB81,4,1,-2.50482106208801,7.32511520385742,#FF4500,A0A178WB81
A0A178WC31,1,1,-2.16664266586304,9.39973258972168,#006400,A0A178WC31
A0A178WE54,2,1,-2.73996329307556,7.11312770843506,#00008B,A0A178WE54
A0A1I9LTB9,4,1,-3.01001262664795,7.49164342880249,#FF4500,A0A1I9LTB9
A0A1P8APL7,1,1,-1.78371691703796,8.12516689300537,#006400,A0A1P8APL7
A0A1P8AU14,3,1,-0.861276626586914,7.68066644668579,#B03060,A0A1P8AU14
A0A1P8AUV9,4,1,-2.86067152023315,8.13912773132324,#FF4500,A0A1P8AUV9
A0A1P8AXS8,2,1,-2.64540028572083,6.09879493713379,#00008B,A0A1P8AXS8
A0A1P8AZU2,2,1,-2.78323841094971,5.64393281936646,#00008B,A0A1P8AZU2
A0A1P8B096,1,1,-1.6463395357132,7.98279809951782,#006400,A0A1P8B096
A0A1P8B386,1,1,-1.44537258148193,9.20456314086914,#006400,A0A1P8B386
A0A1P8B8B4,4,1,-3.48740339279175,8.07521343231201,#FF4500,A0A1P8B8B4
A0A1P8BCM6,2,1,-2.88637375831604,6.55098056793213,#00008B,A0A1P8BCM6
A0A1P8BF78,4,1,-2.81792736053467,8.11960124969482,#FF4500,A0A1P8BF78
A0A1P8BGN4,2,1,-3.73043704032898,7.07328796386719,#00008B,A0A1P8BGN4
A0A1P8BGZ5,2,1,-2.69156861305237,5.77520084381104,#00008B,A0A1P8BGZ5
A0A384KEP4,5,1,-1.40954029560089,6.56787252426147,#FFD700,A0A384KEP4
A0A384KHS1,4,1,-3.58589172363281,7.77328443527222,#FF4500,A0A384KHS1
A0A384KZ20,2,1,-3.14753103256226,5.8420524597168,#00008B,A0A384KZ20
A0MDR2,1,1,-1.08768534660339,8.9521484375,#006400,A0MDR2
A0MFN6,2,1,-2.79026317596436,6.68356847763062,#00008B,A0MFN6
A8MRV9,4,1,-2.38664603233337,8.45022392272949,#FF4500,A8MRV9
AT1G04223,1,1,-1.82088398933411,8.4750919342041,#006400,AT1G04223
AT1G04273,5,1,-1.5921505689621,6.62800598144531,#FFD700,AT1G04273
AT1G04677,2,1,-3.07947707176208,5.6413197517395,#00008B,AT1G04677
AT1G04743,4,1,-2.52978563308716,7.87621450424194,#FF4500,AT1G04743
AT1G04803,2,1,-3.23461675643921,6.84542465209961,#00008B,AT1G04803
AT1G04973,2,1,-2.87379097938538,6.22670793533325,#00008B,AT1G04973
AT1G05017,3,1,-1.101726770401,7.80911874771118,#B03060,AT1G05017
AT1G05837,2,1,-3.5829222202301,6.10506868362427,#00008B,AT1G05837
AT1G06153,1,1,-1.19819498062134,8.66635322570801,#006400,AT1G06153
AT1G06463,4,1,-2.30143332481384,8.38317966461182,#FF4500,AT1G06463
AT1G06963,1,1,-0.769748389720917,8.27375984191895,#006400,AT1G06963
AT1G07753,4,1,-2.785808801651,8.47423076629639,#FF4500,AT1G07753
AT1G08697,3,1,-0.43315976858139,7.70768117904663,#B03060,AT1G08697
AT1G09327,2,1,-3.47187638282776,6.62137031555176,#00008B,AT1G09327
AT1G09523,1,1,-0.745771586894989,8.9709005355835,#006400,AT1G09523
AT1G09907,2,1,-2.7544367313385,6.84040021896362,#00008B,AT1G09907
AT1G54355,1,1,-2.05864262580872,8.54133319854736,#006400,AT1G54355
AT1G67105,3,1,-1.77015399932861,7.13004446029663,#B03060,AT1G67105
AT1G69572,5,1,-1.53917014598846,6.22321701049805,#FFD700,AT1G69572
AT1G74205,3,1,-0.396793216466904,7.97695779800415,#B03060,AT1G74205
AT2G04205,3,1,-1.35828602313995,7.72642517089844,#B03060,AT2G04205
AT2G04335,1,1,-1.37102961540222,8.49749279022217,#006400,AT2G04335
AT2G04465,1,1,-2.16196823120117,8.48694133758545,#006400,AT2G04465
AT2G04785,1,1,-1.72219741344452,9.02956295013428,#006400,AT2G04785
AT2G06995,3,1,-0.923161149024963,7.73903322219849,#B03060,AT2G06995
AT2G08290,2,1,-3.62241125106812,5.94209098815918,#00008B,AT2G08290
AT2G08340,4,1,-3.67222833633423,8.35537719726563,#FF4500,AT2G08340
AT2G08635,1,1,-0.695894539356232,8.40342903137207,#006400,AT2G08635
AT2G08660,4,1,-2.2688193321228,7.52085399627686,#FF4500,AT2G08660
AT2G08985,1,1,-0.795903861522675,8.918625831604,#006400,AT2G08985
AT2G09455,3,1,-1.75677311420441,7.66032266616821,#B03060,AT2G09455
AT2G09815,2,1,-3.70835733413696,6.54600954055786,#00008B,AT2G09815
AT2G09945,3,1,-1.93590712547302,7.72587394714355,#B03060,AT2G09945
AT3G02085,3,1,-0.636384010314941,7.46820402145386,#B03060,AT3G02085
AT3G03595,1,1,-0.522037923336029,8.22919845581055,#006400,AT3G03595
AT3G04495,2,1,-2.62166523933411,5.84163522720337,#00008B,AT3G04495
AT3G05955,1,1,-2.09075379371643,8.8945779800415,#006400,AT3G05955
AT3G06605,1,1,-1.69998729228973,9.35030269622803,#006400,AT3G06605
AT3G06962,3,1,-0.96659529209137,6.81247854232788,#B03060,AT3G06962
AT3G08070,1,1,-1.31790721416473,8.58269882202148,#006400,AT3G08070
AT3G08230,5,1,-2.19782853126526,5.71879625320435,#FFD700,AT3G08230
