#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Endocytosis,n/a,map04144,1,258,0.346669430136471,0.365578671780279,Q9LHA8,,Q9LHA8
Metabolic pathways,n/a,map01100,15,3837,0.00187451167237978,0.108721676998027,"Q9LNE3, O80518, Q9LNL0, Q9XIF8, Q9SGU9, Q94A41, Q9FHN4, Q9FMI7, Q37001, P92983, O82191, O22893, O23066, O81301, P56765",,Q9LNE3; O80518; Q9LNL0; Q9XIF8; Q9SGU9; Q94A41; Q9FHN4; Q9FMI7; Q37001; P92983; O82191; O22893; O23066; O81301; P56765
Arginine and proline metabolism,n/a,map00330,1,98,0.150070327743854,0.248687971689814,P92983,,P92983
Pyruvate metabolism,n/a,map00620,2,156,0.0280946338185841,0.181054306830875,"O82191, P56765",,O82191; P56765
Biosynthesis of secondary metabolites,n/a,map01110,8,2085,0.0230520956462892,0.191003078212111,"Q9LNE3, Q9LNL0, Q94A41, Q9FJV8, Q9FMI7, Q37001, P92983, P56765",,Q9LNE3; Q9LNL0; Q94A41; Q9FJV8; Q9FMI7; Q37001; P92983; P56765
Microbial metabolism in diverse environments,n/a,map01120,2,663,0.297749099604167,0.33210476494311,"O82191, P56765",,O82191; P56765
Selenocompound metabolism,n/a,map00450,1,30,0.0496276843208477,0.230272455248733,Q9SGU9,,Q9SGU9
Plant hormone signal transduction,n/a,map04075,2,496,0.197116504089421,0.254061271937476,"Q9SSM7, Q9SMQ4",,Q9SSM7; Q9SMQ4
Salmonella infection,n/a,map05132,1,230,0.315871657474094,0.345670870443348,O80625,,O80625
Phenylpropanoid biosynthesis,n/a,map00940,2,280,0.0787719801592285,0.268751461719721,"Q9LNL0, Q9FMI7",,Q9LNL0; Q9FMI7
Starch and sucrose metabolism,n/a,map00500,2,276,0.0768692899344355,0.297227921079817,"Q9LNE3, Q94A41",,Q9LNE3; Q94A41
MAPK signaling pathway - plant,n/a,map04016,2,238,0.0595803255172175,0.246832777142758,"Q9SSM7, Q9SMQ4",,Q9SSM7; Q9SMQ4
Plant-pathogen interaction,n/a,map04626,1,339,0.428209989401736,0.428209989401736,P43295,,P43295
