#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,15,3837,0.00499582984073377,0.0246460938809533,"Q9SRW9, Q9FUS9, Q9SHH7, Q8L7C9, Q9FIW4, F4J5Z7, Q8LAX0, Q9LTZ0, Q9LYT7, Q6NLQ7, O80912, O22862, Q9LDA4, O49505, O81862",,Q9SRW9; Q9FUS9; Q9SHH7; Q8L7C9; Q9FIW4; F4J5Z7; Q8LAX0; Q9LTZ0; Q9LYT7; Q6NLQ7; O80912; O22862; Q9LDA4; O49505; O81862
Glycolysis / Gluconeogenesis,n/a,map00010,1,205,0.307355092816907,0.361020267753192,F4J5Z7,,F4J5Z7
Biosynthesis of secondary metabolites,n/a,map01110,13,2085,0.000115571258637233,0.00285075771305174,"B6EXY6, Q9FG67, Q9FN52, Q9FIW4, F4J5Z7, Q9LE06, Q8LAX0, Q9LYT7, Q6NLQ7, O80912, O22862, Q9LDA4, O49505",,B6EXY6; Q9FG67; Q9FN52; Q9FIW4; F4J5Z7; Q9LE06; Q8LAX0; Q9LYT7; Q6NLQ7; O80912; O22862; Q9LDA4; O49505
Microbial metabolism in diverse environments,n/a,map01120,1,663,1,1.00680272108844,F4J5Z7,,F4J5Z7
Plant hormone signal transduction,n/a,map04075,1,496,0.588138081481139,0.60447525041117,Q9ZWS7,,Q9ZWS7
Phenylpropanoid biosynthesis,n/a,map00940,4,280,0.00175515482879544,0.0118074052118966,"Q9FIW4, O80912, O22862, Q9LDA4",,Q9FIW4; O80912; O22862; Q9LDA4
Starch and sucrose metabolism,n/a,map00500,1,276,0.389791281211677,0.424184629553884,Q9FIW4,,Q9FIW4
Cyanoamino acid metabolism,n/a,map00460,1,104,0.170644729795846,0.255105252624092,Q9FIW4,,Q9FIW4
Cell cycle,n/a,map04110,1,206,0.308589824961105,0.356806985111278,Q39071,,Q39071
Viral carcinogenesis,n/a,map05203,1,227,0.33401900052679,0.374506152105795,Q39071,,Q39071
Human T-cell leukemia virus 1 infection,n/a,map05166,1,168,0.260093769216236,0.320782315366691,Q39071,,Q39071
Longevity regulating pathway - worm,n/a,map04212,3,180,0.00441382800734836,0.023330233753127,"Q9FUS9, Q9SHH7, Q8L7C9",,Q9FUS9; Q9SHH7; Q8L7C9
Huntington disease,n/a,map05016,1,437,0.54231380572352,0.565228473570993,Q9FHY0,,Q9FHY0
PI3K-Akt signaling pathway,n/a,map04151,1,155,0.242737472671238,0.309699534097786,Q8RWC9,,Q8RWC9
AMPK signaling pathway,n/a,map04152,2,141,0.0271608250819249,0.111661169781247,"Q39071, Q8RWC9",,Q39071; Q8RWC9
Human papillomavirus infection,n/a,map05165,1,212,0.315952343090012,0.359699590594783,Q39071,,Q39071
Epstein-Barr virus infection,n/a,map05169,2,154,0.03186212258147,0.124094582685725,"Q39071, Q9FHY0",,Q39071; Q9FHY0
Autophagy - animal,n/a,map04140,1,145,0.229111227333161,0.302754121833106,Q8RWC9,,Q8RWC9
