#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,4,3837,0.541910228616476,0.541910228616476,"Q9S7T9, F4K2L4, Q9S702, Q67Y55",,Q9S7T9; F4K2L4; Q9S702; Q67Y55
Arginine and proline metabolism,n/a,map00330,1,98,0.0728528590370922,0.117685387675303,Q9S7T9,,Q9S7T9
Biosynthesis of secondary metabolites,n/a,map01110,3,2085,0.214166040519651,0.264558050053686,"Q8LEA2, Q9S702, Q67Y55",,Q8LEA2; Q9S702; Q67Y55
Microbial metabolism in diverse environments,n/a,map01120,1,663,0.398617699991233,0.418548584990794,Q9S702,,Q9S702
Monobactam biosynthesis,n/a,map00261,1,27,0.0211606443351269,0.148124510345889,Q9S702,,Q9S702
Plant hormone signal transduction,n/a,map04075,1,496,0.316388507955024,0.349692561423973,Q38824,,Q38824
"Glycine, serine and threonine metabolism",n/a,map00260,1,123,0.0904037862720774,0.135605679408116,Q9S702,,Q9S702
Tyrosine metabolism,n/a,map00350,1,59,0.0448022540246674,0.104538592724224,Q67Y55,,Q67Y55
Phenylalanine metabolism,n/a,map00360,1,49,0.0374755825818864,0.112426747745659,Q67Y55,,Q67Y55
Isoquinoline alkaloid biosynthesis,n/a,map00950,1,32,0.0248924409589889,0.104548252027753,Q67Y55,,Q67Y55
"Tropane, piperidine and pyridine alkaloid biosynthesis",n/a,map00960,1,54,0.0411458409860054,0.108007832588264,Q67Y55,,Q67Y55
Phenylpropanoid biosynthesis,n/a,map00940,1,280,0.193349336664468,0.253771004372115,Q9LVF0,,Q9LVF0
2-Oxocarboxylic acid metabolism,n/a,map01210,1,126,0.0924876854530802,0.129482759634312,Q9S702,,Q9S702
"Phenylalanine, tyrosine and tryptophan biosynthesis",n/a,map00400,1,85,0.06359440576472,0.121407501914465,Q67Y55,,Q67Y55
Biosynthesis of amino acids,n/a,map01230,1,419,0.274818791480431,0.320621923393836,Q9S702,,Q9S702
Cysteine and methionine metabolism,n/a,map00270,3,201,0.000537454018920098,0.0112865343973221,"Q9S7T9, Q9S702, Q67Y55",,Q9S7T9; Q9S702; Q67Y55
Lysine biosynthesis,n/a,map00300,1,30,0.0234014142465431,0.122857424794351,Q9S702,,Q9S702
Aminoacyl-tRNA biosynthesis,n/a,map00970,1,88,0.065739056459049,0.115043348803336,F4K2L4,,F4K2L4
Novobiocin biosynthesis,n/a,map00401,1,12,0.00988027667675687,0.103742905105947,Q67Y55,,Q67Y55
Ubiquinone and other terpenoid-quinone biosynthesis,n/a,map00130,1,67,0.0506238454451994,0.106310075434919,Q67Y55,,Q67Y55
Diterpenoid biosynthesis,n/a,map00904,1,40,0.0308340614715691,0.107919215150492,Q8LEA2,,Q8LEA2
