#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,12,3837,0.000375509930081057,0.00513196904444111,"B3H5Q1, F4I1A6, Q682B4, Q9C9H5, Q8LAH7, Q8GYM1, Q9LY82, Q9ZPS4, O24603, Q9ZPH4, O81862, O81755",,B3H5Q1; F4I1A6; Q682B4; Q9C9H5; Q8LAH7; Q8GYM1; Q9LY82; Q9ZPS4; O24603; Q9ZPH4; O81862; O81755
Ascorbate and aldarate metabolism,n/a,map00053,1,90,0.0844309120144221,0.138466695703652,Q9LY82,,Q9LY82
Biosynthesis of secondary metabolites,n/a,map01110,9,2085,0.000215071092123478,0.00440895738853131,"B3H5Q1, F4I1A6, Q682B4, Q8LAH7, Q9FN52, Q9ZPS4, P48421, O49561, O81755",,B3H5Q1; F4I1A6; Q682B4; Q8LAH7; Q9FN52; Q9ZPS4; P48421; O49561; O81755
Microbial metabolism in diverse environments,n/a,map01120,1,663,0.475420435656687,0.475420435656687,Q9ZPS4,,Q9ZPS4
beta-Alanine metabolism,n/a,map00410,1,75,0.0710170502974977,0.138652336295115,Q9ZPS4,,Q9ZPS4
Plant hormone signal transduction,n/a,map04075,2,496,0.0844974585408966,0.133245992314491,"O22190, Q9SHC2",,O22190; Q9SHC2
Phenylpropanoid biosynthesis,n/a,map00940,3,280,0.00271751300219564,0.015916861870003,"B3H5Q1, Q682B4, O81755",,B3H5Q1; Q682B4; O81755
Starch and sucrose metabolism,n/a,map00500,4,276,0.000170510456798304,0.00699092872873046,"B3H5Q1, F4I1A6, Q682B4, Q9C9H5",,B3H5Q1; F4I1A6; Q682B4; Q9C9H5
Cyanoamino acid metabolism,n/a,map00460,2,104,0.0048462848917307,0.0248372100701198,"B3H5Q1, Q682B4",,B3H5Q1; Q682B4
Type I diabetes mellitus,n/a,map04940,1,19,0.0191944352844943,0.071542895151297,Q9ZPS4,,Q9ZPS4
Longevity regulating pathway - worm,n/a,map04212,1,180,0.160974748980813,0.173683281795088,Q8GYM1,,Q8GYM1
alpha-Linolenic acid metabolism,n/a,map00592,1,71,0.0674072301438553,0.138184821794903,Q8LAH7,,Q8LAH7
Sphingolipid signaling pathway,n/a,map04071,1,119,0.109822162383033,0.138544881775518,Q9ZPH4,,Q9ZPH4
Circadian rhythm - plant,n/a,map04712,2,71,0.00233674050937582,0.0159677268140681,"Q8W1E3, Q8L500",,Q8W1E3; Q8L500
Glucosinolate biosynthesis,n/a,map00966,2,47,0.00106165147047335,0.0108819275723518,"Q9FN52, P48421",,Q9FN52; P48421
2-Oxocarboxylic acid metabolism,n/a,map01210,2,126,0.00698091455887327,0.0318019441015338,"Q9FN52, P48421",,Q9FN52; P48421
Drug metabolism - other enzymes,n/a,map00983,1,141,0.128617604988055,0.150666337271722,Q8GYM1,,Q8GYM1
Amino sugar and nucleotide sugar metabolism,n/a,map00520,3,249,0.0019582720208504,0.0160578305709733,"Q9LY82, O24603, O81862",,Q9LY82; O24603; O81862
Zeatin biosynthesis,n/a,map00908,1,59,0.0564941113297952,0.128681031362311,Q9LTS3,,Q9LTS3
Pathways in cancer,n/a,map05200,1,283,0.240814821088044,0.246835191615245,Q8GYM1,,Q8GYM1
Hepatocellular carcinoma,n/a,map05225,1,119,0.109822162383033,0.138544881775518,Q8GYM1,,Q8GYM1
GABAergic synapse,n/a,map04727,1,53,0.0509901639693835,0.122976277808513,Q9ZPS4,,Q9ZPS4
Fluid shear stress and atherosclerosis,n/a,map05418,1,197,0.174703596941988,0.183662755759526,Q8GYM1,,Q8GYM1
Quorum sensing,n/a,map02024,1,115,0.106361876823638,0.142978260648169,Q9ZPS4,,Q9ZPS4
Nucleotide excision repair,n/a,map03420,1,120,0.110685155951301,0.133473276294216,Q9ZQH2,,Q9ZQH2
Pentose and glucuronate interconversions,n/a,map00040,1,152,0.137867226820042,0.15701545276727,Q9LY82,,Q9LY82
Two-component system,n/a,map02020,1,99,0.092386860616813,0.130615906389287,Q9C9H5,,Q9C9H5
Glutathione metabolism,n/a,map00480,1,172,0.154435995750213,0.17113177907456,Q8GYM1,,Q8GYM1
DNA replication,n/a,map03030,1,78,0.0737153203249614,0.137378551514701,Q9ZQH2,,Q9ZQH2
Sphingolipid metabolism,n/a,map00600,1,37,0.0361568435750371,0.10588789904118,Q9ZPH4,,Q9ZPH4
Platinum drug resistance,n/a,map01524,1,115,0.106361876823638,0.142978260648169,Q8GYM1,,Q8GYM1
Ferroptosis,n/a,map04216,1,43,0.0417460868075907,0.106974347444451,O80905,,O80905
"Alanine, aspartate and glutamate metabolism",n/a,map00250,1,97,0.0906248171241754,0.132700625074685,Q9ZPS4,,Q9ZPS4
Metabolism of xenobiotics by cytochrome P450,n/a,map00980,1,89,0.0835426604236034,0.142718711556989,Q8GYM1,,Q8GYM1
Drug metabolism - cytochrome P450,n/a,map00982,1,92,0.0862048551337873,0.130903668906862,Q8GYM1,,Q8GYM1
Mineral absorption,n/a,map04978,1,29,0.028654207494411,0.0979018756059044,O80905,,O80905
Diterpenoid biosynthesis,n/a,map00904,1,40,0.0389554939907141,0.106478350241285,O49561,,O49561
Base excision repair,n/a,map03410,1,68,0.0646907410808696,0.139595809700824,Q9ZQH2,,Q9ZQH2
Chemical carcinogenesis,n/a,map05204,1,84,0.0790885696073946,0.140983971908834,Q8GYM1,,Q8GYM1
Butanoate metabolism,n/a,map00650,1,34,0.0333501124949047,0.105181124022392,Q9ZPS4,,Q9ZPS4
Taurine and hypotaurine metabolism,n/a,map00430,1,14,0.0144303515573442,0.0591644413851113,Q9ZPS4,,Q9ZPS4
