#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,15,3837,0.00101533749630949,0.0639662622674979,"Q9SHH6, Q9SHH7, A0A178WJZ2, P0DN99, O22693, Q42059, Q9FHN4, Q9LIB9, Q8LAX0, Q9LTZ0, Q9SMU8, Q9SI16, O82200, Q9ZPH4, Q9C5M8",,Q9SHH6; Q9SHH7; A0A178WJZ2; P0DN99; O22693; Q42059; Q9FHN4; Q9LIB9; Q8LAX0; Q9LTZ0; Q9SMU8; Q9SI16; O82200; Q9ZPH4; Q9C5M8
Ascorbate and aldarate metabolism,n/a,map00053,1,90,0.131073482051481,0.18983056021249,O82200,,O82200
Biosynthesis of secondary metabolites,n/a,map01110,5,2085,0.260827466147435,0.278510684191329,"P0DN99, Q9LIB9, Q8LAX0, Q9SMU8, Q9SI16",,P0DN99; Q9LIB9; Q8LAX0; Q9SMU8; Q9SI16
beta-Alanine metabolism,n/a,map00410,1,75,0.110708934125861,0.185991009331446,P0DN99,,P0DN99
Plant hormone signal transduction,n/a,map04075,1,496,0.536343178650106,0.536343178650106,Q9FJQ5,,Q9FJQ5
"Glycine, serine and threonine metabolism",n/a,map00260,1,123,0.174257277741925,0.219564169954826,P0DN99,,P0DN99
Tyrosine metabolism,n/a,map00350,1,59,0.0884632843401867,0.182727439784648,P0DN99,,P0DN99
Phenylalanine metabolism,n/a,map00360,1,49,0.0742795702592781,0.179985112551328,P0DN99,,P0DN99
Isoquinoline alkaloid biosynthesis,n/a,map00950,1,32,0.0496616744457708,0.178782028004775,P0DN99,,P0DN99
"Tropane, piperidine and pyridine alkaloid biosynthesis",n/a,map00960,1,54,0.0813986568248988,0.179933872981355,P0DN99,,P0DN99
Phenylpropanoid biosynthesis,n/a,map00940,2,280,0.070836057575165,0.185944651134808,"Q9SMU8, Q9SI16",,Q9SMU8; Q9SI16
Starch and sucrose metabolism,n/a,map00500,2,276,0.0691082747545753,0.189296578675576,"Q42059, Q9LIB9",,Q42059; Q9LIB9
MAPK signaling pathway - plant,n/a,map04016,2,238,0.0534406895539556,0.177198075889432,"O82122, Q9FJQ5",,O82122; Q9FJQ5
Plant-pathogen interaction,n/a,map04626,2,339,0.0978289270419974,0.181271247166054,"Q9SN89, O49717",,Q9SN89; O49717
Longevity regulating pathway - worm,n/a,map04212,2,180,0.0325075327066193,0.136531637367801,"Q9SHH6, Q9SHH7",,Q9SHH6; Q9SHH7
Sphingolipid signaling pathway,n/a,map04071,1,119,0.169138750653283,0.217464107982792,Q9ZPH4,,Q9ZPH4
PI3K-Akt signaling pathway,n/a,map04151,1,155,0.214092231772069,0.240853760743578,Q8RWC9,,Q8RWC9
AMPK signaling pathway,n/a,map04152,1,141,0.196905244741525,0.229722785531779,Q8RWC9,,Q8RWC9
Pyrimidine metabolism,n/a,map00240,1,98,0.141744208605152,0.192040540690851,A0A178WJZ2,,A0A178WJZ2
Autophagy - animal,n/a,map04140,1,145,0.201853607894271,0.231214132678893,Q8RWC9,,Q8RWC9
