#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,22,3837,2.8564173351039E-07,5.08442285648494E-05,"Q9LMM0, Q9LNE3, Q9FNX8, Q8GYM1, Q9FLC8, F4KFG5, Q8GY54, Q00917, Q9M880, Q9LSH2, P32962, Q94A08, Q9ZPS3, Q9SK52, Q9ZW15, A0A178VRB0, O80912, O81301, O49505, O81862, Q9STW8, O23237",,Q9LMM0; Q9LNE3; Q9FNX8; Q8GYM1; Q9FLC8; F4KFG5; Q8GY54; Q00917; Q9M880; Q9LSH2; P32962; Q94A08; Q9ZPS3; Q9SK52; Q9ZW15; A0A178VRB0; O80912; O81301; O49505; O81862; Q9STW8; O23237
Tryptophan metabolism,n/a,map00380,1,109,0.160761798758237,0.193348649857879,P32962,,P32962
Biosynthesis of secondary metabolites,n/a,map01110,14,2085,8.23073193503554E-06,0.000732535142218163,"Q9LMM0, Q9LNE3, Q9FNX8, Q9FLC8, F4KFG5, Q00917, Q9LSH2, Q9ZPS3, O80458, Q9SK52, Q9ZW15, O80912, O49505, O23237",,Q9LMM0; Q9LNE3; Q9FNX8; Q9FLC8; F4KFG5; Q00917; Q9LSH2; Q9ZPS3; O80458; Q9SK52; Q9ZW15; O80912; O49505; O23237
Microbial metabolism in diverse environments,n/a,map01120,3,663,0.0909754741595279,0.160333013865307,"Q9LSH2, P32962, Q9ZPS3",,Q9LSH2; P32962; Q9ZPS3
Glycerolipid metabolism,n/a,map00561,1,104,0.154046487448207,0.190418574762367,Q9LMM0,,Q9LMM0
beta-Alanine metabolism,n/a,map00410,2,75,0.00681521516390655,0.0933160230134897,"Q9LSH2, Q9ZPS3",,Q9LSH2; Q9ZPS3
Plant hormone signal transduction,n/a,map04075,1,496,0.547569524476161,0.547569524476161,O23115,,O23115
Regulation of actin cytoskeleton,n/a,map04810,2,119,0.0161552466633659,0.0912899652723534,"Q9LQQ9, Q9FE63",,Q9LQQ9; Q9FE63
Pathogenic Escherichia coli infection,n/a,map05130,2,152,0.0253374314932097,0.112751570144783,"Q9LQQ9, F4HWY6",,Q9LQQ9; F4HWY6
Shigellosis,n/a,map05131,3,241,0.00716492389875127,0.0910968895698376,"Q9LQQ9, Q9FX60, Q9FE63",,Q9LQQ9; Q9FX60; Q9FE63
Salmonella infection,n/a,map05132,3,230,0.00631501371450975,0.0936727034318947,"Q9LQQ9, Q9XIF4, Q9FE63",,Q9LQQ9; Q9XIF4; Q9FE63
Fc gamma R-mediated phagocytosis,n/a,map04666,1,106,0.156739002925805,0.191092756991734,Q9LQQ9,,Q9LQQ9
"Tropane, piperidine and pyridine alkaloid biosynthesis",n/a,map00960,1,54,0.0838824194992945,0.158000747839941,Q9ZW15,,Q9ZW15
Phenylpropanoid biosynthesis,n/a,map00940,3,280,0.0107057176555025,0.112095161334085,"Q9SK52, O80912, O23237",,Q9SK52; O80912; O23237
Starch and sucrose metabolism,n/a,map00500,4,276,0.00110663616659252,0.0281401768076385,"Q9LNE3, F4KFG5, Q00917, Q9STW8",,Q9LNE3; F4KFG5; Q00917; Q9STW8
Cyanoamino acid metabolism,n/a,map00460,2,104,0.0125773471083106,0.0932819910533039,"Q9FLC8, P32962",,Q9FLC8; P32962
MAPK signaling pathway - plant,n/a,map04016,2,238,0.0564811324288953,0.141600585525963,"O23115, Q9LW27",,O23115; Q9LW27
Plant-pathogen interaction,n/a,map04626,1,339,0.418548275896859,0.423304506304778,Q9SRE7,,Q9SRE7
Photosynthesis - antenna proteins,n/a,map00196,1,40,0.0632191752465783,0.141547335772213,A0A178VRB0,,A0A178VRB0
Cell cycle - yeast,n/a,map04111,1,167,0.234889247456909,0.25339567301412,Q9LQQ9,,Q9LQQ9
Oocyte meiosis,n/a,map04114,1,189,0.26126982918184,0.275183607067264,Q9LQQ9,,Q9LQQ9
Ubiquitin mediated proteolysis,n/a,map04120,1,252,0.331912801269272,0.341505656797285,Q9LTJ6,,Q9LTJ6
Viral carcinogenesis,n/a,map05203,1,227,0.304722217612707,0.31535206241315,Q9LQQ9,,Q9LQQ9
Human T-cell leukemia virus 1 infection,n/a,map05166,1,168,0.236108447283139,0.253176527809631,Q9LQQ9,,Q9LQQ9
Type I diabetes mellitus,n/a,map04940,2,19,0.000518589077235779,0.0230772139369921,"Q9LSH2, Q9ZPS3",,Q9LSH2; Q9ZPS3
Tuberculosis,n/a,map05152,1,129,0.187096848952581,0.216254799438697,Q9LQQ9,,Q9LQQ9
Longevity regulating pathway - worm,n/a,map04212,2,180,0.0344188499718188,0.11781837105738,"Q8GYM1, Q39152",,Q8GYM1; Q39152
Huntington disease,n/a,map05016,1,437,0.502817523908709,0.505658300879945,Q9FHY0,,Q9FHY0
alpha-Linolenic acid metabolism,n/a,map00592,1,71,0.108364795411582,0.169946551394375,Q9FNX8,,Q9FNX8
Sphingolipid signaling pathway,n/a,map04071,1,119,0.174033734356365,0.203802662601532,Q9LQQ9,,Q9LQQ9
PI3K-Akt signaling pathway,n/a,map04151,1,155,0.220106975492262,0.240362218635722,Q9LQQ9,,Q9LQQ9
mRNA surveillance pathway,n/a,map03015,1,196,0.269472355838957,0.282153407878437,Q9C8J1,,Q9C8J1
Human papillomavirus infection,n/a,map05165,1,212,0.287882329089776,0.299666985836141,Q9LQQ9,,Q9LQQ9
Adrenergic signaling in cardiomyocytes,n/a,map04261,1,81,0.122460984748235,0.174384442281486,Q9LQQ9,,Q9LQQ9
Peroxisome,n/a,map04146,2,144,0.0229536854316388,0.108953493515512,"Q39152, Q9FPH4",,Q39152; Q9FPH4
cAMP signaling pathway,n/a,map04024,1,97,0.144555153195766,0.1824880657365,Q9LQQ9,,Q9LQQ9
Fatty acid metabolism,n/a,map01212,1,111,0.163433050206227,0.193940552911389,Q9M880,,Q9M880
Biosynthesis of unsaturated fatty acids,n/a,map01040,1,38,0.0602296765192112,0.141998442654564,Q9M880,,Q9M880
MAPK signaling pathway - yeast,n/a,map04011,1,78,0.118255567989632,0.18068232705712,Q9LQQ9,,Q9LQQ9
Hepatitis C,n/a,map05160,1,66,0.101232456032662,0.165315386915723,Q9LQQ9,,Q9LQQ9
NOD-like receptor signaling pathway,n/a,map04621,2,117,0.015655782146055,0.0995260436427784,"Q9LQQ9, Q9XIF4",,Q9LQQ9; Q9XIF4
Neurotrophin signaling pathway,n/a,map04722,1,84,0.126646447026738,0.174077741859146,Q9LQQ9,,Q9LQQ9
Circadian rhythm - plant,n/a,map04712,2,71,0.00614665428873679,0.0994640421268316,"Q39057, Q9LTJ6",,Q39057; Q9LTJ6
Epstein-Barr virus infection,n/a,map05169,1,154,0.218862369775724,0.240478406296783,Q9FHY0,,Q9FHY0
Autophagy - animal,n/a,map04140,1,145,0.207571624326678,0.230923432063429,Q9LQQ9,,Q9LQQ9
Nitrogen metabolism,n/a,map00910,1,79,0.119659596570354,0.177495068246025,P32962,,P32962
Parkinson disease,n/a,map05012,2,411,0.140781632903035,0.182913362457958,"Q9XIF4, Q9FHY0",,Q9XIF4; Q9FHY0
Prion diseases,n/a,map05020,1,20,0.0328934808937919,0.1159413781999,Q9LQQ9,,Q9LQQ9
Glucosinolate biosynthesis,n/a,map00966,1,47,0.0736081105254887,0.154144043218082,Q9FLC8,,Q9FLC8
2-Oxocarboxylic acid metabolism,n/a,map01210,1,126,0.183199645362106,0.213134227937613,Q9FLC8,,Q9FLC8
Toxoplasmosis,n/a,map05145,1,81,0.122460984748235,0.174384442281486,Q9LQQ9,,Q9LQQ9
Drug metabolism - other enzymes,n/a,map00983,1,141,0.202501541555481,0.226699838974061,Q8GYM1,,Q8GYM1
Amino sugar and nucleotide sugar metabolism,n/a,map00520,2,249,0.0611007872466739,0.14124597571309,"Q9LNE3, O81862",,Q9LNE3; O81862
Alzheimer disease,n/a,map05010,2,426,0.148971491772016,0.18673891222126,"Q9LQQ9, Q9FHY0",,Q9LQQ9; Q9FHY0
Spinocerebellar ataxia,n/a,map05017,1,183,0.254166208554533,0.269295149539922,Q9FHY0,,Q9FHY0
Cellular senescence,n/a,map04218,1,140,0.201228986476397,0.227420695827293,Q9LQQ9,,Q9LQQ9
Pathways in cancer,n/a,map05200,2,283,0.0761407623665155,0.155782249439538,"Q9LQQ9, Q8GYM1",,Q9LQQ9; Q8GYM1
Transcriptional misregulation in cancer,n/a,map05202,1,78,0.118255567989632,0.18068232705712,Q9FX60,,Q9FX60
Acute myeloid leukemia,n/a,map05221,1,26,0.0420923229370259,0.130303191005054,Q9LQQ9,,Q9LQQ9
Hepatitis B,n/a,map05161,1,54,0.0838824194992945,0.158000747839941,Q9LQQ9,,Q9LQQ9
Progesterone-mediated oocyte maturation,n/a,map04914,1,65,0.0997991917100491,0.166800526989566,Q9LQQ9,,Q9LQQ9
Terpenoid backbone biosynthesis,n/a,map00900,1,105,0.15539381256344,0.190759300939947,O80458,,O80458
Choline metabolism in cancer,n/a,map05231,1,96,0.14319062784719,0.182709188220787,Q9LQQ9,,Q9LQQ9
p53 signaling pathway,n/a,map04115,1,54,0.0838824194992945,0.158000747839941,Q9LTJ6,,Q9LTJ6
FoxO signaling pathway,n/a,map04068,1,90,0.134957884192888,0.181988662017682,Q9LQQ9,,Q9LQQ9
Prostate cancer,n/a,map05215,1,43,0.067685693241702,0.14515726984365,Q9LQQ9,,Q9LQQ9
Gastric cancer,n/a,map05226,1,54,0.0838824194992945,0.158000747839941,Q9LQQ9,,Q9LQQ9
Cushing syndrome,n/a,map04934,1,24,0.0390357551685161,0.126333898545379,Q9LQQ9,,Q9LQQ9
MicroRNAs in cancer,n/a,map05206,1,95,0.141823937217458,0.182932324816722,Q9LQQ9,,Q9LQQ9
"Cutin, suberine and wax biosynthesis",n/a,map00073,1,52,0.0809585255973522,0.158358434684931,Q39152,,Q39152
Carotenoid biosynthesis,n/a,map00906,1,44,0.0691698194193015,0.146574141150425,O49505,,O49505
Human immunodeficiency virus 1 infection,n/a,map05170,1,172,0.240965949201164,0.256837957831181,Q9LQQ9,,Q9LQQ9
Hepatocellular carcinoma,n/a,map05225,2,119,0.0161552466633659,0.0912899652723534,"Q9LQQ9, Q8GYM1",,Q9LQQ9; Q8GYM1
cGMP-PKG signaling pathway,n/a,map04022,1,78,0.118255567989632,0.18068232705712,Q9LQQ9,,Q9LQQ9
Influenza A,n/a,map05164,1,80,0.12106140101623,0.17663056869581,Q9LQQ9,,Q9LQQ9
Apelin signaling pathway,n/a,map04371,1,69,0.105518641820937,0.16997573071608,Q9LQQ9,,Q9LQQ9
Kaposi sarcoma-associated herpesvirus infection,n/a,map05167,1,138,0.198677812753325,0.226696478654435,Q9LQQ9,,Q9LQQ9
GABAergic synapse,n/a,map04727,2,53,0.00353906205061617,0.0699947827788531,"Q9LSH2, Q9ZPS3",,Q9LSH2; Q9ZPS3
Ras signaling pathway,n/a,map04014,1,71,0.108364795411582,0.169946551394375,Q9LQQ9,,Q9LQQ9
Rap1 signaling pathway,n/a,map04015,2,54,0.00366631071533964,0.0652603307330455,"Q9LQQ9, Q9FE63",,Q9LQQ9; Q9FE63
Glioma,n/a,map05214,1,34,0.0542221763837116,0.140898502135776,Q9LQQ9,,Q9LQQ9
Fluid shear stress and atherosclerosis,n/a,map05418,2,197,0.0404571900124693,0.12859606825392,"Q9XIF4, Q8GYM1",,Q9XIF4; Q8GYM1
Pertussis,n/a,map05133,1,38,0.0602296765192112,0.141998442654564,Q9LQQ9,,Q9LQQ9
Human cytomegalovirus infection,n/a,map05163,1,93,0.139084046236565,0.183384890593396,Q9LQQ9,,Q9LQQ9
Alcoholism,n/a,map05034,2,144,0.0229536854316388,0.108953493515512,"Q9LQQ9, Q9FX60",,Q9LQQ9; Q9FX60
Vascular smooth muscle contraction,n/a,map04270,1,37,0.0587313699263006,0.142233793835122,Q9LQQ9,,Q9LQQ9
Insulin signaling pathway,n/a,map04910,1,135,0.194835845513316,0.223746970976582,Q9LQQ9,,Q9LQQ9
GnRH signaling pathway,n/a,map04912,1,41,0.0647103748648003,0.141330634674042,Q9LQQ9,,Q9LQQ9
Estrogen signaling pathway,n/a,map04915,1,48,0.0750828574057348,0.155404053700242,Q9LQQ9,,Q9LQQ9
Melanogenesis,n/a,map04916,1,29,0.046659048801989,0.135045702223643,Q9LQQ9,,Q9LQQ9
Oxytocin signaling pathway,n/a,map04921,1,79,0.119659596570354,0.177495068246025,Q9LQQ9,,Q9LQQ9
Circadian entrainment,n/a,map04713,1,19,0.0313518193633735,0.117486817824852,Q9LQQ9,,Q9LQQ9
C-type lectin receptor signaling pathway,n/a,map04625,1,40,0.0632191752465783,0.141547335772213,Q9LQQ9,,Q9LQQ9
Long-term potentiation,n/a,map04720,1,65,0.0997991917100491,0.166800526989566,Q9LQQ9,,Q9LQQ9
RNA transport,n/a,map03013,1,285,0.366190961938686,0.37460914497176,Q9C8J1,,Q9C8J1
Glycerophospholipid metabolism,n/a,map00564,1,164,0.231220020596531,0.250958315037698,Q9LMM0,,Q9LMM0
HIF-1 signaling pathway,n/a,map04066,1,107,0.158082061827979,0.191419095274695,Q9LQQ9,,Q9LQQ9
Fructose and mannose metabolism,n/a,map00051,1,110,0.162098483527813,0.193647852805038,Q9LNE3,,Q9LNE3
TGF-beta signaling pathway,n/a,map04350,1,70,0.106942846620794,0.169962738379476,Q9LQQ9,,Q9LQQ9
Retrograde endocannabinoid signaling,n/a,map04723,1,83,0.125253504290523,0.174180654404009,Q9LQQ9,,Q9LQQ9
