fromNode,toNode,value,interaction_type,selfLoop,label,guid
Q9LNI5,O65719,1,,False,,0
Q9LMM5,Q41975,1,,False,,1
Q5XEP9,Q41975,1,,False,,10
Q9C615,Q41975,1,,False,,100
A0A178VRB0,Q9LY94,1,,False,,1000
A0A178VRB0,F4K2L4,1,,False,,1001
A0A178VRB0,Q9FMQ5,1,,False,,1002
A0A178VRB0,Q9FMX3,1,,False,,1003
A0A178VRB0,AT5G04665,1,,False,,1004
A0A178VRB0,Q949R3,1,,False,,1005
A0A178VRB0,Q9FIC8,1,,False,,1006
A0A178VRB0,Q9FLM6,1,,False,,1007
A0A178VRB0,Q9FMH4,1,,False,,1008
A0A178VRB0,Q9FJ45,1,,False,,1009
AT1G06537,Q41975,1,,False,,101
A0A178VRB0,Q6DBD7,1,,False,,1010
A0A178VRB0,Q6NQN5,1,,False,,1011
A0A178VRB0,Q9FM20,1,,False,,1012
A0A178VRB0,Q9SGI8,1,,False,,1013
A0A178VRB0,Q9SRW1,1,,False,,1014
A0A178VRB0,Q6NMM4,1,,False,,1015
A0A178VRB0,AT3G01635,1,,False,,1016
A0A178VRB0,Q39256,1,,False,,1017
A0A178VRB0,Q9LJF1,1,,False,,1018
A0A178VRB0,A0A384L5A7,1,,False,,1019
A0A178WL27,Q03250,1,,False,,102
A0A178VRB0,A0MDR2,1,,False,,1020
A0A178VRB0,Q94KB9,1,,False,,1021
A0A178VRB0,F4J0K7,1,,False,,1022
A0A178VRB0,Q8S9K8,1,,False,,1023
A0A178VRB0,Q9LX44,1,,False,,1024
A0A178VRB0,A0MF36,1,,False,,1025
A0A178VRB0,A0A178VHT8,1,,False,,1026
A0A178VRB0,AT2G04335,1,,False,,1027
A0A178VRB0,Q8W246,1,,False,,1028
A0A178VRB0,AT2G05705,1,,False,,1029
A0A178WL27,Q41975,1,,False,,103
A0A178VRB0,Q8LF43,1,,False,,1030
A0A178VRB0,Q8RUN2,1,,False,,1031
A0A178VRB0,Q9SKY8,1,,False,,1032
A0A178VRB0,F4IGU3,1,,False,,1033
A0A178VRB0,AT2G08665,1,,False,,1034
A0A178VRB0,Q8H124,1,,False,,1035
A0A178VRB0,O80940,1,,False,,1036
A0A178VRB0,AT2G08985,1,,False,,1037
A0A178VRB0,AT2G09100,1,,False,,1038
A0A178VRB0,AT2G09510,1,,False,,1039
Q9C7Y3,Q41975,1,,False,,104
A0A178VRB0,A0A1P8B386,1,,False,,1040
A0A178VRB0,AT4G04223,1,,False,,1041
A0A178VRB0,Q9SN28,1,,False,,1042
A0A178VRB0,Q9SVQ1,1,,False,,1043
A0A178VRB0,P0DKI5,1,,False,,1044
A0A178VRB0,Q570S7,1,,False,,1045
A0A178VRB0,Q67Y55,1,,False,,1046
A0A178VRB0,Q9M0C2,1,,False,,1047
A0A178VRB0,A0A178UUI1,1,,False,,1048
A0A178VRB0,P93309_1,1,,False,,1049
AT1G06607,Q41975,1,,False,,105
A0A178VRB0,P56788,1,,False,,1050
A0A178VRB0,P56774,1,,False,,1051
A0A178VRB0,ATCG01180,1,,False,,1052
Q8H124,A0A178VRB0,1,,False,,1053
O64686,Q41975,1,,False,,1054
Q94BZ4,Q41975,1,,False,,1055
Q3EBM6,Q41975,1,,False,,1056
AT2G08750,Q41975,1,,False,,1057
Q9ZQP6,Q41975,1,,False,,1058
Q8S8K6,Q41975,1,,False,,1059
Q9MAP4,Q41975,1,,False,,106
P30302,A0A178WGQ1,1,,False,,1060
P30302,Q2V4F3,1,,False,,1061
P30302,Q9FKR0,1,,False,,1062
P30302,AT2G07495,1,,False,,1063
P30302,Q944A3,1,,False,,1064
P30302,Q41975,1,,False,,1065
P30302,Q67Y55,1,,False,,1066
Q0WT19,Q41975,1,,False,,1067
O80940,A0A178VRB0,1,,False,,1068
O80940,Q41975,1,,False,,1069
F4HPH2,Q03250,1,,False,,107
O80943,Q41975,1,,False,,1070
Q0PGJ6,Q03250,1,,False,,1071
A0A178VRZ9,Q03250,1,,False,,1072
O80912,Q41975,1,,False,,1073
AT2G08985,A0A178VRB0,1,,False,,1074
AT2G08985,Q41975,1,,False,,1075
O80959,Q03250,1,,False,,1076
