#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,23,3837,1.22969251110563E-11,1.10672325999507E-09,"Q5XEP9, Q39103, Q9SHH6, Q8L743, Q42588, Q9XIF8, Q9S7H8, Q9FRL8, Q8GYB8, Q8VYZ3, Q9M9K1, Q93WC9, Q39161, Q9ZW24, Q9ZW30, Q9SJQ9, O22893, P46422, Q9SVQ9, F4JTY4, Q9SZB9, Q9T003, Q93YQ7",,Q5XEP9; Q39103; Q9SHH6; Q8L743; Q42588; Q9XIF8; Q9S7H8; Q9FRL8; Q8GYB8; Q8VYZ3; Q9M9K1; Q93WC9; Q39161; Q9ZW24; Q9ZW30; Q9SJQ9; O22893; P46422; Q9SVQ9; F4JTY4; Q9SZB9; Q9T003; Q93YQ7
Tryptophan metabolism,n/a,map00380,1,109,0.107617918523481,0.149009425647897,Q9T003,,Q9T003
Glycolysis / Gluconeogenesis,n/a,map00010,2,205,0.0197034602993512,0.0656782009978374,"Q9M9K1, Q9SJQ9",,Q9M9K1; Q9SJQ9
Ascorbate and aldarate metabolism,n/a,map00053,1,90,0.089887136233353,0.147088041109123,Q9FRL8,,Q9FRL8
Biosynthesis of secondary metabolites,n/a,map01110,13,2085,3.17597834423414E-07,3.17597834423414E-06,"Q9FZ21, Q5XEP9, Q39103, Q8L743, Q42588, Q9S7H8, Q8GYB8, Q9M9K1, Q93WC9, Q9ZU49, Q9SJQ9, Q9SVQ9, Q9SZB9",,Q9FZ21; Q5XEP9; Q39103; Q8L743; Q42588; Q9S7H8; Q8GYB8; Q9M9K1; Q93WC9; Q9ZU49; Q9SJQ9; Q9SVQ9; Q9SZB9
Microbial metabolism in diverse environments,n/a,map01120,5,663,0.000690484703256692,0.00443883023522159,"Q8L743, Q42588, Q9M9K1, Q39161, Q9SJQ9",,Q8L743; Q42588; Q9M9K1; Q39161; Q9SJQ9
Glycerolipid metabolism,n/a,map00561,1,104,0.102985424281553,0.147122034687933,Q9ZU49,,Q9ZU49
Sulfur metabolism,n/a,map00920,1,71,0.0718069111545271,0.136055200082262,Q42588,,Q42588
Plant hormone signal transduction,n/a,map04075,2,496,0.0943965235357964,0.143994696919012,"Q9ZWS6, O82333",,Q9ZWS6; O82333
Pathogenic Escherichia coli infection,n/a,map05130,1,152,0.146490103773437,0.179375637273596,Q9T0G2,,Q9T0G2
Shigellosis,n/a,map05131,2,241,0.0265280235470884,0.0823283489392398,"Q9C9Y7, Q9T0G2",,Q9C9Y7; Q9T0G2
Salmonella infection,n/a,map05132,1,230,0.212763710649389,0.233521145834695,Q9T0G2,,Q9T0G2
