#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Endocytosis,n/a,map04144,2,258,1,1.04,"P22954, Q9LHA8",,P22954; Q9LHA8
"Valine, leucine and isoleucine degradation",n/a,map00280,3,90,0.0790915446286148,0.198627629124135,"Q42523, Q570C8, Q94AL9",,Q42523; Q570C8; Q94AL9
Metabolic pathways,n/a,map01100,125,3837,3.10770038115965E-26,6.86801784236283E-24,"Q9SRX4, Q42523, O64489, Q5XEP9, Q9SYK6, Q9LNE3, Q9SHJ5, Q9FR37, O80518, Q9FUS8, O65378, Q9LMX8, Q39103, Q9SHH6, Q8L743, Q9FYL6, A0A178WJZ2, Q84VY3, Q9C6C8, Q42534, Q42588, Q9FXB2, Q9XIF8, O22693, Q8LDN8, Q9C7W4, Q9S777, Q94A41, Q9C9H5, Q94AM5, Q9S7H8, Q9FRL8, Q8LAH7, Q8GYB8, P11832, Q9C971, Q944I4, Q6NLB0, Q96330, Q9LFP0, P13114, Q9S7T9, Q9FMD9, Q43314, F4K2L4, Q8VYZ3, Q39034, Q8RX87, Q9FLV5, Q9FNF2, F4JWS8, Q9FIW4, Q96242, Q9FJR1, Q570C8, Q9LUE6, Q9FM79, Q37001, Q84JF0, Q1PET6, Q9SS67, Q9S7A0, Q9M9K1, Q1PER6, Q9LIB9, Q8LAX0, Q9LIA0, P92983, P32962, P32961, P49078, P41088, Q94A08, Q9M1B9, Q9LZJ1, Q93WC9, Q9ZQI7, Q39161, O82200, O82191, Q6NLQ7, Q9ZW15, Q9ZW24, Q9ZW29, Q9ZW30, O49340, O49312, A0A178VRB0, O64749, Q9SJQ9, O80912, Q94AL9, Q9ZV04, O80822, O24598, O24658, O22841, A0A178VQI1, O64882, O22893, O23066, Q9M111, O81301, P46422, Q9S9U6, Q9T0E0, A0A1P8B956, Q9SVQ9, Q9SVQ1, F4JTY4, O81862, P92980, O65457, Q9SUW0, Q39110, Q8H1S0, O81772, Q9SZB9, O65677, O23141, F4JLI5, Q9T003, Q8W2B8, Q93YQ7, P42734",,Q9SRX4; Q42523; O64489; Q5XEP9; Q9SYK6; Q9LNE3; Q9SHJ5; Q9FR37; O80518; Q9FUS8; O65378; Q9LMX8; Q39103; Q9SHH6; Q8L743; Q9FYL6; A0A178WJZ2; Q84VY3; Q9C6C8; Q42534; Q42588; Q9FXB2; Q9XIF8; O22693; Q8LDN8; Q9C7W4; Q9S777; Q94A41; Q9C9H5; Q94AM5; Q9S7H8; Q9FRL8; Q8LAH7; Q8GYB8; P11832; Q9C971; Q944I4; Q6NLB0; Q96330; Q9LFP0; P13114; Q9S7T9; Q9FMD9; Q43314; F4K2L4; Q8VYZ3; Q39034; Q8RX87; Q9FLV5; Q9FNF2; F4JWS8; Q9FIW4; Q96242; Q9FJR1; Q570C8; Q9LUE6; Q9FM79; Q37001; Q84JF0; Q1PET6; Q9SS67; Q9S7A0; Q9M9K1; Q1PER6; Q9LIB9; Q8LAX0; Q9LIA0; P92983; P32962; P32961; P49078; P41088; Q94A08; Q9M1B9; Q9LZJ1; Q93WC9; Q9ZQI7; Q39161; O82200; O82191; Q6NLQ7; Q9ZW15; Q9ZW24; Q9ZW29; Q9ZW30; O49340; O49312; A0A178VRB0; O64749; Q9SJQ9; O80912; Q94AL9; Q9ZV04; O80822; O24598; O24658; O22841; A0A178VQI1; O64882; O22893; O23066; Q9M111; O81301; P46422; Q9S9U6; Q9T0E0; A0A1P8B956; Q9SVQ9; Q9SVQ1; F4JTY4; O81862; P92980; O65457; Q9SUW0; Q39110; Q8H1S0; O81772; Q9SZB9; O65677; O23141; F4JLI5; Q9T003; Q8W2B8; Q93YQ7; P42734
Arginine and proline metabolism,n/a,map00330,4,98,0.0246327432159646,0.0892432172250521,"Q9FR37, Q9S7T9, P92983, O23141",,Q9FR37; Q9S7T9; P92983; O23141
Tryptophan metabolism,n/a,map00380,9,109,5.83169593049342E-06,8.05503000399403E-05,"O64489, Q9FR37, Q9XI76, P32962, P32961, O49340, O49312, Q9SVQ1, Q9T003",,O64489; Q9FR37; Q9XI76; P32962; P32961; O49340; O49312; Q9SVQ1; Q9T003
Glycolysis / Gluconeogenesis,n/a,map00010,2,205,1,1.04,"Q9M9K1, Q9SJQ9",,Q9M9K1; Q9SJQ9
Ascorbate and aldarate metabolism,n/a,map00053,4,90,0.0188892979815417,0.0707548280325543,"Q9FRL8, Q1PER6, O82200, Q8H1S0",,Q9FRL8; Q1PER6; O82200; Q8H1S0
Pyruvate metabolism,n/a,map00620,1,156,1,1.04,O82191,,O82191
Biosynthesis of secondary metabolites,n/a,map01110,65,2085,2.49638691924632E-13,2.75850754576719E-11,"Q9FZ21, Q5XEP9, Q9LNE3, Q9SHJ5, O65378, Q9LMX8, Q9XI60, Q39103, Q8L743, Q9FYL6, Q42588, Q9S777, Q94A41, Q9S7H8, Q8LAH7, Q8GYB8, B6EXY6, Q9C971, Q944I4, Q96330, P13114, Q39034, Q9FG67, Q9FLV5, Q9FNF2, Q9FIW4, Q96242, Q9FJR1, Q570C8, Q56Y11, Q37001, Q1PET6, Q9SS67, Q9M9K1, Q9LIB9, Q8LAX0, Q9LIA0, P92983, P49078, P41088, Q9M1B9, Q9LZJ1, Q93WC9, Q9ZU49, Q9ZQI7, Q6NLQ7, Q9ZW15, Q9SJQ9, O80912, Q94AL9, Q9ZV04, O80822, O64882, Q9M111, Q9S9U6, A0A1P8B956, Q9SVQ9, Q9SUW0, Q39110, O81772, Q9SZB9, O65677, F4JLI5, Q8W2B8, P42734",,Q9FZ21; Q5XEP9; Q9LNE3; Q9SHJ5; O65378; Q9LMX8; Q9XI60; Q39103; Q8L743; Q9FYL6; Q42588; Q9S777; Q94A41; Q9S7H8; Q8LAH7; Q8GYB8; B6EXY6; Q9C971; Q944I4; Q96330; P13114; Q39034; Q9FG67; Q9FLV5; Q9FNF2; Q9FIW4; Q96242; Q9FJR1; Q570C8; Q56Y11; Q37001; Q1PET6; Q9SS67; Q9M9K1; Q9LIB9; Q8LAX0; Q9LIA0; P92983; P49078; P41088; Q9M1B9; Q9LZJ1; Q93WC9; Q9ZU49; Q9ZQI7; Q6NLQ7; Q9ZW15; Q9SJQ9; O80912; Q94AL9; Q9ZV04; O80822; O64882; Q9M111; Q9S9U6; A0A1P8B956; Q9SVQ9; Q9SUW0; Q39110; O81772; Q9SZB9; O65677; F4JLI5; Q8W2B8; P42734
Microbial metabolism in diverse environments,n/a,map01120,19,663,0.000197239889469117,0.00198136434421249,"Q9FR37, Q9LMX8, Q8L743, Q42588, P11832, Q9FMD9, Q43314, Q84JF0, Q1PET6, Q9S7A0, Q9M9K1, P32962, P32961, Q39161, O82191, Q9SJQ9, P92980, F4JLI5, Q8W2B8",,Q9FR37; Q9LMX8; Q8L743; Q42588; P11832; Q9FMD9; Q43314; Q84JF0; Q1PET6; Q9S7A0; Q9M9K1; P32962; P32961; Q39161; O82191; Q9SJQ9; P92980; F4JLI5; Q8W2B8
