#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,5,3837,0.00735850921614241,0.0441510552968545,"Q39034, Q9C6C8, Q9M880, Q9M1B9, O81301",,Q39034; Q9C6C8; Q9M880; Q9M1B9; O81301
Biosynthesis of secondary metabolites,n/a,map01110,5,2085,0.000525630419666433,0.00420504335733147,"Q39034, Q9FG67, Q9LE06, Q9M1B9, P48421",,Q39034; Q9FG67; Q9LE06; Q9M1B9; P48421
Phenylpropanoid biosynthesis,n/a,map00940,1,280,0.0861825992713361,0.0899296688048724,Q39034,,Q39034
Starch and sucrose metabolism,n/a,map00500,1,276,0.0850081623718952,0.0927361771329766,Q9M1B9,,Q9M1B9
Longevity regulating pathway - worm,n/a,map04212,1,180,0.0563763363309808,0.0712122143128178,Q9C6C8,,Q9C6C8
Fatty acid metabolism,n/a,map01212,1,111,0.0352599128761829,0.0705198257523659,Q9M880,,Q9M880
Biosynthesis of unsaturated fatty acids,n/a,map01040,1,38,0.0124181936343884,0.0596073294450645,Q9M880,,Q9M880
Glucosinolate biosynthesis,n/a,map00966,3,47,5.8924794037132E-07,1.41419505689117E-05,"Q9FG67, Q9LE06, P48421",,Q9FG67; Q9LE06; P48421
2-Oxocarboxylic acid metabolism,n/a,map01210,3,126,1.03250082419116E-05,0.000123900098902939,"Q9FG67, Q9LE06, P48421",,Q9FG67; Q9LE06; P48421
Drug metabolism - other enzymes,n/a,map00983,1,141,0.0444969420492273,0.0711951072787636,Q9C6C8,,Q9C6C8
Amino sugar and nucleotide sugar metabolism,n/a,map00520,1,249,0.0770421572282136,0.0880481796893869,Q9M1B9,,Q9M1B9
Pathways in cancer,n/a,map05200,1,283,0.0870624628877763,0.0870624628877763,Q9C6C8,,Q9C6C8
Hepatocellular carcinoma,n/a,map05225,1,119,0.0377315931000921,0.0646827310287293,Q9C6C8,,Q9C6C8
Fluid shear stress and atherosclerosis,n/a,map05418,1,197,0.0615093837188557,0.0738112604626268,Q9C6C8,,Q9C6C8
Glycerophospholipid metabolism,n/a,map00564,1,164,0.0515202501407291,0.0727344707869116,Q9C6B9,,Q9C6B9
Fructose and mannose metabolism,n/a,map00051,1,110,0.0349505182565881,0.0762556761961922,Q9M1B9,,Q9M1B9
Fatty acid biosynthesis,n/a,map00061,1,65,0.0209272490855943,0.0837089963423774,Q9M880,,Q9M880
Pentose and glucuronate interconversions,n/a,map00040,1,152,0.0478622146159291,0.0717933219238936,O81301,,O81301
Two-component system,n/a,map02020,1,99,0.0315407899337952,0.0756978958411084,O81301,,O81301
Glutathione metabolism,n/a,map00480,1,172,0.0539513291223142,0.071935105496419,Q9C6C8,,Q9C6C8
Platinum drug resistance,n/a,map01524,1,115,0.0364965252558388,0.0673782004723178,Q9C6C8,,Q9C6C8
Metabolism of xenobiotics by cytochrome P450,n/a,map00980,1,89,0.0284308526730549,0.0852925580191648,Q9C6C8,,Q9C6C8
Drug metabolism - cytochrome P450,n/a,map00982,1,92,0.0293648541421109,0.0783062777122958,Q9C6C8,,Q9C6C8
Chemical carcinogenesis,n/a,map05204,1,84,0.0268722372138952,0.0921333847333549,Q9C6C8,,Q9C6C8
