#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,4,3837,0.0725567928452857,0.104300389715098,"Q9S7T9, Q9M0S8, Q9SRY5, Q9S702",,Q9S7T9; Q9M0S8; Q9SRY5; Q9S702
Arginine and proline metabolism,n/a,map00330,1,98,0.0398593184086755,0.114595540424942,Q9S7T9,,Q9S7T9
Biosynthesis of secondary metabolites,n/a,map01110,1,2085,0.578584802498796,0.578584802498796,Q9S702,,Q9S702
Microbial metabolism in diverse environments,n/a,map01120,1,663,0.239248593733348,0.250123529812137,Q9S702,,Q9S702
Monobactam biosynthesis,n/a,map00261,1,27,0.0114349339603386,0.131501740543894,Q9S702,,Q9S702
Plant hormone signal transduction,n/a,map04075,1,496,0.18497278248844,0.20258923796353,Q9FJ49,,Q9FJ49
"Glycine, serine and threonine metabolism",n/a,map00260,1,123,0.049675979608613,0.103867957363464,Q9S702,,Q9S702
MAPK signaling pathway - plant,n/a,map04016,1,238,0.0935803218285519,0.119574855669816,Q9FJ49,,Q9FJ49
Longevity regulating pathway - worm,n/a,map04212,1,180,0.0716916440169357,0.109927187492635,Q9SRY5,,Q9SRY5
2-Oxocarboxylic acid metabolism,n/a,map01210,1,126,0.050847348676144,0.0974574182959427,Q9S702,,Q9S702
Drug metabolism - other enzymes,n/a,map00983,1,141,0.0566830026512219,0.100285312382931,Q9SRY5,,Q9SRY5
Biosynthesis of amino acids,n/a,map01230,1,419,0.158686246437079,0.182489183402641,Q9S702,,Q9S702
Cysteine and methionine metabolism,n/a,map00270,3,201,8.5682569888173E-05,0.00197069910742798,"Q9S7T9, Q9M0S8, Q9S702",,Q9S7T9; Q9M0S8; Q9S702
Pathways in cancer,n/a,map05200,1,283,0.110213710906915,0.133416597413634,Q9SRY5,,Q9SRY5
MicroRNAs in cancer,n/a,map05206,1,95,0.0386746617055497,0.127073888461092,Q9M0S8,,Q9M0S8
Hepatocellular carcinoma,n/a,map05225,1,119,0.0481119501878708,0.110657485432103,Q9SRY5,,Q9SRY5
Lysine biosynthesis,n/a,map00300,1,30,0.0126524784483779,0.0970023347708969,Q9S702,,Q9S702
Fluid shear stress and atherosclerosis,n/a,map05418,1,197,0.0781604004698589,0.105746424165103,Q9SRY5,,Q9SRY5
Glutathione metabolism,n/a,map00480,1,172,0.0686321510343951,0.112752819556506,Q9SRY5,,Q9SRY5
Platinum drug resistance,n/a,map01524,1,115,0.0465453982840094,0.118949351170246,Q9SRY5,,Q9SRY5
Metabolism of xenobiotics by cytochrome P450,n/a,map00980,1,89,0.0363010493585953,0.166984827049539,Q9SRY5,,Q9SRY5
Drug metabolism - cytochrome P450,n/a,map00982,1,92,0.0374885725844914,0.143706194907217,Q9SRY5,,Q9SRY5
Chemical carcinogenesis,n/a,map05204,1,84,0.0343186525146099,0.197332251959007,Q9SRY5,,Q9SRY5
