#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,7,3837,0.0357743512379699,0.405442647363659,"Q9FZ62, Q3E9D5, F4K2L4, F4IKM1, O64753, P25819, P56765",,Q9FZ62; Q3E9D5; F4K2L4; F4IKM1; O64753; P25819; P56765
Arginine and proline metabolism,n/a,map00330,1,98,0.0766142387881657,0.133583800963981,Q3E9D5,,Q3E9D5
Tryptophan metabolism,n/a,map00380,1,109,0.0847597296593924,0.130992309473606,P25819,,P25819
Pyruvate metabolism,n/a,map00620,1,156,0.118769497831268,0.149561589861597,P56765,,P56765
Biosynthesis of secondary metabolites,n/a,map01110,3,2085,0.236670140119576,0.259573702066631,"F4IKM1, P25819, P56765",,F4IKM1; P25819; P56765
Microbial metabolism in diverse environments,n/a,map01120,1,663,0.414830327231536,0.414830327231536,P56765,,P56765
Plant hormone signal transduction,n/a,map04075,4,496,0.000746879971204641,0.0253939190209578,"Q9C9E3, Q9SRW1, Q6NMM4, A0A178UUI1",,Q9C9E3; Q9SRW1; Q6NMM4; A0A178UUI1
"Tropane, piperidine and pyridine alkaloid biosynthesis",n/a,map00960,1,54,0.0433085212162512,0.26772540388228,F4IKM1,,F4IKM1
MAPK signaling pathway - plant,n/a,map04016,1,238,0.175136712782962,0.198488274487357,P25819,,P25819
Longevity regulating pathway - worm,n/a,map04212,1,180,0.135650636679768,0.164718630254004,P25819,,P25819
Protein processing in endoplasmic reticulum,n/a,map04141,1,364,0.254869040928743,0.270798355986789,P13853,,P13853
Huntington disease,n/a,map05016,1,437,0.297521497738656,0.306537300700434,Q9ZVB9,,Q9ZVB9
Synaptic vesicle cycle,n/a,map04721,1,106,0.0825453121079274,0.133644791031882,Q9ZPV9,,Q9ZPV9
Peroxisome,n/a,map04146,1,144,0.110206965479246,0.15294027862426,P25819,,P25819
Propanoate metabolism,n/a,map00640,1,73,0.0578339434041032,0.187271816737096,P56765,,P56765
Carbon metabolism,n/a,map01200,2,480,0.0579155319836347,0.164094007286965,"P25819, P56765",,P25819; P56765
Fatty acid metabolism,n/a,map01212,1,111,0.0862330681606542,0.127474970324445,P56765,,P56765
MAPK signaling pathway - yeast,n/a,map04011,1,78,0.0616200031550123,0.161160008251571,P25819,,P25819
Glyoxylate and dicarboxylate metabolism,n/a,map00630,1,144,0.110206965479246,0.15294027862426,P25819,,P25819
Carbon fixation pathways in prokaryotes,n/a,map00720,1,54,0.0433085212162512,0.26772540388228,P56765,,P56765
Circadian rhythm - plant,n/a,map04712,1,71,0.0563152894971411,0.212746649211422,Q93WK5,,Q93WK5
Pyrimidine metabolism,n/a,map00240,1,98,0.0766142387881657,0.133583800963981,O64753,,O64753
Longevity regulating pathway,n/a,map04211,1,65,0.0517447753167706,0.23457631476936,P25819,,P25819
Cysteine and methionine metabolism,n/a,map00270,1,201,0.15015880892222,0.176048258736396,Q3E9D5,,Q3E9D5
FoxO signaling pathway,n/a,map04068,1,90,0.0706452166376142,0.141290433275228,P25819,,P25819
Amyotrophic lateral sclerosis (ALS),n/a,map05014,1,87,0.0683970006035062,0.155033201367947,P25819,,P25819
Longevity regulating pathway - multiple species,n/a,map04213,1,73,0.0578339434041032,0.187271816737096,P25819,,P25819
Fatty acid biosynthesis,n/a,map00061,1,65,0.0517447753167706,0.23457631476936,P56765,,P56765
SNARE interactions in vesicular transport,n/a,map04130,1,93,0.0728880622808276,0.137677450974897,Q9ZPV9,,Q9ZPV9
Aminoacyl-tRNA biosynthesis,n/a,map00970,1,88,0.0691470034608298,0.146937382354263,F4K2L4,,F4K2L4
Vitamin B6 metabolism,n/a,map00750,1,25,0.020709733200411,0.352065464406987,Q9FZ62,,Q9FZ62
RNA polymerase,n/a,map03020,1,83,0.0653910034206091,0.158806722592908,Q9ZVB9,,Q9ZVB9
Cytosolic DNA-sensing pathway,n/a,map04623,1,50,0.0402224094642164,0.341890480445839,Q9ZVB9,,Q9ZVB9
Photosynthesis,n/a,map00195,1,147,0.112355287609144,0.146926145335035,P56768,,P56768
