#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
"Valine, leucine and isoleucine degradation",n/a,map00280,1,90,0.387858872322733,0.441288410856987,Q9SR86,,Q9SR86
Metabolic pathways,n/a,map01100,50,3837,3.44044651039305E-08,1.91804892954413E-06,"Q9SHH6, Q9FHN4, Q9S7A0, Q9SHH7, A0A178WJZ2, Q9FXB2, O22693, Q9SEV0, Q39112, Q9SR86, Q9LIB9, Q9LSH2, Q8LAX0, Q9LTZ0, P92983, Q9SMU8, Q94A08, Q9SI16, O49505, O81862, Q9SRW9, O65378, Q9SA18, Q9FMT1, Q9FIW4, F4J5Z7, Q9S702, Q94IA6, Q9LYT7, Q6NLQ7, O64749, Q9ZW84, O22862, O64882, Q9LDA4, Q9SU39, Q94AR8, Q93WN0, Q9STW8, Q9ZW95, Q94ID1, O80912, Q42059, Q8L7C9, Q9FJZ3, Q96324, Q9M1G8, Q9LZJ1, Q501D8, Q9C5M8",,Q9SHH6; Q9FHN4; Q9S7A0; Q9SHH7; A0A178WJZ2; Q9FXB2; O22693; Q9SEV0; Q39112; Q9SR86; Q9LIB9; Q9LSH2; Q8LAX0; Q9LTZ0; P92983; Q9SMU8; Q94A08; Q9SI16; O49505; O81862; Q9SRW9; O65378; Q9SA18; Q9FMT1; Q9FIW4; F4J5Z7; Q9S702; Q94IA6; Q9LYT7; Q6NLQ7; O64749; Q9ZW84; O22862; O64882; Q9LDA4; Q9SU39; Q94AR8; Q93WN0; Q9STW8; Q9ZW95; Q94ID1; O80912; Q42059; Q8L7C9; Q9FJZ3; Q96324; Q9M1G8; Q9LZJ1; Q501D8; Q9C5M8
Arginine and proline metabolism,n/a,map00330,1,98,0.413719256527631,0.460146604517016,P92983,,P92983
Tryptophan metabolism,n/a,map00380,2,109,0.120438062929339,0.221964363911096,"Q9XI76, Q501D8",,Q9XI76; Q501D8
Glycolysis / Gluconeogenesis,n/a,map00010,1,205,1,1.0045045045045,F4J5Z7,,F4J5Z7
Pyruvate metabolism,n/a,map00620,1,156,0.571292725234205,0.59531905480013,Q9M1G8,,Q9M1G8
Biosynthesis of secondary metabolites,n/a,map01110,40,2085,1.68342903994887E-11,1.87702337954298E-09,"Q9SEV0, Q39112, Q9SR86, Q9LIB9, Q9LSH2, Q8LAX0, P92983, Q9SMU8, Q9SCP5, Q9SI16, O49505, O65378, Q9XI60, Q9FZ80, Q9SA18, Q9FMT1, Q9FN52, Q9FIW4, F4J5Z7, Q9S702, Q94IA6, Q9LE06, Q9LYT7, Q6NLQ7, Q9ZW84, O22862, O64882, Q9LDA4, Q9SU39, Q94AR8, O49561, Q9ZW95, Q9FI37, Q94ID1, O80912, Q66WT5, B6EXY6, Q9FG67, Q9LZJ1, Q501D8",,Q9SEV0; Q39112; Q9SR86; Q9LIB9; Q9LSH2; Q8LAX0; P92983; Q9SMU8; Q9SCP5; Q9SI16; O49505; O65378; Q9XI60; Q9FZ80; Q9SA18; Q9FMT1; Q9FN52; Q9FIW4; F4J5Z7; Q9S702; Q94IA6; Q9LE06; Q9LYT7; Q6NLQ7; Q9ZW84; O22862; O64882; Q9LDA4; Q9SU39; Q94AR8; O49561; Q9ZW95; Q9FI37; Q94ID1; O80912; Q66WT5; B6EXY6; Q9FG67; Q9LZJ1; Q501D8
Microbial metabolism in diverse environments,n/a,map01120,6,663,0.181300264407609,0.275033734441475,"Q9S7A0, Q9LSH2, Q9SA18, F4J5Z7, Q9S702, Q9M1G8",,Q9S7A0; Q9LSH2; Q9SA18; F4J5Z7; Q9S702; Q9M1G8
Glycerolipid metabolism,n/a,map00561,1,104,0.432396093509735,0.477348162636985,Q9XI60,,Q9XI60
beta-Alanine metabolism,n/a,map00410,1,75,0.33626172448134,0.416590914218549,Q9LSH2,,Q9LSH2
Monobactam biosynthesis,n/a,map00261,2,27,0.0106459455916902,0.0879276247017375,"Q9SA18, Q9S702",,Q9SA18; Q9S702
