#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
"Valine, leucine and isoleucine degradation",n/a,map00280,2,90,0.0503781064906479,0.130983076875685,"Q9LPM8, Q9SR86",,Q9LPM8; Q9SR86
Metabolic pathways,n/a,map01100,44,3837,4.38205036142186E-10,3.41799928190905E-08,"B3H5Q1, O80518, Q9SHH7, Q9M9V6, F4I1A6, Q9LPM8, Q682B4, O04474, Q9C9H5, Q8LAH7, Q8GYM1, Q9M9F5, Q9C971, Q9ZT84, F4JW83, F4KFG5, Q9LY82, Q9S7T9, F4K2L4, Q39034, Q6NKX1, Q9S702, Q9M880, Q9SR86, Q1PER6, Q9LIB9, P28297, Q9LTZ0, Q9LHR4, P32962, Q9SMU8, Q9ZPS4, O82200, Q501D8, Q9ZW27, O24603, Q8RXK7, Q9ZPH4, F4JTY7, O81862, Q67Y55, O65782, O81755, O81346",,B3H5Q1; O80518; Q9SHH7; Q9M9V6; F4I1A6; Q9LPM8; Q682B4; O04474; Q9C9H5; Q8LAH7; Q8GYM1; Q9M9F5; Q9C971; Q9ZT84; F4JW83; F4KFG5; Q9LY82; Q9S7T9; F4K2L4; Q39034; Q6NKX1; Q9S702; Q9M880; Q9SR86; Q1PER6; Q9LIB9; P28297; Q9LTZ0; Q9LHR4; P32962; Q9SMU8; Q9ZPS4; O82200; Q501D8; Q9ZW27; O24603; Q8RXK7; Q9ZPH4; F4JTY7; O81862; Q67Y55; O65782; O81755; O81346
Arginine and proline metabolism,n/a,map00330,2,98,0.0583882873860869,0.133949600473964,"Q9S7T9, Q6NKX1",,Q9S7T9; Q6NKX1
Tryptophan metabolism,n/a,map00380,4,109,0.00104720318205791,0.0102102310250646,"P32962, Q501D8, O65782, O81346",,P32962; Q501D8; O65782; O81346
Ascorbate and aldarate metabolism,n/a,map00053,3,90,0.00588055093273307,0.030578864850212,"Q9LY82, Q1PER6, O82200",,Q9LY82; Q1PER6; O82200
Biosynthesis of secondary metabolites,n/a,map01110,31,2085,5.51284954398893E-10,2.15001132215568E-08,"B3H5Q1, Q9M9V6, F4I1A6, Q9LPM8, Q682B4, Q8LAH7, Q9M9F5, Q8LEA2, Q9C971, Q9ZT84, F4JW83, F4KFG5, Q39034, Q9FN52, Q6NKX1, Q9FI37, Q9S702, Q9SR86, Q9LIB9, Q9LE06, P28297, Q9LHR4, Q9SMU8, Q9ZPS4, Q501D8, P48421, O49561, Q67Y55, O65782, O81755, O81346",,B3H5Q1; Q9M9V6; F4I1A6; Q9LPM8; Q682B4; Q8LAH7; Q9M9F5; Q8LEA2; Q9C971; Q9ZT84; F4JW83; F4KFG5; Q39034; Q9FN52; Q6NKX1; Q9FI37; Q9S702; Q9SR86; Q9LIB9; Q9LE06; P28297; Q9LHR4; Q9SMU8; Q9ZPS4; Q501D8; P48421; O49561; Q67Y55; O65782; O81755; O81346
Microbial metabolism in diverse environments,n/a,map01120,4,663,0.336703340480321,0.38621853760978,"Q9S702, P28297, P32962, Q9ZPS4",,Q9S702; P28297; P32962; Q9ZPS4
beta-Alanine metabolism,n/a,map00410,1,75,0.256748473722248,0.317879062703736,Q9ZPS4,,Q9ZPS4
Monobactam biosynthesis,n/a,map00261,1,27,0.103535565029711,0.187808699356219,Q9S702,,Q9S702
Plant hormone signal transduction,n/a,map04075,5,496,0.0476885037946939,0.132846546285219,"Q38824, A0A178UED2, O80338, O22190, Q9SHC2",,Q38824; A0A178UED2; O80338; O22190; Q9SHC2
