#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,10,3837,0.000666861378098254,0.0286750392582249,"F4I1A6, Q9LNE3, Q9M040, Q96242, Q37001, Q9M880, Q9ZPS3, O23066, O81301, P62090",,F4I1A6; Q9LNE3; Q9M040; Q96242; Q37001; Q9M880; Q9ZPS3; O23066; O81301; P62090
Glycolysis / Gluconeogenesis,n/a,map00010,1,205,0.144248494554988,0.167640142320662,Q9M040,,Q9M040
Biosynthesis of secondary metabolites,n/a,map01110,7,2085,0.00107456297978385,0.0231031040653528,"F4I1A6, Q9LNE3, Q9M040, Q9FJV8, Q96242, Q37001, Q9ZPS3",,F4I1A6; Q9LNE3; Q9M040; Q9FJV8; Q96242; Q37001; Q9ZPS3
Microbial metabolism in diverse environments,n/a,map01120,1,663,0.39532158408768,0.39532158408768,Q9ZPS3,,Q9ZPS3
beta-Alanine metabolism,n/a,map00410,1,75,0.0558212508656645,0.104361469009721,Q9ZPS3,,Q9ZPS3
Plant hormone signal transduction,n/a,map04075,1,496,0.313587906873393,0.321054285608473,O23115,,O23115
Salmonella infection,n/a,map05132,1,230,0.160289395224328,0.181380105122266,P27323,,P27323
Starch and sucrose metabolism,n/a,map00500,2,276,0.0189824961573976,0.102030916846012,"F4I1A6, Q9LNE3",,F4I1A6; Q9LNE3
MAPK signaling pathway - plant,n/a,map04016,1,238,0.165359393220718,0.182319330986946,O23115,,O23115
Plant-pathogen interaction,n/a,map04626,2,339,0.0277214565862605,0.0916940487084,"P27323, P25071",,P27323; P25071
Type I diabetes mellitus,n/a,map04940,1,19,0.0149986373470326,0.1074902343204,Q9ZPS3,,Q9ZPS3
Protein processing in endoplasmic reticulum,n/a,map04141,3,364,0.00279345511194751,0.0300296424534357,"O81822, Q9XIE3, P27323",,O81822; Q9XIE3; P27323
alpha-Linolenic acid metabolism,n/a,map00592,1,71,0.0529616946015209,0.105923389203042,Q96242,,Q96242
PI3K-Akt signaling pathway,n/a,map04151,1,155,0.111251930566865,0.140700971011035,P27323,,P27323
Fatty acid metabolism,n/a,map01212,1,111,0.0811759341010626,0.124663041655203,Q9M880,,Q9M880
Biosynthesis of unsaturated fatty acids,n/a,map01040,1,38,0.0290411550454269,0.0891978333538111,Q9M880,,Q9M880
NOD-like receptor signaling pathway,n/a,map04621,1,117,0.0853357356336218,0.122314554408191,P27323,,P27323
Circadian rhythm - plant,n/a,map04712,1,71,0.0529616946015209,0.105923389203042,Q9LVG4,,Q9LVG4
Prion diseases,n/a,map05020,1,20,0.0157426999246682,0.0967051566801047,Q9STH1,,Q9STH1
Antigen processing and presentation,n/a,map04612,2,78,0.00171590231097995,0.0245945997907127,"P27323, Q9SKY8",,P27323; Q9SKY8
Amino sugar and nucleotide sugar metabolism,n/a,map00520,1,249,0.172281234075739,0.185202326631419,Q9LNE3,,Q9LNE3
Cysteine and methionine metabolism,n/a,map00270,1,201,0.141653974775995,0.16919780320466,Q37001,,Q37001
Pathways in cancer,n/a,map05200,1,283,0.19331902592234,0.202749222308796,P27323,,P27323
Progesterone-mediated oocyte maturation,n/a,map04914,1,65,0.0486562908881942,0.10729335939448,P27323,,P27323
Prostate cancer,n/a,map05215,1,43,0.0327035241272343,0.0937501024980716,P27323,,P27323
"Cutin, suberine and wax biosynthesis",n/a,map00073,1,52,0.0392613877546406,0.0993082160852673,O23066,,O23066
Necroptosis,n/a,map04217,1,122,0.088788002985185,0.123157552527837,P27323,,P27323
GABAergic synapse,n/a,map04727,1,53,0.0399873191326976,0.0955252623725555,Q9ZPS3,,Q9ZPS3
Fluid shear stress and atherosclerosis,n/a,map05418,1,197,0.139051674507641,0.170834914395102,P27323,,P27323
Estrogen signaling pathway,n/a,map04915,1,48,0.0363522286863332,0.0976966145945206,P27323,,P27323
Fructose and mannose metabolism,n/a,map00051,1,110,0.0804808169103577,0.128173152857236,Q9LNE3,,Q9LNE3
Fatty acid biosynthesis,n/a,map00061,1,65,0.0486562908881942,0.10729335939448,Q9M880,,Q9M880
Quorum sensing,n/a,map02024,1,115,0.0839512091238734,0.124479379045743,Q9ZPS3,,Q9ZPS3
Tight junction,n/a,map04530,1,98,0.0720987278622304,0.124009811923036,Q9SKY8,,Q9SKY8
Pentose and glucuronate interconversions,n/a,map00040,1,152,0.109232598118476,0.142333385427105,O81301,,O81301
Two-component system,n/a,map02020,1,99,0.0728001124227656,0.120400185929958,O81301,,O81301
Th17 cell differentiation,n/a,map04659,1,34,0.0261013873005622,0.0975964916455804,P27323,,P27323
Photosynthesis,n/a,map00195,1,147,0.105856954252391,0.14224528227665,P62090,,P62090
"Alanine, aspartate and glutamate metabolism",n/a,map00250,1,97,0.0713968185207214,0.127919299849626,Q9ZPS3,,Q9ZPS3
Sesquiterpenoid and triterpenoid biosynthesis,n/a,map00909,1,30,0.0231528158905521,0.099557108329374,Q9FJV8,,Q9FJV8
Butanoate metabolism,n/a,map00650,1,34,0.0261013873005622,0.0975964916455804,Q9ZPS3,,Q9ZPS3
IL-17 signaling pathway,n/a,map04657,1,29,0.022414294407637,0.107090517725377,P27323,,P27323
Taurine and hypotaurine metabolism,n/a,map00430,1,14,0.0112699707402179,0.0969217483658741,Q9ZPS3,,Q9ZPS3
