fromNode,toNode,value,interaction_type,selfLoop,label,guid
O82089,Q9SVU6,0.952105133483993,Very Strong,False,O82089 - Q9SVU6,0
O82176,Q9M0I2,0.964803821070051,Very Strong,False,O82176 - Q9M0I2,1
O82811,Q9LMN6,0.967587297328172,Very Strong,False,O82811 - Q9LMN6,10
Q27IK7,O22806,0.957355676912926,Very Strong,False,O22806 - Q27IK7,100
F4K5X6,P92965,0.953259694417612,Very Strong,False,F4K5X6 - P92965,1000
F4K5X6,Q6PUA2,0.969500312837812,Very Strong,False,F4K5X6 - Q6PUA2,1001
F4K5X6,Q9LTH4,0.960634291183801,Very Strong,False,F4K5X6 - Q9LTH4,1002
F4K5X6,Q9SCW5,0.957582751530923,Very Strong,False,F4K5X6 - Q9SCW5,1003
F4K5X6,Q9SSE5,0.962242983999532,Very Strong,False,F4K5X6 - Q9SSE5,1004
F4K5X6,A0A384LCB2,0.969862580341569,Very Strong,False,A0A384LCB2 - F4K5X6,1005
F4K5X6,O64645,0.950739823402199,Very Strong,False,F4K5X6 - O64645,1006
F4K9T9,Q27IK6,0.973085415514153,Very Strong,False,F4K9T9 - Q27IK6,1007
F4K9T9,Q27IK7,0.964033262794938,Very Strong,False,F4K9T9 - Q27IK7,1008
F4K9T9,A0A1P8B7H9,0.967410275339673,Very Strong,False,A0A1P8B7H9 - F4K9T9,1009
Q27IK7,O48790,0.952310532844683,Very Strong,False,O48790 - Q27IK7,101
F4K9T9,Q9SCT4,0.964995341018721,Very Strong,False,F4K9T9 - Q9SCT4,1010
F4K9T9,Q9SU98,0.970917234594966,Very Strong,False,F4K9T9 - Q9SU98,1011
F4K9T9,A0A178U979,0.976657800764747,Very Strong,False,A0A178U979 - F4K9T9,1012
F4K9T9,F4IJK6,0.959941901612847,Very Strong,False,F4IJK6 - F4K9T9,1013
F4K9T9,F4JDI6,0.959695114527086,Very Strong,False,F4JDI6 - F4K9T9,1014
F4K9T9,F4JGP4,0.980741942558678,Very Strong,False,F4JGP4 - F4K9T9,1015
F4K9T9,F4K0J3,0.976175206727983,Very Strong,False,F4K0J3 - F4K9T9,1016
F4K9T9,F4KEC6,0.962332281467106,Very Strong,False,F4K9T9 - F4KEC6,1017
F4K9T9,O22806,0.956426500574886,Very Strong,False,F4K9T9 - O22806,1018
F4KD45,P92965,0.954510809368819,Very Strong,False,F4KD45 - P92965,1019
Q2NND9,Q8LDS3,0.96209419856136,Very Strong,False,Q2NND9 - Q8LDS3,102
F4KEC6,P82266,0.954817448785396,Very Strong,False,F4KEC6 - P82266,1020
F4KEC6,Q27IK6,0.976853591160902,Very Strong,False,F4KEC6 - Q27IK6,1021
F4KEC6,Q27IK7,0.955361675591739,Very Strong,False,F4KEC6 - Q27IK7,1022
F4KEC6,Q7Y1C5,0.955031115123237,Very Strong,False,F4KEC6 - Q7Y1C5,1023
F4KEC6,Q8GXT1,0.96629164999057,Very Strong,False,F4KEC6 - Q8GXT1,1024
F4KEC6,A0A1P8B7H9,0.967281795488421,Very Strong,False,A0A1P8B7H9 - F4KEC6,1025
F4KEC6,Q9LK83,0.953779317862713,Very Strong,False,F4KEC6 - Q9LK83,1026
F4KEC6,Q9SCT4,0.957953654777353,Very Strong,False,F4KEC6 - Q9SCT4,1027
F4KEC6,Q9SU98,0.97667286685705,Very Strong,False,F4KEC6 - Q9SU98,1028
F4KEC6,A0A178U979,0.974379117832493,Very Strong,False,A0A178U979 - F4KEC6,1029
Q2QAV0,P82266,0.966018313435426,Very Strong,False,P82266 - Q2QAV0,103
F4KEC6,F4IJK6,0.96863949053811,Very Strong,False,F4IJK6 - F4KEC6,1030
F4KEC6,F4JDI6,0.960104387076994,Very Strong,False,F4JDI6 - F4KEC6,1031
F4KEC6,F4JGP4,0.97410214865937,Very Strong,False,F4JGP4 - F4KEC6,1032
F4KEC6,F4JKA2,0.962348719140044,Very Strong,False,F4JKA2 - F4KEC6,1033
F4KEC6,F4K0J3,0.970593648284358,Very Strong,False,F4K0J3 - F4KEC6,1034
F4KEC6,O22806,0.961594894703983,Very Strong,False,F4KEC6 - O22806,1035
F4KEC6,O23683,0.962248185568566,Very Strong,False,F4KEC6 - O23683,1036
F4KEC6,O48790,0.957635537125843,Very Strong,False,F4KEC6 - O48790,1037
F4KEC6,O81804,0.950144867339243,Very Strong,False,F4KEC6 - O81804,1038
F4KGN5,O82811,0.95084819427472,Very Strong,False,F4KGN5 - O82811,1039
Q2QAV0,Q7Y1C5,0.952800053950972,Very Strong,False,Q2QAV0 - Q7Y1C5,104
F4KGN5,Q0WMJ8,0.972233872226466,Very Strong,False,F4KGN5 - Q0WMJ8,1040
F4KGN5,Q3E8R5,0.955924195888943,Very Strong,False,F4KGN5 - Q3E8R5,1041
F4KGN5,Q45GK4,0.952644372136939,Very Strong,False,F4KGN5 - Q45GK4,1042
F4KGN5,A0A1I9LRZ7,0.951070021305182,Very Strong,False,A0A1I9LRZ7 - F4KGN5,1043
F4KGN5,Q8RWE5,0.952592425692663,Very Strong,False,F4KGN5 - Q8RWE5,1044
F4KGN5,Q94AL9,0.975206240112839,Very Strong,False,F4KGN5 - Q94AL9,1045
F4KGN5,Q9FGS5,0.952326679122346,Very Strong,False,F4KGN5 - Q9FGS5,1046
F4KGN5,Q9FHD3,0.958469868162225,Very Strong,False,F4KGN5 - Q9FHD3,1047
F4KGN5,Q9FMK7,0.950019095882675,Very Strong,False,F4KGN5 - Q9FMK7,1048
F4KGN5,Q9LEX0,0.958636554021717,Very Strong,False,F4KGN5 - Q9LEX0,1049
Q2QAV0,Q9CAN3,0.95785402148525,Very Strong,False,Q2QAV0 - Q9CAN3,105
F4KGN5,Q9LTG5,0.953992600154673,Very Strong,False,F4KGN5 - Q9LTG5,1050
F4KGN5,Q9SFC7,0.95134309412124,Very Strong,False,F4KGN5 - Q9SFC7,1051
F4KGN5,Q9SYK6,0.959081462273028,Very Strong,False,F4KGN5 - Q9SYK6,1052
F4KGN5,AT1G11175,0.961281776512721,Very Strong,False,AT1G11175 - F4KGN5,1053
F4KGN5,C0LGP2,0.964796006131787,Very Strong,False,C0LGP2 - F4KGN5,1054
F4KGN5,A0A178VQQ1,0.969185264756287,Very Strong,False,A0A178VQQ1 - F4KGN5,1055
F4KGN5,F4JS75,0.963151932029974,Very Strong,False,F4JS75 - F4KGN5,1056
F4KGN5,O49644,0.963442986396635,Very Strong,False,F4KGN5 - O49644,1057
F4KGY6,Q6PUA2,0.954594820336647,Very Strong,False,F4KGY6 - Q6PUA2,1058
F4KGY6,Q8RWU3,0.96872589549532,Very Strong,False,F4KGY6 - Q8RWU3,1059
Q2QAV0,Q9SCT4,0.963008826790791,Very Strong,False,Q2QAV0 - Q9SCT4,106
F4KGY6,Q8VYW2,0.952004179928599,Very Strong,False,F4KGY6 - Q8VYW2,1060
F4KGY6,Q9LVR0,0.954257334693026,Very Strong,False,F4KGY6 - Q9LVR0,1061
F4KGY6,A0A384LCB2,0.954290534903643,Very Strong,False,A0A384LCB2 - F4KGY6,1062
F4KGY6,F4K5X6,0.961089907796443,Very Strong,False,F4K5X6 - F4KGY6,1063
F4KGY6,O48652,0.956865328416512,Very Strong,False,F4KGY6 - O48652,1064
O04089,Q5MAU8,0.960641001091617,Very Strong,False,O04089 - Q5MAU8,1065
O04089,Q94JR6,0.966269031703446,Very Strong,False,O04089 - Q94JR6,1066
O04089,Q9FLK4,0.950337622985273,Very Strong,False,O04089 - Q9FLK4,1067
O04089,O23039,0.971901332415693,Very Strong,False,O04089 - O23039,1068
O04090,Q9SNB5,0.966018238246079,Very Strong,False,O04090 - Q9SNB5,1069
Q2QAV0,Q9SU98,0.958096792146375,Very Strong,False,Q2QAV0 - Q9SU98,107
O04090,A0A178VRB0,0.96115200531269,Very Strong,False,A0A178VRB0 - O04090,1070
A0A178W0F5,AT1G07367,0.971846006764137,Very Strong,False,A0A178W0F5 - AT1G07367,1071
O22806,P82266,0.954843169713702,Very Strong,False,O22806 - P82266,1072
O22806,A0A1P8B7H9,0.951732401155799,Very Strong,False,A0A1P8B7H9 - O22806,1073
O22806,Q9SU98,0.964204873437946,Very Strong,False,O22806 - Q9SU98,1074
O22806,F4JGP4,0.966540757291266,Very Strong,False,F4JGP4 - O22806,1075
O22812,Q9C5M8,0.967282180180789,Very Strong,False,O22812 - Q9C5M8,1076
O22812,Q9FI31,0.961832962255516,Very Strong,False,O22812 - Q9FI31,1077
O22812,Q9LZS0,0.955235711474386,Very Strong,False,O22812 - Q9LZS0,1078
O22812,Q9SJQ1,0.95022619856328,Very Strong,False,O22812 - Q9SJQ1,1079
Q2QAV0,F4IJK6,0.954011839144833,Very Strong,False,F4IJK6 - Q2QAV0,108
O22812,O65694,0.953253285946849,Very Strong,False,O22812 - O65694,1080
O22812,O80959,0.955582382455785,Very Strong,False,O22812 - O80959,1081
O23039,O82643,0.965772287776957,Very Strong,False,O23039 - O82643,1082
O23039,Q3E8R5,0.955923042796155,Very Strong,False,O23039 - Q3E8R5,1083
O23039,Q94JR6,0.95500515778664,Very Strong,False,O23039 - Q94JR6,1084
O23039,Q9FLK4,0.962125043881012,Very Strong,False,O23039 - Q9FLK4,1085
O23039,Q9FLW2,0.959709149783814,Very Strong,False,O23039 - Q9FLW2,1086
O23039,Q9LMZ9,0.974983679605642,Very Strong,False,O23039 - Q9LMZ9,1087
O23039,Q9STG2,0.958083608975129,Very Strong,False,O23039 - Q9STG2,1088
O23039,F4HQ23,0.95516371558965,Very Strong,False,F4HQ23 - O23039,1089
Q2QAV0,F4J761,0.951683584215207,Very Strong,False,F4J761 - Q2QAV0,109
O23181,O82811,0.951524933500304,Very Strong,False,O23181 - O82811,1090
O23181,Q8W110,0.959586788282515,Very Strong,False,O23181 - Q8W110,1091
O23181,O49644,0.961562857880595,Very Strong,False,O23181 - O49644,1092
O23683,Q8GXT1,0.961585779285591,Very Strong,False,O23683 - Q8GXT1,1093
