ID,sample_name,sample_info,color,shape,delete
C61,C61,C6,984ea3,24,0
C62,C62,C6,984ea3,24,0
C63,C63,C6,984ea3,24,0
C64,C64,C6,984ea3,24,0
C91,C91,C9,984ea3,24,0
C92,C92,C9,984ea3,24,0
C93,C93,C9,984ea3,24,0
C94,C94,C9,984ea3,24,0
I561,I561,I56,4daf4a,19,0
I562,I562,I56,4daf4a,19,0
I563,I563,I56,4daf4a,19,0
I564,I564,I56,4daf4a,19,0
I591,I591,I59,4daf4a,19,0
I592,I592,I59,4daf4a,19,0
I593,I593,I59,4daf4a,19,0
I594,I594,I59,4daf4a,19,0
I861,I861,I86,70DB93,19,0
I862,I862,I86,70DB93,19,0
I863,I863,I86,70DB93,19,0
I864,I864,I86,70DB93,19,0
I891,I891,I89,70DB93,19,0
I892,I892,I89,70DB93,19,0
I893,I893,I89,70DB93,19,0
I894,I894,I89,70DB93,19,0
