	class	0.5_0	0.7_0	1_0	0.2_0	0.1_0	0.07_0	0.02_0	0.05_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	Pfam_desc	cor
PF08353	+	0.000	0.000	0.000	0.286	0.231	0.089	0.154	0.217	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1727)	0.805
PF02632	+	0.000	0.000	0.000	0.000	0.151	0.000	0.159	0.214	0.000	0.000	0.000	0.000	0.000	BioY family	0.719
PF08455	+	0.000	0.000	0.097	0.000	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial SNF2 helicase associated	0.692
PF11772	+	0.054	0.155	0.032	0.088	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DNA-directed RNA polymerase subunit beta	0.663
PF06018	+	0.000	0.043	0.288	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CodY GAF-like domain	0.615
PF02797	+	0.583	0.395	0.299	0.312	0.000	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Chalcone and stilbene synthases, C-terminal domain	0.612
PF08903	+	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1846)	0.598
PF03051	+	0.115	0.163	0.117	0.046	0.056	0.151	0.000	0.058	0.000	0.000	0.000	0.000	0.000	Peptidase C1-like family	0.588
PF12368	+	0.000	0.151	0.174	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3650)	0.587
PF06912	+	0.038	0.000	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1275)	0.551
PF12732	+	0.092	0.169	0.094	0.189	0.311	0.111	0.000	0.067	0.000	0.000	0.000	0.000	0.000	YtxH-like protein	0.549
PF01883	+	0.000	0.000	0.000	0.017	0.051	0.068	0.000	0.046	0.000	0.000	0.000	0.000	0.000	Domain of unknown function DUF59	0.462
PF13305	+	0.236	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	WHG domain	0.408
PF12911	+	0.437	0.252	0.175	0.000	0.348	0.234	0.000	0.108	0.000	0.000	0.000	0.000	0.000	N-terminal TM domain of oligopeptide transport permease C	0.395
PF05154	+	0.000	0.000	0.186	0.000	0.000	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	TM2 domain	0.377
PF07536	+	0.000	0.000	0.006	0.081	0.205	0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HWE histidine kinase	0.377
PF07568	+	0.113	0.248	0.248	0.275	0.055	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Histidine kinase	0.377
PF04020	+	0.000	0.401	0.368	0.254	0.074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Membrane protein of unknown function	0.377
PF13344	+	0.000	0.064	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Haloacid dehalogenase-like hydrolase	0.369
PF00496	+	0.000	0.000	0.000	0.062	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial extracellular solute-binding proteins, family 5 Middle	0.321
PF00232	+	0.123	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolase family 1	0.293
PF13244	+	0.084	0.234	0.338	0.268	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4040)	0.291
PF04039	+	0.125	0.000	0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain related to MnhB subunit of Na+/H+ antiporter	0.291
PF13014	+	0.495	0.368	0.084	0.352	0.018	0.250	0.000	0.046	0.000	0.000	0.000	0.000	0.000	KH domain	0.262
PF13485	+	0.000	0.034	0.188	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase MA superfamily	0.182
PF03725	+	0.302	0.245	0.293	0.116	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3' exoribonuclease family, domain 2	0.167
PF03726	+	0.186	0.251	0.322	0.165	0.181	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Polyribonucleotide nucleotidyltransferase, RNA binding domain	0.167
PF01138	+	0.198	0.277	0.394	0.250	0.220	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3' exoribonuclease family, domain 1	0.167
PF11138	+	0.111	0.060	0.293	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2911)	0.142
PF14693	+	0.063	0.000	0.000	0.000	0.000	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ribosomal protein TL5, C-terminal domain	0.099
PF01223	-	-0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DNA/RNA non-specific endonuclease	0.033
PF09527	+	0.000	0.252	0.080	0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative F0F1-ATPase subunit (ATPase_gene1)	-0.031
PF03432	-	0.000	-0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Relaxase/Mobilisation nuclease domain	-0.055
PF05708	-	-0.008	-0.050	-0.076	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Orthopoxvirus protein of unknown function (DUF830)	-0.111
PF13612	-	-0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transposase DDE domain	-0.225
PF04464	-	0.000	-0.102	-0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase	-0.225
PF04909	-	-0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Amidohydrolase	-0.243
PF01235	-	0.000	-0.034	-0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sodium:alanine symporter family	-0.295
PF02627	-	0.000	0.000	-0.078	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Carboxymuconolactone decarboxylase family	-0.311
PF11870	-	0.000	0.000	-0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF3390)	-0.312
PF03169	-	0.000	-0.072	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	OPT oligopeptide transporter protein	-0.359
PF13704	-	0.000	-0.029	-0.071	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl transferase family 2	-0.382
PF01638	-	0.000	-0.101	-0.087	-0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HxlR-like helix-turn-helix	-0.401
PF01051	-	0.000	-0.014	-0.090	-0.020	-0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Initiator Replication protein	-0.423
PF02366	-	0.000	-0.101	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Dolichyl-phosphate-mannose-protein mannosyltransferase	-0.461
PF01855	-	-0.180	-0.110	-0.138	-0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pyruvate flavodoxin/ferredoxin oxidoreductase, thiamine diP-bdg	-0.465
PF04284	-	0.000	0.000	-0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF441)	-0.481
PF13231	-	0.000	0.000	0.000	0.000	-0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Dolichyl-phosphate-mannose-protein mannosyltransferase	-0.501
PF12974	-	-0.174	-0.116	-0.063	0.000	-0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ABC transporter, phosphonate, periplasmic substrate-binding protein	-0.523
PF07660	-	0.000	0.000	-0.077	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Secretin and TonB N terminus short domain	-0.526
PF03992	-	-0.131	-0.218	0.000	-0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Antibiotic biosynthesis monooxygenase	-0.531
PF02445	-	-0.064	-0.076	-0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Quinolinate synthetase A protein	-0.569
PF02086	-	0.000	-0.071	-0.077	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	D12 class N6 adenine-specific DNA methyltransferase	-0.578
PF02574	-	-0.156	-0.062	-0.138	-0.033	-0.113	-0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Homocysteine S-methyltransferase	-0.610
PF00301	-	0.000	-0.172	0.000	-0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Rubredoxin	-0.611
PF00697	-	-0.073	-0.040	-0.105	-0.053	0.000	-0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	N-(5'phosphoribosyl)anthranilate (PRA) isomerase	-0.635
PF13580	-	0.000	0.000	0.000	0.000	-0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	SIS domain	-0.637
PF02554	-	0.000	0.000	-0.094	-0.076	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Carbon starvation protein CstA	-0.647
PF14697	-	0.000	-0.055	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4Fe-4S dicluster domain	-0.649
PF04333	-	-0.251	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	VacJ like lipoprotein	-0.685
PF13375	-	0.000	-0.085	-0.078	-0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	RnfC Barrel sandwich hybrid domain	-0.689
PF00885	-	-0.020	0.000	-0.084	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6,7-dimethyl-8-ribityllumazine synthase	-0.713
PF00677	-	-0.112	-0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Lumazine binding domain	-0.713
PF11638	-	0.000	-0.055	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DnaA N-terminal domain	-0.720
PF03572	-	0.000	-0.308	-0.383	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase family S41	-0.723
PF08645	-	0.000	0.000	0.000	0.000	-0.135	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Polynucleotide kinase 3 phosphatase	-0.744
PF01957	-	-0.602	0.000	0.000	-0.345	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NfeD-like C-terminal, partner-binding	-0.757
PF04324	-	0.000	0.000	0.000	-0.141	-0.080	-0.097	0.000	0.000	0.000	0.000	0.000	0.000	0.000	BFD-like [2Fe-2S] binding domain	-0.784
PF06835	-	0.000	-0.004	-0.066	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Lipopolysaccharide-assembly, LptC-related	-0.795
PF05683	-	0.000	0.000	0.000	-0.195	-0.282	-0.194	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Fumarase C-terminus	-0.827
