#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,12,3837,0.000633409259684013,0.0125098328787593,"Q8L7C9, Q9FIW4, Q9S702, Q94IA6, Q9LYT7, Q9LZJ1, Q6NLQ7, O64749, Q9ZW84, O22862, Q9SU39, Q93WN0",,Q8L7C9; Q9FIW4; Q9S702; Q94IA6; Q9LYT7; Q9LZJ1; Q6NLQ7; O64749; Q9ZW84; O22862; Q9SU39; Q93WN0
Biosynthesis of secondary metabolites,n/a,map01110,14,2085,4.01125403146754E-08,1.05629689495312E-06,"Q9XI60, Q9FZ80, Q9FN52, Q9FIW4, Q9S702, Q94IA6, Q9LE06, Q9LYT7, Q9LZJ1, Q6NLQ7, Q9ZW84, O22862, Q9SU39, O49561",,Q9XI60; Q9FZ80; Q9FN52; Q9FIW4; Q9S702; Q94IA6; Q9LE06; Q9LYT7; Q9LZJ1; Q6NLQ7; Q9ZW84; O22862; Q9SU39; O49561
Microbial metabolism in diverse environments,n/a,map01120,1,663,0.495107918553909,0.495107918553909,Q9S702,,Q9S702
Glycerolipid metabolism,n/a,map00561,1,104,0.102211754711626,0.171802736642945,Q9XI60,,Q9XI60
Monobactam biosynthesis,n/a,map00261,1,27,0.0283340305338458,0.13166990659846,Q9S702,,Q9S702
Sulfur metabolism,n/a,map00920,1,71,0.0712581039081117,0.175918444023151,Q93WN0,,Q93WN0
Plant hormone signal transduction,n/a,map04075,1,496,0.40021060165716,0.405341506806611,Q9ZWS7,,Q9ZWS7
Shigellosis,n/a,map05131,1,241,0.220140747688777,0.244945338977654,Q9SRZ0,,Q9SRZ0
"Glycine, serine and threonine metabolism",n/a,map00260,1,123,0.119567012729488,0.188915880112592,Q9S702,,Q9S702
Phenylpropanoid biosynthesis,n/a,map00940,3,280,0.00319622496280715,0.0315627215077206,"Q9FIW4, Q9LZJ1, O22862",,Q9FIW4; Q9LZJ1; O22862
Starch and sucrose metabolism,n/a,map00500,3,276,0.00307123496925178,0.0346610803672701,"Q9FIW4, Q9LZJ1, Q9SU39",,Q9FIW4; Q9LZJ1; Q9SU39
Cyanoamino acid metabolism,n/a,map00460,2,104,0.00541885586397006,0.0428089613253635,"Q9FIW4, Q9LZJ1",,Q9FIW4; Q9LZJ1
Hedgehog signaling pathway,n/a,map04340,1,48,0.0490605748581003,0.155031416551597,Q9SRZ0,,Q9SRZ0
Hedgehog signaling pathway - fly,n/a,map04341,1,81,0.0807481498473802,0.16787115363008,Q9SRZ0,,Q9SRZ0
Cell cycle,n/a,map04110,2,206,0.0195879059430956,0.103162971300304,"Q9SRZ0, Q39071",,Q9SRZ0; Q39071
Cell cycle - yeast,n/a,map04111,1,167,0.158490808382127,0.201947965519162,Q9SRZ0,,Q9SRZ0
Oocyte meiosis,n/a,map04114,1,189,0.177307612766295,0.209064200127423,Q9SRZ0,,Q9SRZ0
Ubiquitin mediated proteolysis,n/a,map04120,1,252,0.228914087926097,0.247728944467968,Q9SRZ0,,Q9SRZ0
Viral carcinogenesis,n/a,map05203,1,227,0.208831329748191,0.235681072144387,Q39071,,Q39071
Human T-cell leukemia virus 1 infection,n/a,map05166,1,168,0.159355306328848,0.199826495237761,Q39071,,Q39071
Longevity regulating pathway - worm,n/a,map04212,1,180,0.169660816184298,0.203078855735751,Q8L7C9,,Q8L7C9
Protein processing in endoplasmic reticulum,n/a,map04141,1,364,0.312853284127268,0.325202755869133,Q9SRZ0,,Q9SRZ0
PI3K-Akt signaling pathway,n/a,map04151,1,155,0.14804778863868,0.201651298318202,Q8RWC9,,Q8RWC9
AMPK signaling pathway,n/a,map04152,2,141,0.00964545855813146,0.0692719296447623,"Q39071, Q8RWC9",,Q39071; Q8RWC9
Human papillomavirus infection,n/a,map05165,1,212,0.196533513900166,0.225016631856711,Q39071,,Q39071
Epstein-Barr virus infection,n/a,map05169,1,154,0.147171756021038,0.203974889923894,Q39071,,Q39071
Autophagy - animal,n/a,map04140,1,145,0.139247142897648,0.196437933730611,Q8RWC9,,Q8RWC9
Brassinosteroid biosynthesis,n/a,map00905,1,15,0.016289732241227,0.0989914497736102,Q94IA6,,Q94IA6
Glucosinolate biosynthesis,n/a,map00966,6,47,2.27837195053107E-11,1.79991384091955E-09,"Q9FUY7, Q9FZ80, Q9FN52, Q9LE06, Q9LYT7, Q9ZW84",,Q9FUY7; Q9FZ80; Q9FN52; Q9LE06; Q9LYT7; Q9ZW84
2-Oxocarboxylic acid metabolism,n/a,map01210,6,126,6.08206003430975E-09,2.40241371355235E-07,"Q9FUY7, Q9FN52, Q9S702, Q9LE06, Q9LYT7, Q9ZW84",,Q9FUY7; Q9FN52; Q9S702; Q9LE06; Q9LYT7; Q9ZW84
Drug metabolism - other enzymes,n/a,map00983,1,141,0.135701686548155,0.194916967950986,Q8L7C9,,Q8L7C9
Amino sugar and nucleotide sugar metabolism,n/a,map00520,1,249,0.226531115544914,0.24855497400067,O64749,,O64749
Biosynthesis of amino acids,n/a,map01230,1,419,0.350688901084355,0.359797703709922,Q9S702,,Q9S702
Longevity regulating pathway,n/a,map04211,1,65,0.0655174927560123,0.181609892200876,Q8RWC9,,Q8RWC9
Cysteine and methionine metabolism,n/a,map00270,1,201,0.187394775448525,0.217708636182846,Q9S702,,Q9S702
"Valine, leucine and isoleucine biosynthesis",n/a,map00290,2,39,0.000833978692793496,0.0131768633461372,"Q9LYT7, Q9ZW84",,Q9LYT7; Q9ZW84
Cellular senescence,n/a,map04218,1,140,0.134813061249847,0.199069753995101,Q39071,,Q39071
Pathways in cancer,n/a,map05200,3,283,0.00329198817667483,0.0288963406619235,"Q9SRZ0, Q8L7C9, Q39071",,Q9SRZ0; Q8L7C9; Q39071
Transcriptional misregulation in cancer,n/a,map05202,1,78,0.0779112816467121,0.170971979169174,Q39071,,Q39071
Acute myeloid leukemia,n/a,map05221,1,26,0.0273359514002948,0.134971260038956,Q39071,,Q39071
Hepatitis B,n/a,map05161,1,54,0.0549014690210357,0.163668530289125,Q39071,,Q39071
Progesterone-mediated oocyte maturation,n/a,map04914,1,65,0.0655174927560123,0.181609892200876,Q39071,,Q39071
FoxO signaling pathway,n/a,map04068,1,90,0.0892069099166691,0.167793949605163,Q8RWC9,,Q8RWC9
Gastric cancer,n/a,map05226,1,54,0.0549014690210357,0.163668530289125,Q9M0M2,,Q9M0M2
MicroRNAs in cancer,n/a,map05206,1,95,0.0938728100749618,0.168544363543681,Q9M0M2,,Q9M0M2
ABC transporters,n/a,map02010,1,35,0.0362821746194681,0.136490085473237,Q9M0M2,,Q9M0M2
Bile secretion,n/a,map04976,1,32,0.0333092071144565,0.131571368102103,Q9M0M2,,Q9M0M2
Human immunodeficiency virus 1 infection,n/a,map05170,1,172,0.162804496734587,0.199403957240812,Q9SRZ0,,Q9SRZ0
Hepatocellular carcinoma,n/a,map05225,1,119,0.115941150676118,0.186925528641089,Q8L7C9,,Q8L7C9
Thermogenesis,n/a,map04714,1,259,0.234446071637873,0.250287022424215,Q8RWC9,,Q8RWC9
Longevity regulating pathway - multiple species,n/a,map04213,1,73,0.0731638561077397,0.175149837348831,Q8RWC9,,Q8RWC9
Lysine biosynthesis,n/a,map00300,1,30,0.0313221762024697,0.137469551110839,Q9S702,,Q9S702
Apelin signaling pathway,n/a,map04371,1,69,0.0693484645366654,0.182617623279886,Q8RWC9,,Q8RWC9
Axon regeneration,n/a,map04361,1,87,0.0863959377897194,0.170631977134696,Q8RWC9,,Q8RWC9
Fluid shear stress and atherosclerosis,n/a,map05418,2,197,0.0180327520882135,0.101756243926348,"Q8L7C9, Q8RWC9",,Q8L7C9; Q8RWC9
Insulin signaling pathway,n/a,map04910,1,135,0.130356321432563,0.198041334484086,Q8RWC9,,Q8RWC9
Oxytocin signaling pathway,n/a,map04921,1,79,0.078857868036498,0.168372204726577,Q8RWC9,,Q8RWC9
Glucagon signaling pathway,n/a,map04922,1,133,0.128567255605632,0.199153199859704,Q8RWC9,,Q8RWC9
RNA transport,n/a,map03013,1,285,0.254650922625549,0.268232305165578,Q6AWV1,,Q6AWV1
Glycerophospholipid metabolism,n/a,map00564,1,164,0.155892019607686,0.201892943426347,Q9XI60,,Q9XI60
Wnt signaling pathway,n/a,map04310,1,158,0.150670533982363,0.20174529126452,Q9SRZ0,,Q9SRZ0
TGF-beta signaling pathway,n/a,map04350,1,70,0.0703037706243984,0.17916122191379,Q9SRZ0,,Q9SRZ0
Circadian rhythm,n/a,map04710,2,60,0.0018963401500094,0.0249684786417904,"Q9SRZ0, Q8RWC9",,Q9SRZ0; Q8RWC9
Tight junction,n/a,map04530,1,98,0.0966609603988318,0.169693686033505,Q8RWC9,,Q8RWC9
mTOR signaling pathway,n/a,map04150,1,103,0.101288977671834,0.173952809479888,Q8RWC9,,Q8RWC9
Non-alcoholic fatty liver disease (NAFLD),n/a,map04932,1,160,0.152414579499666,0.200679196341226,Q8RWC9,,Q8RWC9
Ribosome biogenesis in eukaryotes,n/a,map03008,1,140,0.134813061249847,0.199069753995101,Q6AWV1,,Q6AWV1
Riboflavin metabolism,n/a,map00740,1,31,0.0323161975952851,0.134367347896185,Q6NLQ7,,Q6NLQ7
Folate biosynthesis,n/a,map00790,1,43,0.0441658194531992,0.145379155700114,Q6NLQ7,,Q6NLQ7
Glutathione metabolism,n/a,map00480,1,172,0.162804496734587,0.199403957240812,Q8L7C9,,Q8L7C9
