	class	0.7_0	1_0	0.5_0	0.2_0	0.02_0	0.05_0	0.07_0	0.1_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	Pfam_desc	cor
PF12793	+	0.640	0.610	0.610	0.849	0.328	0.968	1.017	1.008	0.000	0.000	0.000	0.000	0.000	Sugar transport-related sRNA regulator N-term	0.857
PF11922	+	0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF3440)	0.700
PF07383	+	0.000	0.076	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1496)	0.691
PF09829	+	0.894	0.821	0.723	0.598	0.000	0.224	0.336	0.420	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein conserved in bacteria (DUF2057)	0.691
PF04227	+	0.031	0.016	0.132	0.209	0.000	0.000	0.038	0.134	0.000	0.000	0.000	0.000	0.000	Indigoidine synthase A like protein	0.665
PF10678	+	0.000	0.094	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2492)	0.665
PF11756	+	0.000	0.000	0.101	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Nitrous oxide-stimulated promoter	0.654
PF07559	+	0.118	0.163	0.132	0.091	0.000	0.000	0.000	0.014	0.000	0.000	0.000	0.000	0.000	Flagellar basal body protein FlaE	0.648
PF02126	+	0.192	0.198	0.224	0.311	0.000	0.000	0.117	0.238	0.000	0.000	0.000	0.000	0.000	Phosphotriesterase family	0.617
PF03170	+	0.137	0.107	0.097	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial cellulose synthase subunit	0.616
PF08351	+	0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1726)	0.615
PF01931	+	0.055	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function DUF84	0.609
PF07369	+	0.223	0.222	0.193	0.043	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1488)	0.581
PF05134	+	0.024	0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Type II secretion system (T2SS), protein L	0.559
PF05987	+	0.000	0.000	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial protein of unknown function (DUF898)	0.544
PF02316	+	0.000	0.156	0.122	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Mu DNA-binding domain	0.523
PF06998	+	0.000	0.000	0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1307)	0.523
PF06923	+	0.009	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glucitol operon activator protein (GutM)	0.491
PF03067	+	0.059	0.000	0.037	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Chitin binding domain	0.469
PF11903	+	0.200	0.271	0.251	0.164	0.000	0.000	0.000	0.047	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3423)	0.411
