#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,7,3837,0.0854541849715151,0.125932483115917,"Q1G1A4, Q9ZPH4, P0DN99, Q9FXB2, O80912, Q9C5M8, O23237",,Q1G1A4; Q9ZPH4; P0DN99; Q9FXB2; O80912; Q9C5M8; O23237
Biosynthesis of secondary metabolites,n/a,map01110,5,2085,0.0375599411402705,0.131459793990947,"B6EXY6, Q1G1A4, P0DN99, O80912, O23237",,B6EXY6; Q1G1A4; P0DN99; O80912; O23237
beta-Alanine metabolism,n/a,map00410,1,75,0.0646185307125807,0.139178373842481,P0DN99,,P0DN99
Plant hormone signal transduction,n/a,map04075,2,496,0.0714535931941387,0.125043788089743,"Q9LNW3, Q9ZW21",,Q9LNW3; Q9ZW21
Shigellosis,n/a,map05131,1,241,0.191725168371031,0.198826100532921,Q9FX60,,Q9FX60
"Glycine, serine and threonine metabolism",n/a,map00260,1,123,0.103280656090546,0.131448107751605,P0DN99,,P0DN99
Tyrosine metabolism,n/a,map00350,1,59,0.0513677252339753,0.130754209686483,P0DN99,,P0DN99
Phenylalanine metabolism,n/a,map00360,1,49,0.0429917151176824,0.133752002588345,P0DN99,,P0DN99
Isoquinoline alkaloid biosynthesis,n/a,map00950,1,32,0.0285840281785996,0.133392131500132,P0DN99,,P0DN99
"Tropane, piperidine and pyridine alkaloid biosynthesis",n/a,map00960,1,54,0.047188838134503,0.132128746776608,P0DN99,,P0DN99
Phenylpropanoid biosynthesis,n/a,map00940,2,280,0.0258164174662257,0.144571937810864,"O80912, O23237",,O80912; O23237
MAPK signaling pathway - plant,n/a,map04016,2,238,0.019136033160548,0.133952232123836,"Q9LNW3, Q9ZW21",,Q9LNW3; Q9ZW21
Plant-pathogen interaction,n/a,map04626,1,339,0.25856698953111,0.25856698953111,O49717,,O49717
Longevity regulating pathway - worm,n/a,map04212,1,180,0.147140236478932,0.15845871620808,Q39152,,Q39152
Sphingolipid signaling pathway,n/a,map04071,1,119,0.100120206558651,0.133493608744867,Q9ZPH4,,Q9ZPH4
Peroxisome,n/a,map04146,1,144,0.119693485188018,0.142613514266574,Q39152,,Q39152
Toxoplasmosis,n/a,map05145,1,81,0.0695401677879306,0.129808313204137,O49717,,O49717
Steroid biosynthesis,n/a,map00100,1,64,0.0555284549179073,0.12956639480845,Q1G1A4,,Q1G1A4
Transcriptional misregulation in cancer,n/a,map05202,1,78,0.0670825644370106,0.134165128874021,Q9FX60,,Q9FX60
"Cutin, suberine and wax biosynthesis",n/a,map00073,2,52,0.00106143791435187,0.0148601308009262,"Q9FFQ7, Q39152",,Q9FFQ7; Q39152
Alcoholism,n/a,map05034,1,144,0.119693485188018,0.142613514266574,Q9FX60,,Q9FX60
Quorum sensing,n/a,map02024,1,115,0.0969487226529194,0.135728211714087,Q9C5M8,,Q9C5M8
Pentose and glucuronate interconversions,n/a,map00040,1,152,0.125867405538277,0.14097149420287,Q9C5M8,,Q9C5M8
Galactose metabolism,n/a,map00052,1,96,0.0817323090859699,0.127139147467064,Q9FXB2,,Q9FXB2
Insulin resistance,n/a,map04931,2,75,0.00214196308795589,0.0199916554875883,"Q9LNW3, Q9ZW21",,Q9LNW3; Q9ZW21
Sphingolipid metabolism,n/a,map00600,1,37,0.0328437449276257,0.131374979710503,Q9ZPH4,,Q9ZPH4
Systemic lupus erythematosus,n/a,map05322,1,91,0.0776859504401178,0.127953330136665,Q9FX60,,Q9FX60
Sesquiterpenoid and triterpenoid biosynthesis,n/a,map00909,2,30,0.00037257486237308,0.0104320961464462,"B6EXY6, Q9T0J9",,B6EXY6; Q9T0J9
