#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,25,3837,5.8706268077766E-06,0.000589997994181549,"Q9FUS8, O65378, Q9SHH6, Q9SA18, Q9SEV0, Q9ZW95, Q9FMT1, Q3E9D5, Q9FMR0, Q9FJZ3, Q9FGC7, Q96324, Q94IA6, Q94ID1, Q9LHR4, Q9SMU8, Q9LZJ1, Q9ZW15, F4IKM1, A0A178VRB0, O64882, Q94AR8, Q93WN0, Q9STW8, P25819",,Q9FUS8; O65378; Q9SHH6; Q9SA18; Q9SEV0; Q9ZW95; Q9FMT1; Q3E9D5; Q9FMR0; Q9FJZ3; Q9FGC7; Q96324; Q94IA6; Q94ID1; Q9LHR4; Q9SMU8; Q9LZJ1; Q9ZW15; F4IKM1; A0A178VRB0; O64882; Q94AR8; Q93WN0; Q9STW8; P25819
Arginine and proline metabolism,n/a,map00330,1,98,0.207401400402261,0.245945023485868,Q3E9D5,,Q3E9D5
Tryptophan metabolism,n/a,map00380,1,109,0.227618372436595,0.257029735167166,P25819,,P25819
Biosynthesis of secondary metabolites,n/a,map01110,23,2085,1.6590755080483E-09,3.33474177117709E-07,"Q9FZ21, O65378, Q9XI60, Q9FZ80, Q9SA18, Q9SEV0, Q9ZW95, Q9FMT1, Q9FMR0, Q9FI37, Q9FGC7, Q94IA6, Q94ID1, Q9LHR4, Q9SMU8, Q9LZJ1, Q9ZW15, F4IKM1, O64882, Q66WT5, Q94AR8, O49561, P25819",,Q9FZ21; O65378; Q9XI60; Q9FZ80; Q9SA18; Q9SEV0; Q9ZW95; Q9FMT1; Q9FMR0; Q9FI37; Q9FGC7; Q94IA6; Q94ID1; Q9LHR4; Q9SMU8; Q9LZJ1; Q9ZW15; F4IKM1; O64882; Q66WT5; Q94AR8; O49561; P25819
Microbial metabolism in diverse environments,n/a,map01120,1,663,1,1.005,Q9SA18,,Q9SA18
Glycerolipid metabolism,n/a,map00561,1,104,0.218493343786455,0.253124853608515,Q9XI60,,Q9XI60
Monobactam biosynthesis,n/a,map00261,1,27,0.0636079067997808,0.122934512180346,Q9SA18,,Q9SA18
Sulfur metabolism,n/a,map00920,1,71,0.155514190862737,0.211921032972271,Q93WN0,,Q93WN0
Plant hormone signal transduction,n/a,map04075,3,496,0.113447470364035,0.168910678097564,"Q9LNW3, Q9C9E3, Q9LX16",,Q9LNW3; Q9C9E3; Q9LX16
Regulation of actin cytoskeleton,n/a,map04810,2,119,0.0331157569196503,0.0826865483335368,"Q9LQQ9, O82480",,Q9LQQ9; O82480
Bacterial invasion of epithelial cells,n/a,map05100,1,48,0.108653145383312,0.165449107742771,O82480,,O82480
