#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Endocytosis,n/a,map04144,1,258,0.297673677909054,0.327441045699959,Q9LYJ3,,Q9LYJ3
Metabolic pathways,n/a,map01100,7,3837,0.373269218205668,0.391043942882129,"Q9SHH7, Q9SMU8, B3H5Q1, Q8LAH7, Q39112, Q9ZW27, O81346",,Q9SHH7; Q9SMU8; B3H5Q1; Q8LAH7; Q39112; Q9ZW27; O81346
Tryptophan metabolism,n/a,map00380,1,109,0.139277029234969,0.197683525365763,O81346,,O81346
Biosynthesis of secondary metabolites,n/a,map01110,8,2085,0.00831920882487469,0.0915112970736216,"Q9C8J4, Q84UV0, Q9SMU8, B3H5Q1, Q8LAH7, Q39112, Q9FI37, O81346",,Q9C8J4; Q84UV0; Q9SMU8; B3H5Q1; Q8LAH7; Q39112; Q9FI37; O81346
Plant hormone signal transduction,n/a,map04075,1,496,0.492738282607332,0.504197312435409,Q9SHC2,,Q9SHC2
Pathogenic Escherichia coli infection,n/a,map05130,1,152,0.188319908589599,0.23674502794121,Q9LYJ3,,Q9LYJ3
Shigellosis,n/a,map05131,1,241,0.281177434963006,0.317225824060827,Q9LYJ3,,Q9LYJ3
Salmonella infection,n/a,map05132,1,230,0.270298755056881,0.312977505855336,Q9LYJ3,,Q9LYJ3
Phenylpropanoid biosynthesis,n/a,map00940,2,280,0.0570345278692915,0.147618778014637,"Q9SMU8, B3H5Q1",,Q9SMU8; B3H5Q1
Starch and sucrose metabolism,n/a,map00500,2,276,0.0556184295813759,0.152950681348784,"Q9C8J4, B3H5Q1",,Q9C8J4; B3H5Q1
Cyanoamino acid metabolism,n/a,map00460,1,104,0.133386549375197,0.195633605750289,B3H5Q1,,B3H5Q1
Hedgehog signaling pathway,n/a,map04340,1,48,0.0646118339147605,0.142146034612473,Q9LV63,,Q9LV63
Hedgehog signaling pathway - fly,n/a,map04341,1,81,0.105770063119078,0.178995491432285,Q9LV63,,Q9LV63
Cell cycle,n/a,map04110,1,206,0.245992129706893,0.292531181273062,Q9S7T7,,Q9S7T7
Cell cycle - yeast,n/a,map04111,1,167,0.204766024846275,0.250269585923225,Q9S7T7,,Q9S7T7
Legionellosis,n/a,map05134,1,81,0.105770063119078,0.178995491432285,Q9LYJ3,,Q9LYJ3
Longevity regulating pathway - worm,n/a,map04212,2,180,0.0258782317154023,0.11386421954777,"Q9SHH7, Q9ZW27",,Q9SHH7; Q9ZW27
alpha-Linolenic acid metabolism,n/a,map00592,1,71,0.0934917007065532,0.178853688308189,Q8LAH7,,Q8LAH7
Glucosinolate biosynthesis,n/a,map00966,1,47,0.0633356511392791,0.146672034217278,O81346,,O81346
2-Oxocarboxylic acid metabolism,n/a,map01210,1,126,0.1590085617049,0.212011415606534,O81346,,O81346
Drug metabolism - other enzymes,n/a,map00983,2,141,0.0165099885764626,0.0908049371705445,"Q9SHH7, Q9ZW27",,Q9SHH7; Q9ZW27
Pathways in cancer,n/a,map05200,2,283,0.0581048362470144,0.142034044159368,"Q9SHH7, Q9ZW27",,Q9SHH7; Q9ZW27
Gastric cancer,n/a,map05226,1,54,0.0722327174738761,0.151344741373836,Q9LSJ5,,Q9LSJ5
MicroRNAs in cancer,n/a,map05206,1,95,0.122682532700059,0.192786837100093,Q9LSJ5,,Q9LSJ5
ABC transporters,n/a,map02010,1,35,0.0478857985939843,0.150498224152522,Q9LSJ5,,Q9LSJ5
Bile secretion,n/a,map04976,1,32,0.0439839208305394,0.148868655118749,Q9LSJ5,,Q9LSJ5
Hepatocellular carcinoma,n/a,map05225,2,119,0.0120377151151236,0.0882765775109065,"Q9SHH7, Q9ZW27",,Q9SHH7; Q9ZW27
Fluid shear stress and atherosclerosis,n/a,map05418,2,197,0.0304938308267009,0.121975323306804,"Q9SHH7, Q9ZW27",,Q9SHH7; Q9ZW27
Insulin signaling pathway,n/a,map04910,1,135,0.169271968329731,0.219057841367887,Q4V3D6,,Q4V3D6
Nucleotide excision repair,n/a,map03420,1,120,0.152096369534021,0.209132508109278,F4IFN6,,F4IFN6
Vibrio cholerae infection,n/a,map05110,1,98,0.12626506020696,0.191574574107112,Q9LYJ3,,Q9LYJ3
Spliceosome,n/a,map03040,1,318,0.352944593545689,0.378769807707568,Q9FYE0,,Q9FYE0
Ribosome,n/a,map03010,1,654,0.591426559307659,0.591426559307659,Q9FY65,,Q9FY65
Glutathione metabolism,n/a,map00480,2,172,0.0238143554538016,0.116425737774141,"Q9SHH7, Q9ZW27",,Q9SHH7; Q9ZW27
DNA replication,n/a,map03030,1,78,0.10210401424221,0.187190692777384,F4IFN6,,F4IFN6
Platinum drug resistance,n/a,map01524,2,115,0.0112917378437247,0.0993672930247772,"Q9SHH7, Q9ZW27",,Q9SHH7; Q9ZW27
Phospholipase D signaling pathway,n/a,map04072,1,81,0.105770063119078,0.178995491432285,Q9LYJ3,,Q9LYJ3
Metabolism of xenobiotics by cytochrome P450,n/a,map00980,2,89,0.00697307016036396,0.153407543528007,"Q9SHH7, Q9ZW27",,Q9SHH7; Q9ZW27
Drug metabolism - cytochrome P450,n/a,map00982,2,92,0.00742323065427943,0.108874049596098,"Q9SHH7, Q9ZW27",,Q9SHH7; Q9ZW27
Diterpenoid biosynthesis,n/a,map00904,1,40,0.0543537829360067,0.159437763278953,Q39112,,Q39112
Base excision repair,n/a,map03410,1,68,0.0897756205049122,0.179551241009824,F4IFN6,,F4IFN6
Chemical carcinogenesis,n/a,map05204,2,84,0.00625155879254145,0.275068586871824,"Q9SHH7, Q9ZW27",,Q9SHH7; Q9ZW27
Sesquiterpenoid and triterpenoid biosynthesis,n/a,map00909,1,30,0.0413738431600005,0.151704091586669,Q9FI37,,Q9FI37
Monoterpenoid biosynthesis,n/a,map00902,1,8,0.0121912898320802,0.0766309646587898,Q84UV0,,Q84UV0
