#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Metabolic pathways,n/a,map01100,24,3837,0.00172005353095,0.04988155239755,"Q9LIA0, Q8LAX0, O65378, Q9C7W4, Q9LIB9, P92983, O64749, Q9SYK6, Q9C6C8, Q9FXB2, O22693, Q8RX87, Q9SS67, Q9S7A0, P49078, Q94A08, O82200, O49340, O22841, A0A178VQI1, Q9S9U6, Q9T0E0, A0A1P8B956, Q8H1S0",,Q9LIA0; Q8LAX0; O65378; Q9C7W4; Q9LIB9; P92983; O64749; Q9SYK6; Q9C6C8; Q9FXB2; O22693; Q8RX87; Q9SS67; Q9S7A0; P49078; Q94A08; O82200; O49340; O22841; A0A178VQI1; Q9S9U6; Q9T0E0; A0A1P8B956; Q8H1S0
Arginine and proline metabolism,n/a,map00330,1,98,0.266800509962085,0.473707027891865,P92983,,P92983
Tryptophan metabolism,n/a,map00380,1,109,0.291662756692537,0.469901108004642,O49340,,O49340
Ascorbate and aldarate metabolism,n/a,map00053,2,90,0.0339704031319695,0.328380563609038,"O82200, Q8H1S0",,O82200; Q8H1S0
Biosynthesis of secondary metabolites,n/a,map01110,9,2085,0.318713885360573,0.454559147973276,"Q9LIA0, Q8LAX0, O65378, Q9LIB9, P92983, Q9SS67, P49078, Q9S9U6, A0A1P8B956",,Q9LIA0; Q8LAX0; O65378; Q9LIB9; P92983; Q9SS67; P49078; Q9S9U6; A0A1P8B956
Microbial metabolism in diverse environments,n/a,map01120,1,663,0.7286083237404,0.754630049588271,Q9S7A0,,Q9S7A0
Fatty acid degradation,n/a,map00071,1,79,0.221789472904882,0.488498332727209,Q9C7W4,,Q9C7W4
beta-Alanine metabolism,n/a,map00410,1,75,0.21196783487828,0.498410854984063,A0A1P8B956,,A0A1P8B956
Plant hormone signal transduction,n/a,map04075,3,496,0.206243593876123,0.512662647634935,"Q9M7Q5, Q9SGU2, O64538",,Q9M7Q5; Q9SGU2; O64538
Regulation of actin cytoskeleton,n/a,map04810,1,119,0.313534315282917,0.458445133270819,O49606,,O49606
Shigellosis,n/a,map05131,1,241,0.531888257190537,0.600964654228269,Q9FX60,,Q9FX60
Fc gamma R-mediated phagocytosis,n/a,map04666,1,106,0.284966758810596,0.467775622953242,O49606,,O49606
"Glycine, serine and threonine metabolism",n/a,map00260,1,123,0.322093151382606,0.444795304290266,A0A1P8B956,,A0A1P8B956
Tyrosine metabolism,n/a,map00350,1,59,0.171429381878836,0.552383563831805,A0A1P8B956,,A0A1P8B956
Phenylalanine metabolism,n/a,map00360,1,49,0.145043405907844,0.525782346415935,A0A1P8B956,,A0A1P8B956
Isoquinoline alkaloid biosynthesis,n/a,map00950,1,32,0.0982498644253847,0.438345548974793,A0A1P8B956,,A0A1P8B956
"Tropane, piperidine and pyridine alkaloid biosynthesis",n/a,map00960,1,54,0.158339516671311,0.540217174525649,A0A1P8B956,,A0A1P8B956
Phenylpropanoid biosynthesis,n/a,map00940,1,280,0.585845192612886,0.637106646966513,Q9SS67,,Q9SS67
Starch and sucrose metabolism,n/a,map00500,1,276,0.580609536311622,0.639405438722925,Q9LIB9,,Q9LIB9
MAPK signaling pathway - plant,n/a,map04016,2,238,0.173434005296583,0.538884230742954,"O82122, O64483",,O82122; O64483
Plant-pathogen interaction,n/a,map04626,1,339,1,1.01162790697674,O64483,,O64483
Viral carcinogenesis,n/a,map05203,1,227,0.510854474196332,0.584793937566854,Q8LRK8,,Q8LRK8
RNA degradation,n/a,map03018,1,187,0.445419367224844,0.530842259569335,O04319,,O04319
Longevity regulating pathway - worm,n/a,map04212,3,180,0.0201831088327613,0.292655078075038,"Q9C6C8, Q9M1U1, P21276",,Q9C6C8; Q9M1U1; P21276
Huntington disease,n/a,map05016,2,437,0.399398055165567,0.503588852165281,"Q9FHY0, P21276",,Q9FHY0; P21276
mRNA surveillance pathway,n/a,map03015,1,196,0.460864693752008,0.541827410221955,O04319,,O04319
Peroxisome,n/a,map04146,2,144,0.077048131429154,0.432463705441058,"Q9C7W4, P21276",,Q9C7W4; P21276
Carbon metabolism,n/a,map01200,1,480,1,1.01162790697674,Q9S7A0,,Q9S7A0
Fatty acid metabolism,n/a,map01212,1,111,0.296091973308014,0.46836366686904,Q9C7W4,,Q9C7W4
PPAR signaling pathway,n/a,map03320,1,64,0.184316192612879,0.552948577838636,Q9C7W4,,Q9C7W4
NOD-like receptor signaling pathway,n/a,map04621,1,117,0.30921456695417,0.463821850431255,Q1PE15,,Q1PE15
Circadian rhythm - plant,n/a,map04712,1,71,0.202022568473208,0.516940101681443,Q39057,,Q39057
Epstein-Barr virus infection,n/a,map05169,1,154,0.3849142470145,0.499814022242709,Q9FHY0,,Q9FHY0
Nitrogen metabolism,n/a,map00910,6,79,3.20113522037232E-07,2.78498764172392E-05,"O82811, Q9LMZ9, Q9FJH8, Q9FJH7, Q9S7A0, Q9LXH0",,O82811; Q9LMZ9; Q9FJH8; Q9FJH7; Q9S7A0; Q9LXH0
Parkinson disease,n/a,map05012,2,411,0.37070964305324,0.488662711297452,"Q9FHY0, Q1PE15",,Q9FHY0; Q1PE15
Drug metabolism - other enzymes,n/a,map00983,1,141,0.359309687553796,0.480922197187388,Q9C6C8,,Q9C6C8
Amino sugar and nucleotide sugar metabolism,n/a,map00520,2,249,0.185720779807625,0.538590261442113,"O64749, O22841",,O64749; O22841
Alzheimer disease,n/a,map05010,2,426,0.387331711922288,0.495556749077045,"Q9FHY0, Q1PE15",,Q9FHY0; Q1PE15
Spinocerebellar ataxia,n/a,map05017,1,183,0.438413867861595,0.529750090332761,Q9FHY0,,Q9FHY0
Biosynthesis of amino acids,n/a,map01230,1,419,1,1.01162790697674,P49078,,P49078
Longevity regulating pathway,n/a,map04211,1,65,0.186869465474155,0.516115666547667,P21276,,P21276
Cysteine and methionine metabolism,n/a,map00270,3,201,0.0267081001692489,0.290450589340582,"Q8LAX0, O65378, Q9S9U6",,Q8LAX0; O65378; Q9S9U6
Cellular senescence,n/a,map04218,1,140,0.357296628364976,0.48570010418364,Q1PE15,,Q1PE15
Pathways in cancer,n/a,map05200,1,283,0.58972910764436,0.633412745247646,Q9C6C8,,Q9C6C8
Transcriptional misregulation in cancer,n/a,map05202,1,78,0.219345569341266,0.502185908755003,Q9FX60,,Q9FX60
Terpenoid backbone biosynthesis,n/a,map00900,1,105,0.282720759626932,0.473013578606598,Q9LIA0,,Q9LIA0
FoxO signaling pathway,n/a,map04068,1,90,0.248173965232932,0.479802999450334,P21276,,P21276
Gastric cancer,n/a,map05226,1,54,0.158339516671311,0.540217174525649,Q9LSJ6,,Q9LSJ6
MicroRNAs in cancer,n/a,map05206,1,95,0.259870115035004,0.471014583500945,Q9LSJ6,,Q9LSJ6
ABC transporters,n/a,map02010,1,35,0.106689287487634,0.441998476734485,Q9LSJ6,,Q9LSJ6
