#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
"Valine, leucine and isoleucine degradation",n/a,map00280,1,90,0.302167194401774,0.467351927341411,Q94AL9,,Q94AL9
Metabolic pathways,n/a,map01100,33,3837,4.11340805882593E-05,0.00238577667411904,"Q8LAX0, Q9SHJ5, Q9FR37, A0A178WJZ2, Q944I4, Q6NLB0, Q39034, Q1PET6, Q94AL9, O81862, Q9SYK6, Q9C6C8, Q9FXB2, O22693, Q8RX87, Q9SS67, Q9S7A0, Q9LIA0, P49078, Q94A08, O82200, O49340, O22841, A0A178VQI1, Q9S9U6, Q9T0E0, A0A1P8B956, Q8H1S0, O65378, Q9C7W4, Q9LIB9, P92983, O64749",,Q8LAX0; Q9SHJ5; Q9FR37; A0A178WJZ2; Q944I4; Q6NLB0; Q39034; Q1PET6; Q94AL9; O81862; Q9SYK6; Q9C6C8; Q9FXB2; O22693; Q8RX87; Q9SS67; Q9S7A0; Q9LIA0; P49078; Q94A08; O82200; O49340; O22841; A0A178VQI1; Q9S9U6; Q9T0E0; A0A1P8B956; Q8H1S0; O65378; Q9C7W4; Q9LIB9; P92983; O64749
Arginine and proline metabolism,n/a,map00330,2,98,0.0596798992797784,0.247245297016225,"Q9FR37, P92983",,Q9FR37; P92983
Tryptophan metabolism,n/a,map00380,3,109,0.0101180432340492,0.130410335016635,"Q9FR37, Q9XI76, O49340",,Q9FR37; Q9XI76; O49340
Ascorbate and aldarate metabolism,n/a,map00053,2,90,0.0515051478453466,0.254238176598306,"O82200, Q8H1S0",,O82200; Q8H1S0
Biosynthesis of secondary metabolites,n/a,map01110,15,2085,0.031783292419875,0.204825662261416,"Q8LAX0, Q9SHJ5, Q944I4, Q39034, Q9FG67, Q1PET6, Q94AL9, Q9SS67, Q9LIA0, P49078, Q9S9U6, A0A1P8B956, O65378, Q9LIB9, P92983",,Q8LAX0; Q9SHJ5; Q944I4; Q39034; Q9FG67; Q1PET6; Q94AL9; Q9SS67; Q9LIA0; P49078; Q9S9U6; A0A1P8B956; O65378; Q9LIB9; P92983
Microbial metabolism in diverse environments,n/a,map01120,3,663,0.749817803310442,0.783593380036138,"Q9FR37, Q1PET6, Q9S7A0",,Q9FR37; Q1PET6; Q9S7A0
Fatty acid degradation,n/a,map00071,1,79,0.271138894108071,0.462531054654945,Q9C7W4,,Q9C7W4
Glycerolipid metabolism,n/a,map00561,2,104,0.0660819532456161,0.255516885883049,"Q9SHJ5, Q944I4",,Q9SHJ5; Q944I4
beta-Alanine metabolism,n/a,map00410,1,75,0.259517706889422,0.474079590538157,A0A1P8B956,,A0A1P8B956
Plant hormone signal transduction,n/a,map04075,4,496,0.137149521192392,0.345855314311249,"Q9M9E9, Q9SGU2, O64538, Q9M7Q5",,Q9M9E9; Q9SGU2; O64538; Q9M7Q5
Regulation of actin cytoskeleton,n/a,map04810,1,119,0.377795209099495,0.492407238826308,O49606,,O49606
Shigellosis,n/a,map05131,1,241,0.616094710347212,0.674216852832798,Q9FX60,,Q9FX60
Fc gamma R-mediated phagocytosis,n/a,map04666,1,106,0.34496118118929,0.470770553152443,O49606,,O49606
"Glycine, serine and threonine metabolism",n/a,map00260,3,123,0.0138794845346916,0.134168350502019,"Q944I4, Q94AL9, A0A1P8B956",,Q944I4; Q94AL9; A0A1P8B956
Tyrosine metabolism,n/a,map00350,1,59,0.211154355102683,0.471036638305985,A0A1P8B956,,A0A1P8B956
Phenylalanine metabolism,n/a,map00360,2,49,0.0174257811202352,0.15549158538056,"Q9FR37, A0A1P8B956",,Q9FR37; A0A1P8B956
Isoquinoline alkaloid biosynthesis,n/a,map00950,1,32,0.122288294097944,0.341817882297867,A0A1P8B956,,A0A1P8B956
"Tropane, piperidine and pyridine alkaloid biosynthesis",n/a,map00960,1,54,0.195403821026722,0.448848380972272,A0A1P8B956,,A0A1P8B956
Phenylpropanoid biosynthesis,n/a,map00940,2,280,0.305597906097094,0.460381261133284,"Q39034, Q9SS67",,Q39034; Q9SS67
Starch and sucrose metabolism,n/a,map00500,1,276,1,1.01754385964912,Q9LIB9,,Q9LIB9
MAPK signaling pathway - plant,n/a,map04016,3,238,0.0708956887387621,0.24920908768777,"Q9M9E9, O64483, O82122",,Q9M9E9; O64483; O82122
Plant-pathogen interaction,n/a,map04626,1,339,1,1.01754385964912,O64483,,O64483
Cell cycle,n/a,map04110,1,206,0.559030978832139,0.617596128995506,Q9S9Z8,,Q9S9Z8
Oocyte meiosis,n/a,map04114,1,189,0.528334556032492,0.595017558250185,Q9S9Z8,,Q9S9Z8
Viral carcinogenesis,n/a,map05203,2,227,0.228601571946963,0.473531827604424,"Q9S9Z8, Q8LRK8",,Q9S9Z8; Q8LRK8
RNA degradation,n/a,map03018,1,187,0.52458580848139,0.596587782194522,O04319,,O04319
Longevity regulating pathway - worm,n/a,map04212,4,180,0.00632598962593761,0.183453699152191,"Q6NLB0, Q9C6C8, Q9M1U1, P21276",,Q6NLB0; Q9C6C8; Q9M1U1; P21276
Huntington disease,n/a,map05016,2,437,0.693189752450809,0.73770652554398,"Q9FHY0, P21276",,Q9FHY0; P21276
PI3K-Akt signaling pathway,n/a,map04151,2,155,0.127948416611947,0.337318552886041,"Q9S9Z8, Q8RWC9",,Q9S9Z8; Q8RWC9
AMPK signaling pathway,n/a,map04152,1,141,0.429661812622358,0.530220960257379,Q8RWC9,,Q8RWC9
mRNA surveillance pathway,n/a,map03015,1,196,0.5412243838908,0.603673351262815,O04319,,O04319
Peroxisome,n/a,map04146,3,144,0.020824232521323,0.161040731498231,"Q9FPH4, P21276, Q9C7W4",,Q9FPH4; P21276; Q9C7W4
Carbon metabolism,n/a,map01200,2,480,0.715866500621814,0.754913764292094,"Q944I4, Q9S7A0",,Q944I4; Q9S7A0
Fatty acid metabolism,n/a,map01212,1,111,0.357789443322739,0.482599714249275,Q9C7W4,,Q9C7W4
PPAR signaling pathway,n/a,map03320,1,64,0.226597188663134,0.482298603393093,Q9C7W4,,Q9C7W4
MAPK signaling pathway - yeast,n/a,map04011,1,78,0.268250772921948,0.475070071128946,Q9S9Z8,,Q9S9Z8
Hippo signaling pathway,n/a,map04390,1,71,0.247711618408895,0.467228418462306,Q9S9Z8,,Q9S9Z8
Hippo signaling pathway - fly,n/a,map04391,1,64,0.226597188663134,0.482298603393093,Q9S9Z8,,Q9S9Z8
Hepatitis C,n/a,map05160,1,66,0.232689513645343,0.461401428766835,Q9S9Z8,,Q9S9Z8
NOD-like receptor signaling pathway,n/a,map04621,2,117,0.0806776700085905,0.267388849171329,"Q9S9Z8, Q1PE15",,Q9S9Z8; Q1PE15
Neurotrophin signaling pathway,n/a,map04722,1,84,0.285409758981724,0.459826833915,Q9S9Z8,,Q9S9Z8
Glyoxylate and dicarboxylate metabolism,n/a,map00630,1,144,0.436391863696126,0.532857433565796,Q944I4,,Q944I4
Circadian rhythm - plant,n/a,map04712,1,71,0.247711618408895,0.467228418462306,Q39057,,Q39057
Epstein-Barr virus infection,n/a,map05169,1,154,0.458258199321848,0.548020114652931,Q9FHY0,,Q9FHY0
Pyrimidine metabolism,n/a,map00240,1,98,0.323901984617624,0.466740748020428,A0A178WJZ2,,A0A178WJZ2
Autophagy - animal,n/a,map04140,1,145,0.438617555985534,0.529996213482521,Q8RWC9,,Q8RWC9
Nitrogen metabolism,n/a,map00910,6,79,1.22656600788647E-06,0.00014228165691483,"O82811, Q9LMZ9, Q9FJH8, Q9FJH7, Q9S7A0, Q9LXH0",,O82811; Q9LMZ9; Q9FJH8; Q9FJH7; Q9S7A0; Q9LXH0
Parkinson disease,n/a,map05012,2,411,0.680077690154451,0.737280486522583,"Q9FHY0, Q1PE15",,Q9FHY0; Q1PE15
Glucosinolate biosynthesis,n/a,map00966,1,47,0.172824464498724,0.409135466976571,Q9FG67,,Q9FG67
2-Oxocarboxylic acid metabolism,n/a,map01210,1,126,0.394789391195123,0.503248015149827,Q9FG67,,Q9FG67
Drug metabolism - other enzymes,n/a,map00983,2,141,0.109847404119248,0.335323654679811,"Q6NLB0, Q9C6C8",,Q6NLB0; Q9C6C8
Amino sugar and nucleotide sugar metabolism,n/a,map00520,3,249,0.0786409948887068,0.268304570796764,"O81862, O22841, O64749",,O81862; O22841; O64749
Alzheimer disease,n/a,map05010,2,426,0.68756677049031,0.738497642378481,"Q9FHY0, Q1PE15",,Q9FHY0; Q1PE15
Spinocerebellar ataxia,n/a,map05017,1,183,0.516998881312706,0.593780893388851,Q9FHY0,,Q9FHY0
Biosynthesis of amino acids,n/a,map01230,1,419,1,1.01754385964912,P49078,,P49078
Longevity regulating pathway,n/a,map04211,2,65,0.0289993059949539,0.210244968463415,"Q8RWC9, P21276",,Q8RWC9; P21276
Cysteine and methionine metabolism,n/a,map00270,4,201,0.00917231689423346,0.151998394247297,"Q8LAX0, Q94AL9, Q9S9U6, O65378",,Q8LAX0; Q94AL9; Q9S9U6; O65378
Cellular senescence,n/a,map04218,1,140,0.427400687954406,0.533101933362485,Q1PE15,,Q1PE15
Pathways in cancer,n/a,map05200,2,283,0.309936809681743,0.460931665680541,"Q6NLB0, Q9C6C8",,Q6NLB0; Q9C6C8
Transcriptional misregulation in cancer,n/a,map05202,1,78,0.268250772921948,0.475070071128946,Q9FX60,,Q9FX60
Terpenoid backbone biosynthesis,n/a,map00900,2,105,0.0671703856022111,0.251347249350209,"Q1PET6, Q9LIA0",,Q1PET6; Q9LIA0
FoxO signaling pathway,n/a,map04068,2,90,0.0515051478453466,0.254238176598306,"Q8RWC9, P21276",,Q8RWC9; P21276
Gastric cancer,n/a,map05226,1,54,0.195403821026722,0.448848380972272,Q9LSJ6,,Q9LSJ6
MicroRNAs in cancer,n/a,map05206,1,95,0.315831756258762,0.46375295855717,Q9LSJ6,,Q9LSJ6
ABC transporters,n/a,map02010,1,35,0.132636180955842,0.341906599797281,Q9LSJ6,,Q9LSJ6
Bile secretion,n/a,map04976,1,32,0.122288294097944,0.341817882297867,Q9LSJ6,,Q9LSJ6
Human immunodeficiency virus 1 infection,n/a,map05170,1,172,0.495506054681978,0.574787023431094,O49606,,O49606
Hepatocellular carcinoma,n/a,map05225,2,119,0.0830046596228839,0.267459458784848,"Q6NLB0, Q9C6C8",,Q6NLB0; Q9C6C8
Thermogenesis,n/a,map04714,2,259,0.275111078205925,0.449477254533625,"Q8RWC9, Q9C7W4",,Q8RWC9; Q9C7W4
Longevity regulating pathway - multiple species,n/a,map04213,2,73,0.0356579753186507,0.217701322998078,"Q8RWC9, P21276",,Q8RWC9; P21276
Necroptosis,n/a,map04217,1,122,0.385135973800429,0.496397477342775,Q9S7A0,,Q9S7A0
Calcium signaling pathway,n/a,map04020,1,80,0.274015639706958,0.454083060085817,Q1PE15,,Q1PE15
Apelin signaling pathway,n/a,map04371,1,69,0.24173832057451,0.46736075311072,Q8RWC9,,Q8RWC9
Oxidative phosphorylation,n/a,map00190,1,290,1,1.01754385964912,Q9T0E0,,Q9T0E0
Axon regeneration,n/a,map04361,1,87,0.293838079090489,0.463744451353697,Q8RWC9,,Q8RWC9
Fluid shear stress and atherosclerosis,n/a,map05418,3,197,0.0453560616470331,0.263065157552792,"Q6NLB0, Q8RWC9, Q9C6C8",,Q6NLB0; Q8RWC9; Q9C6C8
Pertussis,n/a,map05133,1,38,0.142862320359093,0.35259636514159,O49606,,O49606
Alcoholism,n/a,map05034,2,144,0.113666453751371,0.33808483679895,"Q9FX60, Q8LRK8",,Q9FX60; Q8LRK8
Insulin signaling pathway,n/a,map04910,3,135,0.0176546034538588,0.146281000046259,"Q8RWC9, Q501E6, Q4V3D6",,Q8RWC9; Q501E6; Q4V3D6
Oxytocin signaling pathway,n/a,map04921,1,79,0.271138894108071,0.462531054654945,Q8RWC9,,Q8RWC9
Glucagon signaling pathway,n/a,map04922,1,133,0.411320350501373,0.518621311501731,Q8RWC9,,Q8RWC9
RNA transport,n/a,map03013,1,285,1,1.01754385964912,O04319,,O04319
Glycerophospholipid metabolism,n/a,map00564,1,164,0.479277877381556,0.561578118952126,Q9SHJ5,,Q9SHJ5
Circadian rhythm,n/a,map04710,1,60,0.214267344233434,0.468962489265628,Q8RWC9,,Q8RWC9
Fatty acid biosynthesis,n/a,map00061,1,65,0.229649361275088,0.467356594875617,Q9C7W4,,Q9C7W4
Quorum sensing,n/a,map02024,1,115,0.367871300581618,0.487692238485345,Q9C7W4,,Q9C7W4
Tight junction,n/a,map04530,1,98,0.323901984617624,0.466740748020428,Q8RWC9,,Q8RWC9
Basal transcription factors,n/a,map03022,1,87,0.293838079090489,0.463744451353697,Q6PUA2,,Q6PUA2
Pentose and glucuronate interconversions,n/a,map00040,2,152,0.124012007836933,0.334544021141494,"Q9SYK6, A0A178VQI1",,Q9SYK6; A0A178VQI1
Galactose metabolism,n/a,map00052,5,96,5.4244704674054E-05,0.00209746191406342,"Q9FXB2, O22693, Q8RX87, Q94A08, Q9LIB9",,Q9FXB2; O22693; Q8RX87; Q94A08; Q9LIB9
mTOR signaling pathway,n/a,map04150,1,103,0.337141808982435,0.471186142674246,Q8RWC9,,Q8RWC9
Non-alcoholic fatty liver disease (NAFLD),n/a,map04932,1,160,0.470969482516522,0.557474081346087,Q8RWC9,,Q8RWC9
MAPK signaling pathway - fly,n/a,map04013,1,100,0.329229290862143,0.465738996829374,P21276,,P21276
Proteasome,n/a,map03050,1,115,0.367871300581618,0.487692238485345,Q9FHY0,,Q9FHY0
Axon guidance,n/a,map04360,1,79,0.271138894108071,0.462531054654945,O49606,,O49606
Glutathione metabolism,n/a,map00480,2,172,0.150767698900624,0.364355272343174,"Q6NLB0, Q9C6C8",,Q6NLB0; Q9C6C8
Insulin resistance,n/a,map04931,1,75,0.259517706889422,0.474079590538157,Q8RWC9,,Q8RWC9
Homologous recombination,n/a,map03440,1,104,0.339758561565647,0.469190394543037,F4K493,,F4K493
Inositol phosphate metabolism,n/a,map00562,2,127,0.0925117864440794,0.290036952094952,"O82200, Q8H1S0",,O82200; Q8H1S0
Systemic lupus erythematosus,n/a,map05322,1,91,0.304921722365986,0.465406839400715,Q9FX60,,Q9FX60
Platinum drug resistance,n/a,map01524,3,115,0.0116462449721374,0.135096441676794,"Q6NLB0, Q9C6C8, Q9STG2",,Q6NLB0; Q9C6C8; Q9STG2
Aminobenzoate degradation,n/a,map00627,1,16,0.0649828966634795,0.259931586653918,Q9FR37,,Q9FR37
Styrene degradation,n/a,map00643,1,17,0.0686714175965978,0.248933888787667,Q9FR37,,Q9FR37
Ferroptosis,n/a,map04216,2,43,0.0137419507488388,0.144915116987754,"F4KGN5, Q9C7W4",,F4KGN5; Q9C7W4
Adipocytokine signaling pathway,n/a,map04920,2,36,0.00993661786294859,0.144080959012755,"Q8RWC9, Q9C7W4",,Q8RWC9; Q9C7W4
"Alanine, aspartate and glutamate metabolism",n/a,map00250,3,97,0.00743118274584557,0.143669533086348,"Q94AL9, Q9S7A0, P49078",,Q94AL9; Q9S7A0; P49078
Arginine biosynthesis,n/a,map00220,1,66,0.232689513645343,0.461401428766835,Q9S7A0,,Q9S7A0
Metabolism of xenobiotics by cytochrome P450,n/a,map00980,2,89,0.050513867443605,0.266345846520826,"Q6NLB0, Q9C6C8",,Q6NLB0; Q9C6C8
Drug metabolism - cytochrome P450,n/a,map00982,2,92,0.0535084998213499,0.248279439171063,"Q6NLB0, Q9C6C8",,Q6NLB0; Q9C6C8
Mineral absorption,n/a,map04978,2,29,0.00669305863333829,0.155278960293448,"F4KGN5, Q9STG2",,F4KGN5; Q9STG2
Chemical carcinogenesis,n/a,map05204,2,84,0.0456642533081734,0.252240637321339,"Q6NLB0, Q9C6C8",,Q6NLB0; Q9C6C8
Sesquiterpenoid and triterpenoid biosynthesis,n/a,map00909,1,30,0.115321351714851,0.334431919973068,Q9T0J9,,Q9T0J9
Proximal tubule bicarbonate reclamation,n/a,map04964,1,14,0.0575620634606839,0.251969787224126,Q9S7A0,,Q9S7A0
Hypertrophic cardiomyopathy (HCM),n/a,map05410,1,14,0.0575620634606839,0.251969787224126,Q8RWC9,,Q8RWC9
D-Glutamine and D-glutamate metabolism,n/a,map00471,1,7,0.0311232538230797,0.212370437851603,Q9S7A0,,Q9S7A0
