	class	0.02_0	0.05_0	0.07_0	0.1_0	0.5_0	0.2_0	0.7_0	1_0	0.01_0	0.001_0	0.002_0	0.005_0	0.007_0	Pfam_desc	cor
PF01774	+	0.455	0.154	0.000	0.000	0.000	0.000	0.000	0.000	0.129	0.000	0.000	0.000	0.000	UreD urease accessory protein	0.789
PF00699	+	0.000	0.298	0.000	0.000	0.231	0.000	0.000	0.137	0.000	0.000	0.000	0.000	0.000	Urease beta subunit	0.774
PF00449	+	0.000	0.000	0.248	0.163	0.000	0.085	0.361	0.359	0.000	0.000	0.000	0.000	0.000	Urease alpha-subunit, N-terminal domain	0.774
PF02814	+	0.000	0.407	0.681	0.855	1.189	1.004	0.953	0.857	0.000	0.000	0.000	0.000	0.000	UreE urease accessory protein, N-terminal domain	0.771
PF01730	+	0.172	0.326	0.323	0.275	0.043	0.231	0.257	0.087	0.000	0.000	0.000	0.000	0.000	UreF	0.749
PF09490	+	0.000	0.000	0.169	0.172	0.000	0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Probable cobalt transporter subunit (CbtA)	0.429
PF03253	+	0.000	0.000	0.000	0.000	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Urea transporter	0.420
PF10861	+	0.000	0.000	0.000	0.000	0.438	0.111	0.095	0.340	0.000	0.000	0.000	0.000	0.000	Protein of Unknown function (DUF2784)	0.382
PF04066	+	0.000	0.000	0.040	0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Multiple resistance and pH regulation protein F (MrpF / PhaF)	0.366
PF06172	+	0.000	0.114	0.070	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cupin superfamily (DUF985)	0.353
PF03243	+	0.000	0.000	0.000	0.064	0.122	0.123	0.189	0.132	0.000	0.000	0.000	0.000	0.000	Alkylmercury lyase	0.327
PF11860	+	0.000	0.000	0.000	0.000	0.119	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3380)	0.314
PF08421	+	0.000	0.000	0.094	0.176	0.000	0.154	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative zinc binding domain	0.303
PF07080	+	0.000	0.145	0.239	0.305	0.000	0.286	0.227	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1348)	0.303
PF04199	+	0.000	0.000	0.000	0.046	0.000	0.066	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative cyclase	0.269
PF03625	+	0.000	0.000	0.055	0.096	0.095	0.127	0.072	0.044	0.000	0.000	0.000	0.000	0.000	Domain of unknown function DUF302	0.259
PF02633	+	0.000	0.000	0.111	0.145	0.000	0.287	0.000	0.453	0.000	0.000	0.000	0.000	0.000	Creatinine amidohydrolase	0.258
PF02570	+	0.000	0.000	0.095	0.129	0.000	0.000	0.177	0.000	0.000	0.000	0.000	0.000	0.000	Precorrin-8X methylmutase	0.254
PF09275	+	0.000	0.000	0.000	0.000	0.185	0.000	0.233	0.108	0.000	0.000	0.000	0.000	0.000	Pertussis toxin S4 subunit	0.243
PF02571	+	0.000	0.138	0.000	0.000	0.325	0.111	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Precorrin-6x reductase CbiJ/CobK	0.233
PF02668	+	0.000	0.000	0.063	0.039	0.119	0.074	0.033	0.000	0.000	0.000	0.000	0.000	0.000	Taurine catabolism dioxygenase TauD, TfdA family	0.230
PF00394	+	0.000	0.000	0.000	0.000	0.019	0.000	0.075	0.134	0.000	0.000	0.000	0.000	0.000	Multicopper oxidase	0.209
PF12900	+	0.000	0.000	0.000	0.000	0.157	0.010	0.183	0.089	0.000	0.000	0.000	0.000	0.000	Pyridoxamine 5'-phosphate oxidase	0.184
PF07103	+	0.000	0.000	0.000	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1365)	0.182
PF05544	+	0.000	0.000	0.000	0.000	0.157	0.000	0.143	0.150	0.000	0.000	0.000	0.000	0.000	Proline racemase	0.181
PF02805	+	0.000	0.000	0.000	0.000	0.164	0.000	0.075	0.000	0.000	0.000	0.000	0.000	0.000	Metal binding domain of Ada	0.178
PF01208	-	0.000	0.000	0.000	0.000	-0.115	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uroporphyrinogen decarboxylase (URO-D)	0.175
PF03869	+	0.000	0.000	0.000	0.000	0.022	0.000	0.000	0.108	0.000	0.000	0.000	0.000	0.000	Arc-like DNA binding domain	0.171
PF11459	+	0.000	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknwon function (DUF2893)	0.170
PF00668	+	0.000	0.000	0.000	0.000	0.139	0.126	0.255	0.345	0.000	0.000	0.000	0.000	0.000	Condensation domain	0.164
PF05048	+	0.000	0.000	0.000	0.000	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Periplasmic copper-binding protein (NosD)	0.157
PF01921	+	0.000	0.000	0.000	0.000	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	tRNA synthetases class I (K)	0.145
PF09707	+	0.000	0.019	0.041	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CRISPR-associated protein (Cas_Cas2CT1978)	0.134
PF13391	+	0.000	0.177	0.247	0.281	0.292	0.353	0.383	0.371	0.000	0.000	0.000	0.000	0.000	HNH endonuclease	0.133
PF00902	-	0.000	0.000	0.000	0.000	-0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sec-independent protein translocase protein (TatC)	0.133
PF12684	+	0.000	0.000	0.000	0.000	0.153	0.059	0.187	0.141	0.000	0.000	0.000	0.000	0.000	PDDEXK-like domain of unknown function (DUF3799)	0.130
