	class	1_0	0.5_0	0.05_0	0.2_0	0.7_0	0.07_0	0.1_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	0.02_0	Pfam_desc	cor
PF10017	+	1.182	1.063	0.071	0.802	1.159	0.244	0.399	0.000	0.000	0.000	0.000	0.000	0.000	Histidine-specific methyltransferase, SAM-dependent	0.736
PF02586	+	0.016	0.132	0.286	0.204	0.075	0.211	0.187	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterised ACR, COG2135	0.692
PF09290	+	0.135	0.106	0.000	0.089	0.109	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Prokaryotic acetaldehyde dehydrogenase, dimerisation	0.654
PF14690	+	0.163	0.172	0.000	0.172	0.149	0.066	0.212	0.000	0.000	0.000	0.000	0.000	0.000	zinc-finger of transposase IS204/IS1001/IS1096/IS1165	0.654
PF06506	+	0.207	0.174	0.096	0.202	0.198	0.233	0.287	0.000	0.000	0.000	0.000	0.000	0.000	Propionate catabolism activator	0.652
PF01610	+	0.208	0.240	0.000	0.208	0.232	0.121	0.160	0.000	0.000	0.000	0.000	0.000	0.000	Transposase	0.652
PF05067	+	0.434	0.349	0.000	0.303	0.339	0.178	0.278	0.000	0.000	0.000	0.000	0.000	0.000	Manganese containing catalase	0.597
PF05717	+	0.110	0.039	0.000	0.000	0.107	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	IS66 Orf2 like protein	0.571
PF13007	+	0.000	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transposase C of IS166 homeodomain	0.571
PF01175	+	0.040	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Urocanase	0.478
PF07804	+	0.116	0.042	0.000	0.000	0.087	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HipA-like C-terminal domain	0.478
PF06353	+	0.210	0.284	0.000	0.089	0.482	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1062)	0.450
PF10829	+	0.636	0.591	0.000	0.399	0.551	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2554)	0.423
PF09857	+	0.000	0.000	0.000	0.095	0.000	0.000	0.074	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein conserved in bacteria (DUF2084)	0.340
PF03437	+	0.000	0.062	0.000	0.000	0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	BtpA family	0.333
PF10685	+	0.034	0.031	0.000	0.000	0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Stress-induced bacterial acidophilic repeat motif	0.298
PF03275	+	0.231	0.199	0.000	0.147	0.210	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	UDP-galactopyranose mutase	0.270
PF06902	+	0.000	0.000	0.000	0.000	0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Divergent 4Fe-4S mono-cluster	0.245
PF08085	-	-0.063	-0.002	0.000	0.000	-0.073	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Entericidin EcnA/B family	0.230
PF11682	+	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3279)	0.175
PF10807	+	0.264	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2541)	0.175
PF13610	-	-0.021	-0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DDE domain	0.116
PF03981	+	0.000	0.102	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ubiquinol-cytochrome C chaperone	0.114
PF02796	-	0.000	0.000	0.000	-0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Helix-turn-helix domain of resolvase	0.068
PF01596	-	-0.135	-0.109	0.000	-0.067	-0.110	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	O-methyltransferase	0.068
PF03527	-	-0.046	-0.020	0.000	0.000	-0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	RHS protein	0.022
PF03235	-	-0.018	0.000	0.000	0.000	-0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function DUF262	-0.022
PF01935	-	-0.062	-0.030	0.000	-0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function DUF87	-0.060
PF14864	-	0.000	-0.013	0.000	0.000	-0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Alkyl sulfatase C-terminal	-0.075
PF00150	-	-0.030	-0.041	0.000	0.000	-0.057	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cellulase (glycosyl hydrolase family 5)	-0.116
PF03837	-	-0.103	-0.094	0.000	-0.016	-0.081	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	RecT family	-0.116
PF10617	-	-0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2474)	-0.130
PF01156	-	-0.115	-0.115	0.000	-0.025	-0.068	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Inosine-uridine preferring nucleoside hydrolase	-0.145
PF00092	-	0.000	-0.018	0.000	0.000	-0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	von Willebrand factor type A domain	-0.147
PF07655	-	-0.032	-0.011	0.000	0.000	-0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Secretin N-terminal domain	-0.195
PF09669	-	-0.053	-0.045	0.000	-0.051	-0.064	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage regulatory protein Rha (Phage_pRha)	-0.232
PF02368	-	-0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial Ig-like domain (group 2)	-0.248
PF03245	-	-0.121	-0.154	0.000	-0.087	-0.144	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacteriophage Rz lysis protein	-0.285
