ID,geneName,ORF,pfam,organism,fullName,Entrez,EC,uniprot,KO,GO
Q0WV96,NTL10,At1g01010,NAC(10|160),Arabidopsis thaliana,NAC domain-containing protein 1,,,Q0WV96; Q944A1; Q9MAN3,,GO:0016021; GO:0005634; GO:0003700; GO:0000976
Q5MK24,ARV1,At1g01020,,Arabidopsis thaliana,Protein ARV 1,,,Q5MK24; Q0WRA1; Q9MAN2,K21848,GO:0032541; GO:0005783; GO:0005789; GO:0005794; GO:0016021; GO:0032366; GO:0097036; GO:0006665; GO:0016125
Q9MAN1,NGA3,At1g01030,,Arabidopsis thaliana,B3 domain-containing transcription factor NGA3,,,Q9MAN1,,GO:0005634; GO:0003677; GO:0003700; GO:0009908; GO:0048366; GO:1901371; GO:0006355
Q9SP32,DCL1,At1g01040,Helicase ATP-binding(256|433),Arabidopsis thaliana,Endoribonuclease Dicer homolog 1,,3.1.26.-,Q9SP32; Q9FDY6; Q9MAN0,K11592,GO:0005737; GO:0005634; GO:0005524; GO:0003677; GO:0004386; GO:0046872; GO:0004525; GO:0003723; GO:0030422; GO:0016075
AT1G03993,AT1G03993,AT1G03993,,n/a,unknown,,,,,
Q93V56,PPA1,At1g01050,,Arabidopsis thaliana,Soluble inorganic pyrophosphatase 1,,3.6.1.1,Q93V56; Q9MAM9,K01507,GO:0005737; GO:0005829; GO:0005654; GO:0005634; GO:0004427; GO:0000287; GO:0042546; GO:0019915; GO:0006796; GO:2000904; GO:0005985
Q6R0H1,LHY,At1g01060,HTH myb-type(19|73),Arabidopsis thaliana,Protein LHY,,,Q6R0H1; B9DFD7; B9DFM4; O81713; Q9MAM8,K12133,GO:0005634; GO:0003700; GO:0000976; GO:0007623; GO:0048574; GO:0042754; GO:0043433; GO:0042752; GO:0006355; GO:0009409
Q5XEZ0,T25K16.7,At1g01070,EamA 1(27|157),Arabidopsis thaliana,WAT1-related protein At1g01070,,,Q5XEZ0; F4HQH5; Q9MAM7,,GO:0016021; GO:0005886; GO:0015186; GO:0048316
A0A178W030,At1g01080,At1g01080,RRM(108|186),Arabidopsis thaliana,Uncharacterized protein,,,A0A178W030,,GO:0003723
O24457,T25K16.8,At1g01090,,Arabidopsis thaliana,"Pyruvate dehydrogenase E1 component subunit alpha-3, chloroplastic",,1.2.4.1,O24457; Q9MAM6,K00161,GO:0009507; GO:0009941; GO:0009570; GO:0009536; GO:0004739; GO:0006086; GO:0006096
Q8LCW9,RPP1A,At1g01100,,Arabidopsis thaliana,60S acidic ribosomal protein P1-1,,,Q8LCW9; Q9MAM5,K02942,GO:0005829; GO:0022625; GO:0022626; GO:0005634; GO:0005886; GO:0042788; GO:0030295; GO:0043021; GO:0003735; GO:0002181; GO:0006414
Q9MAM4,IQD18,At1g01110,DUF4005(375|477),Arabidopsis thaliana,IQ-domain 18,,,Q9MAM4,,GO:0005516
Q9MAM3,EL1,At1g01120,FAE(114|403),Arabidopsis thaliana,3-ketoacyl-CoA synthase 1,,2.3.1.199,Q9MAM3; Q56YX9; Q9ZTK3,K15397,GO:0022626; GO:0005783; GO:0005789; GO:0016021; GO:0016020; GO:0102336; GO:0102337; GO:0102338; GO:0009922; GO:0102756; GO:0006633; GO:0009409; GO:0009416; GO:0010025
Q1PFZ6,At1g01130,At1g01130,,Arabidopsis thaliana,Uncharacterized protein,,,Q1PFZ6,,
Q9MAM1,PKS6,At1g01140,Protein kinase(19|274),Arabidopsis thaliana,CBL-interacting serine/threonine-protein kinase 9,,2.7.11.1,Q9MAM1; Q3EDL5; Q94F03; Q9C5P5; Q9C5S4,,GO:0005737; GO:0005634; GO:0005524; GO:0004674; GO:0051365; GO:0055075; GO:0043266; GO:0009409; GO:0010555; GO:0009651; GO:0009611; GO:0007165
F4HQJ2,F6F3.30,At1g01150,,Arabidopsis thaliana,Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein,,,F4HQJ2,,GO:0003677; GO:0046872
Q9MAL9,GIF2,At1g01160,,Arabidopsis thaliana,GRF1-interacting factor 2,,,Q9MAL9,,GO:0005634; GO:0003713; GO:0008283; GO:0048366; GO:0045944; GO:0045893
AT1G04007,AT1G04007,AT1G04007,,n/a,unknown,,,,,
Q2HIQ2,F6F3.32,At1g01170,,Arabidopsis thaliana,At1g01170,,,Q2HIQ2,,GO:0005576; GO:0016021; GO:0005739
AT1G04013,AT1G04013,AT1G04013,,n/a,unknown,,,,,
Q9MAL7,At1g01180,At1g01180,,Arabidopsis thaliana,T25K16.17,,,Q9MAL7,,GO:0016021
A0A384KEP9,At1g01190,At1g01190,,Arabidopsis thaliana,CYP78A8,,,A0A384KEP9,,GO:0016021; GO:0020037; GO:0005506; GO:0004497; GO:0016705
Q9LNK1,RABA3,At1g01200,,Arabidopsis thaliana,Ras-related protein RABA3,,,Q9LNK1,K07904,GO:0009504; GO:0005768; GO:0010008; GO:0005576; GO:0005794; GO:0005634; GO:0005525; GO:0003924; GO:0042546; GO:0015031
Q9LNK0,F6F3.2,At1g01210,TFIIS-type(64|104),Arabidopsis thaliana,DNA-directed RNA polymerase subunit,,,Q9LNK0; A0A178W0Q7,K03019,GO:0005730; GO:0005666; GO:0003899; GO:0003676; GO:0008270; GO:0006355; GO:0006386; GO:0042779
Q9LNJ9,FKGP,At1g01220,,Arabidopsis thaliana,Bifunctional fucokinase/fucose pyrophosphorylase,,2.7.1.52; 2.7.7.30,Q9LNJ9,K05305,GO:0005524; GO:0050201; GO:0047341; GO:0046872; GO:0005975; GO:0042352
AT1G04023,AT1G04023,AT1G04023,,n/a,unknown,,,,,
Q29PY0,At1g01225,At1g01225,LRAT(12|161),Arabidopsis thaliana,At1g01225,,,Q29PY0,,
Q9C5I0,F6F3.4,At1g01230,,Arabidopsis thaliana,ORMDL family protein,,,Q9C5I0,,GO:0005783; GO:0016021; GO:0035339; GO:0090156; GO:0006672; GO:0042742; GO:0010150; GO:1900060; GO:0034976; GO:0006979; GO:0030148
Q9LNJ7,F633.5,At1g01240,,Arabidopsis thaliana,At1g01240/F6F3_11,,,Q9LNJ7,,GO:0016021
Q1ECI2,ERF023,At1g01250,,Arabidopsis thaliana,Ethylene-responsive transcription factor ERF023,,,Q1ECI2; Q8LCM8; Q9LNJ6,K09286,GO:0005634; GO:0003677; GO:0003700; GO:0009873
