	class	0.5_0	0.7_0	0.2_0	0.02_0	1_0	0.05_0	0.07_0	0.1_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	Pfam_desc	cor
PF01470	+	0.795	0.800	0.760	0.248	0.770	0.697	0.755	0.796	0.000	0.000	0.000	0.000	0.000	Pyroglutamyl peptidase	0.693
PF06149	+	0.369	0.255	0.297	0.000	0.376	0.000	0.113	0.121	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF969)	0.682
PF06166	+	0.237	0.291	0.285	0.000	0.224	0.116	0.128	0.236	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF979)	0.682
PF09851	+	0.331	0.408	0.345	0.000	0.395	0.320	0.354	0.373	0.000	0.000	0.000	0.000	0.000	Short C-terminal domain	0.460
PF13370	+	0.000	0.000	0.000	0.000	0.083	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4Fe-4S single cluster domain	0.387
PF13459	+	0.000	0.000	0.089	0.000	0.232	0.033	0.092	0.148	0.000	0.000	0.000	0.000	0.000	4Fe-4S single cluster domain	0.364
PF13587	+	0.019	0.041	0.021	0.000	0.022	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	N-terminal domain of DJ-1_PfpI family	0.361
PF06605	+	0.255	0.237	0.164	0.000	0.272	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Prophage endopeptidase tail	0.359
PF02694	+	0.000	0.031	0.109	0.000	0.000	0.064	0.098	0.116	0.000	0.000	0.000	0.000	0.000	Uncharacterised BCR, YnfA/UPF0060 family	0.321
PF13444	+	0.162	0.179	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Acetyltransferase (GNAT) domain	0.321
PF01175	+	0.129	0.284	0.111	0.000	0.151	0.000	0.000	0.052	0.000	0.000	0.000	0.000	0.000	Urocanase	0.309
PF09524	+	0.285	0.439	0.225	0.000	0.443	0.000	0.000	0.056	0.000	0.000	0.000	0.000	0.000	Conserved phage C-terminus (Phg_2220_C)	0.296
